BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	47.074	0.983	41.203	0.974	Unknown	Unknown
SAMEA14464373	PD_0296	PD_0296	ERS12091846	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	28.532	0.963	28.879	0.948	Unknown	Unknown
SAMEA14464374	PD_0415	PD_0415	ERS12091847	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	28.859	0.963	27.731	0.948	Unknown	Unknown
SAMEA14464362	PD_0073	PD_0073	ERS12091835	PRJEB59576	Alouatta_caraya_ssp	Alouatta_caraya_ssp	Ateles_hybridus_ssp	Alouatta	caraya	ssp	M	M	35.12	0.967	20.443	0.949	Unknown	Unknown
SAMEA14464363	PD_0299	PD_0299	ERS12091836	PRJEB59576	Alouatta_caraya_ssp	Alouatta_caraya_ssp	Ateles_hybridus_ssp	Alouatta	caraya	ssp	M	M	25.728	0.966	15.383	0.945	Unknown	Unknown
SAMEA14464364	PD_0027	PD_0027	ERS12091837	PRJEB59576	Alouatta_discolor_ssp	Alouatta_discolor_ssp	Ateles_hybridus_ssp	Alouatta	discolor	ssp	F	F	32.9	0.966	31.795	0.951	Unknown	Unknown
SAMEA14464365	PD_0295	PD_0295	ERS12091838	PRJEB59576	Alouatta_discolor_ssp	Alouatta_discolor_ssp	Ateles_hybridus_ssp	Alouatta	discolor	ssp	M	M	27.673	0.963	16.025	0.944	Unknown	Unknown
SAMEA14464366	PD_0420	PD_0420	ERS12091839	PRJEB59576	Alouatta_juara_ssp	Alouatta_juara_ssp	Ateles_hybridus_ssp	Alouatta	juara	ssp	F	F	33.971	0.964	35.515	0.949	Unknown	Unknown
SAMEA14464367	PD_0421	PD_0421	ERS12091840	PRJEB59576	Alouatta_juara_ssp	Alouatta_juara_ssp	Ateles_hybridus_ssp	Alouatta	juara	ssp	M	M	36.057	0.964	21.524	0.946	Unknown	Unknown
SAMEA14464368	PD_0005	PD_0005	ERS12091841	PRJEB59576	Alouatta_macconnelli_ssp	Alouatta_macconnelli_ssp	Ateles_hybridus_ssp	Alouatta	macconnelli	ssp	M	M	33.923	0.965	20.226	0.946	Unknown	Unknown
SAMEA14464369	PD_0089	PD_0089	ERS12091842	PRJEB59576	Alouatta_macconnelli_ssp	Alouatta_macconnelli_ssp	Ateles_hybridus_ssp	Alouatta	macconnelli	ssp	F	F	30.042	0.963	30.704	0.947	Unknown	Unknown
SAMEA14464370	PD_0135	PD_0135	ERS12091843	PRJEB59576	Alouatta_macconnelli_ssp	Alouatta_macconnelli_ssp	Ateles_hybridus_ssp	Alouatta	macconnelli	ssp	F	F	36.032	0.965	37.286	0.95	Unknown	Unknown
SAMEA14464371	PD_0416	PD_0416	ERS12091844	PRJEB59576	Alouatta_macconnelli_ssp	Alouatta_macconnelli_ssp	Ateles_hybridus_ssp	Alouatta	macconnelli	ssp	F	F	30.799	0.964	31.486	0.949	Unknown	Unknown
SAMEA14464372	PD_0417	PD_0417	ERS12091845	PRJEB59576	Alouatta_macconnelli_ssp	Alouatta_macconnelli_ssp	Ateles_hybridus_ssp	Alouatta	macconnelli	ssp	M	M	36.588	0.965	20.728	0.944	Unknown	Unknown
SAMEA14464375	PD_0175	PD_0175	ERS12091848	PRJEB59576	Alouatta_palliata_ssp	Alouatta_palliata_ssp	Ateles_hybridus_ssp	Alouatta	palliata	ssp	F	F	36.695	0.963	37.349	0.95	Unknown	Unknown
SAMN07678036	SAMN07678036	SAMN07678036	SRS5279297	PRJNA399372	Alouatta_palliata_ssp	Alouatta_palliata_ssp	Ateles_hybridus_ssp	Alouatta	palliata	ssp	Unknown	F	20.416	0.932	22.201	0.924	Unknown	Unknown
