BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	ERR10943666	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/066/ERR10943666/ERR10943666_1.fastq.gz	6750529487.0	cc30569460275646c5ac8ffdb013eeb5
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	ERR10943666	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/066/ERR10943666/ERR10943666_2.fastq.gz	6952847197.0	11b7fd71ff49a8dd519817dbdb6f3713
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	ERR10943667	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/067/ERR10943667/ERR10943667_1.fastq.gz	6878635011.0	a598e90f291a0f44d9cae4d68e4e2f13
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	ERR10943667	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/067/ERR10943667/ERR10943667_2.fastq.gz	6677909374.0	2ed28fb48fef6867454656e5401f2dd2
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	ERR10943668	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/068/ERR10943668/ERR10943668_1.fastq.gz	6764222540.0	228862659bf2026a06e62fcfd97bac54
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	ERR10943668	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/068/ERR10943668/ERR10943668_2.fastq.gz	6968093770.0	5bdde7f91dc4ec33634cc17a14501544
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	ERR10943669	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10943669/ERR10943669_1.fastq.gz	6641231780.0	1d4e7554ea047decb636e6f07079f5ef
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	ERR10943669	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10943669/ERR10943669_2.fastq.gz	6845823947.0	0cab47c5d6041a3c5de21191d15c964d
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	ERR10943670	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/070/ERR10943670/ERR10943670_1.fastq.gz	3339925988.0	6788a4cc1012193c0f8e7a1816166e10
SAMEA14464361	PD_0294	PD_0294	ERS12091834	PRJEB59576	Alouatta_belzebul_ssp	Alouatta_belzebul_ssp	Ateles_hybridus_ssp	Alouatta	belzebul	ssp	F	F	ERR10943670	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/070/ERR10943670/ERR10943670_2.fastq.gz	3519294656.0	691036cbacea32e36aaf7092e44073e6
