BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA112483266	PD_0798	PD_0798	ERS14600617	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	38.935	0.965	20.057	0.976	Unknown	Unknown
SAMEA112483267	PD_0799	PD_0799	ERS14600618	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	39.446	0.964	20.421	0.977	Unknown	Unknown
SAMEA112483268	PD_0800	PD_0800	ERS14600619	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	F	F	44.129	0.966	41.833	0.979	Unknown	Unknown
SAMEA112483269	PD_0801	PD_0801	ERS14600620	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	47.14	0.969	23.878	0.978	Unknown	Unknown
SAMEA112483274	PD_0806	PD_0806	ERS14600625	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	63.595	0.969	32.556	0.978	Unknown	Unknown
SAMEA112483275	PD_0807	PD_0807	ERS14600626	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	F	F	41.178	0.964	39.148	0.977	Unknown	Unknown
SAMEA112483276	PD_0808	PD_0808	ERS14600627	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	F	F	39.558	0.963	37.828	0.976	Unknown	Unknown
SAMEA112483277	PD_0809	PD_0809	ERS14600628	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	43.301	0.964	21.919	0.976	Unknown	Unknown
SAMEA112483278	PD_0810	PD_0810	ERS14600629	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	F	F	39.819	0.965	37.678	0.977	Unknown	Unknown
SAMEA112483279	PD_0811	PD_0811	ERS14600630	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	F	F	39.913	0.954	36.803	0.972	Unknown	Unknown
SAMEA112483280	PD_0812	PD_0812	ERS14600631	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	41.607	0.956	21.482	0.972	Unknown	Unknown
SAMEA112483281	PD_0813	PD_0813	ERS14600632	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	37.484	0.954	19.452	0.971	Unknown	Unknown
SAMEA112483282	PD_0814	PD_0814	ERS14600633	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	F	F	38.954	0.955	36.598	0.972	Unknown	Unknown
SAMEA112483283	PD_0815	PD_0815	ERS14600634	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	40.13	0.956	21.083	0.972	Unknown	Unknown
SAMEA112483270	PD_0802	PD_0802	ERS14600621	PRJEB59576	Aotus_griseimembra_ssp	Aotus_griseimembra_ssp	Aotus_nancymaae_ssp	Aotus	griseimembra	ssp	M	M	43.542	0.95	23.479	0.972	Unknown	Unknown
SAMEA112483271	PD_0803	PD_0803	ERS14600622	PRJEB59576	Aotus_griseimembra_ssp	Aotus_griseimembra_ssp	Aotus_nancymaae_ssp	Aotus	griseimembra	ssp	M	M	46.355	0.952	25.033	0.974	Unknown	Unknown
SAMEA112483272	PD_0804	PD_0804	ERS14600623	PRJEB59576	Aotus_griseimembra_ssp	Aotus_griseimembra_ssp	Aotus_nancymaae_ssp	Aotus	griseimembra	ssp	M	M	41.967	0.951	22.551	0.973	Unknown	Unknown
SAMEA112483273	PD_0805	PD_0805	ERS14600624	PRJEB59576	Aotus_griseimembra_ssp	Aotus_griseimembra_ssp	Aotus_nancymaae_ssp	Aotus	griseimembra	ssp	M	M	32.208	0.947	17.314	0.971	Unknown	Unknown
SAMN03121886	SAMN03121886	SAMN03121886	SRS779317	PRJNA251539	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	143.143	0.998	146.79	0.999	Unknown	Unknown
SAMN08978223	SAMN08978223	SAMN08978223	SRS3598392	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	38.146	0.992	38.593	0.997	Unknown	Unknown
SAMN08978224	SAMN08978224	SAMN08978224	SRS3598393	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	37.354	0.991	19.606	0.994	Unknown	Unknown
SAMN08978225	SAMN08978225	SAMN08978225	SRS3598394	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	37.156	0.99	36.621	0.995	Unknown	Unknown
SAMN08978226	SAMN08978226	SAMN08978226	SRS3598395	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	36.345	0.992	19.218	0.996	Unknown	Unknown
SAMN08978227	SAMN08978227	SAMN08978227	SRS3598396	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	38.011	0.99	19.704	0.993	Unknown	Unknown
SAMN08978228	SAMN08978228	SAMN08978228	SRS3598397	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	36.811	0.991	19.154	0.992	Unknown	Unknown
SAMN08978229	SAMN08978229	SAMN08978229	SRS3598398	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	37.196	0.994	37.045	0.998	Unknown	Unknown
SAMN08978230	SAMN08978230	SAMN08978230	SRS3598399	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	38.976	0.99	20.326	0.992	Unknown	Unknown
SAMN08978231	SAMN08978231	SAMN08978231	SRS3598400	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	38.674	0.994	20.783	0.995	Unknown	Unknown
SAMN08978232	SAMN08978232	SAMN08978232	SRS3598401	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	35.355	0.989	35.163	0.995	Unknown	Unknown
SAMN08978233	SAMN08978233	SAMN08978233	SRS3598402	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	36.878	0.993	37.219	0.996	Unknown	Unknown
SAMN08978234	SAMN08978234	SAMN08978234	SRS3598403	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	37.962	0.993	20.438	0.994	Unknown	Unknown
SAMN08978235	SAMN08978235	SAMN08978235	SRS3598404	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	37.763	0.99	37.78	0.998	Unknown	Unknown
SAMN08978236	SAMN08978236	SAMN08978236	SRS3598405	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	36.313	0.994	36.976	0.997	Unknown	Unknown
SAMN08978237	SAMN08978237	SAMN08978237	SRS3598406	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	39.334	0.991	20.94	0.993	Unknown	Unknown
SAMN08978238	SAMN08978238	SAMN08978238	SRS3598407	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	37.289	0.99	19.908	0.997	Unknown	Unknown
SAMN08978239	SAMN08978239	SAMN08978239	SRS3598408	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	37.782	0.993	20.158	0.994	Unknown	Unknown
SAMN08978240	SAMN08978240	SAMN08978240	SRS3598409	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	38.287	0.991	19.974	0.992	Unknown	Unknown
SAMN08978241	SAMN08978241	SAMN08978241	SRS3598410	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	37.466	0.99	37.39	0.996	Unknown	Unknown
SAMN08978242	SAMN08978242	SAMN08978242	SRS3598411	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	38.092	0.988	19.816	0.994	Unknown	Unknown
SAMN08978243	SAMN08978243	SAMN08978243	SRS3598412	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	36.819	0.99	36.596	0.996	Unknown	Unknown
SAMN08978244	SAMN08978244	SAMN08978244	SRS3598413	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	37.798	0.992	20.111	0.992	Unknown	Unknown
SAMN08978245	SAMN08978245	SAMN08978245	SRS3598414	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	37.457	0.991	37.174	0.998	Unknown	Unknown
SAMN08978246	SAMN08978246	SAMN08978246	SRS3598415	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	36.643	0.993	19.823	0.995	Unknown	Unknown
SAMN08978247	SAMN08978247	SAMN08978247	SRS3598416	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	37.448	0.992	37.658	0.998	Unknown	Unknown
SAMN08978248	SAMN08978248	SAMN08978248	SRS3598417	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	35.842	0.993	35.964	0.996	Unknown	Unknown
SAMN08978249	SAMN08978249	SAMN08978249	SRS3598418	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	38.606	0.993	20.552	0.995	Unknown	Unknown
SAMN08978250	SAMN08978250	SAMN08978250	SRS3598419	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	35.854	0.992	35.904	0.995	Unknown	Unknown
SAMN08978251	SAMN08978251	SAMN08978251	SRS3598420	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	M	M	38.233	0.992	19.981	0.992	Unknown	Unknown
SAMN08978252	SAMN08978252	SAMN08978252	SRS3598421	PRJNA451475	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	Aotus	nancymaae	ssp	F	F	35.864	0.99	35.59	0.995	Unknown	Unknown
SAMEA14464397	PD_0008	PD_0008	ERS12091870	PRJEB59576	Aotus_trivirgatus_ssp	Aotus_trivirgatus_ssp	Aotus_nancymaae_ssp	Aotus	trivirgatus	ssp	F	F	40.082	0.957	38.559	0.975	Unknown	Unknown
SAMEA112483261	PD_0794	PD_0794	ERS14600612	PRJEB59576	Aotus_vociferans_ssp	Aotus_vociferans_ssp	Aotus_nancymaae_ssp	Aotus	vociferans	ssp	M	M	26.717	0.753	19.273	0.768	Unknown	Unknown
SAMEA112483263	PD_0795	PD_0795	ERS14600614	PRJEB59576	Aotus_vociferans_ssp	Aotus_vociferans_ssp	Aotus_nancymaae_ssp	Aotus	vociferans	ssp	M	M	37.467	0.956	19.503	0.973	Unknown	Unknown
SAMEA112483264	PD_0796	PD_0796	ERS14600615	PRJEB59576	Aotus_vociferans_ssp	Aotus_vociferans_ssp	Aotus_nancymaae_ssp	Aotus	vociferans	ssp	M	M	42.071	0.958	22.064	0.975	Unknown	Unknown
SAMEA112483265	PD_0797	PD_0797	ERS14600616	PRJEB59576	Aotus_vociferans_ssp	Aotus_vociferans_ssp	Aotus_nancymaae_ssp	Aotus	vociferans	ssp	M	M	34.731	0.955	18.476	0.974	Unknown	Unknown
SAMEA14464398	PD_0286	PD_0286	ERS12091871	PRJEB59576	Aotus_vociferans_ssp	Aotus_vociferans_ssp	Aotus_nancymaae_ssp	Aotus	vociferans	ssp	M	M	36.693	0.943	19.781	0.965	Unknown	Unknown
