BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112483266	PD_0798	PD_0798	ERS14600617	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	ERR11476855	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/055/ERR11476855/ERR11476855_1.fastq.gz	20081624351	520fba4a8b55a6ae1293e3162b17facb
SAMEA112483266	PD_0798	PD_0798	ERS14600617	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	ERR11476855	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/055/ERR11476855/ERR11476855_2.fastq.gz	21483815808	cbd55de34a842c1370ff16ba811d61ed
SAMEA112483267	PD_0799	PD_0799	ERS14600618	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	ERR11476856	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/056/ERR11476856/ERR11476856_1.fastq.gz	20400548149	fe4b0dfb8ebf2900a23ef2d2de18ab6e
SAMEA112483267	PD_0799	PD_0799	ERS14600618	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	ERR11476856	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/056/ERR11476856/ERR11476856_2.fastq.gz	22048916045	530e51c9d50319b071267b8f70d9b1d1
SAMEA112483268	PD_0800	PD_0800	ERS14600619	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	F	F	ERR11476857	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/057/ERR11476857/ERR11476857_1.fastq.gz	22792244031	c9a1ba049eea6b11257f57df60604622
SAMEA112483268	PD_0800	PD_0800	ERS14600619	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	F	F	ERR11476857	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/057/ERR11476857/ERR11476857_2.fastq.gz	24738198512	721b432d967087213b5ba7dc873ae483
SAMEA112483269	PD_0801	PD_0801	ERS14600620	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	ERR11476858	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/058/ERR11476858/ERR11476858_1.fastq.gz	23661052530	684579302892a7a596bdf08e12389062
SAMEA112483269	PD_0801	PD_0801	ERS14600620	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	ERR11476858	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/058/ERR11476858/ERR11476858_2.fastq.gz	25122618288	385892bc7e6c8319c8304b7c8890bb37
SAMEA112483274	PD_0806	PD_0806	ERS14600625	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	ERR11476888	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/088/ERR11476888/ERR11476888_1.fastq.gz	30596752901	19b1c572281fac8a5c147f1332efb4f9
SAMEA112483274	PD_0806	PD_0806	ERS14600625	PRJEB59576	Aotus_azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae_ssp	Aotus	azarai	ssp	M	M	ERR11476888	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/088/ERR11476888/ERR11476888_2.fastq.gz	31622327727	bcf79e1276775693473e66798393176a
