BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942502	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10942502/ERR10942502_1.fastq.gz	4371956509	56e6f3a708513eecc71cb0473b56467a
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942502	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10942502/ERR10942502_2.fastq.gz	4254162197	ac9b82b2eeb30f652fd5be09c70088ad
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942503	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/003/ERR10942503/ERR10942503_1.fastq.gz	4315647343	3def23a05bec8ee07c83129faf3b7277
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942503	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/003/ERR10942503/ERR10942503_2.fastq.gz	4190228179	0b6e1d4f774d3541fa57a9381aec1cc2
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942504	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR10942504/ERR10942504_1.fastq.gz	4212984707	25c82a5381034795c6e2828037953dd9
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942504	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR10942504/ERR10942504_2.fastq.gz	4323924717	9cdd7e050b5ef42c0ba18bd6b996d5ee
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942505	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10942505/ERR10942505_1.fastq.gz	4305881442	e7bf5826afa2bf3da41b2dfe80a3b38f
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942505	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10942505/ERR10942505_2.fastq.gz	4201290435	8b8993f02769d475cecf12c97ac98692
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942506	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR10942506/ERR10942506_1.fastq.gz	3133978277	a9f5659e5ac6b3ce1e6d4fd36cb45600
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942506	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR10942506/ERR10942506_2.fastq.gz	3055890745	ebc9886a1a519e45c4697de14b9ca6a9
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942507	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR10942507/ERR10942507_1.fastq.gz	3124168350	120e3b01ac4ea6783f436c0bfcbdaf91
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942507	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR10942507/ERR10942507_2.fastq.gz	3049215611	8231387246bfdb178aa0ffbdde692525
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942508	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/008/ERR10942508/ERR10942508_1.fastq.gz	3108135570	30a547e36460a4ad6082102a50a7ec41
SAMEA112482903	PD_0145	PD_0145	ERS14600254	PRJEB59576	Arctocebus_calabarensis_ssp	Arctocebus_calabarensis_ssp	Nycticebus_coucang_ssp	Arctocebus	calabarensis	ssp	FALSE	F	ERR10942508	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/008/ERR10942508/ERR10942508_2.fastq.gz	3036870007	e257754cd465ff7c1f0889c238316c40
