BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA14464399	PD_0004	PD_0004	ERS12091872	PRJEB59576	Ateles_belzebuth_ssp	Ateles_belzebuth_ssp	Ateles_hybridus_ssp	Ateles	belzebuth	ssp	F	F	ERR10941448	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/048/ERR10941448/ERR10941448_1.fastq.gz	5045236436.0	c981dc9f8d770105992ea79b2902db3d
SAMEA14464399	PD_0004	PD_0004	ERS12091872	PRJEB59576	Ateles_belzebuth_ssp	Ateles_belzebuth_ssp	Ateles_hybridus_ssp	Ateles	belzebuth	ssp	F	F	ERR10941448	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/048/ERR10941448/ERR10941448_2.fastq.gz	4885355767.0	d9a0763d8bb7a383b32f2aeb457887cb
SAMEA14464399	PD_0004	PD_0004	ERS12091872	PRJEB59576	Ateles_belzebuth_ssp	Ateles_belzebuth_ssp	Ateles_hybridus_ssp	Ateles	belzebuth	ssp	F	F	ERR10941449	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10941449/ERR10941449_1.fastq.gz	4854914260.0	27d002fe538f6b8f466c94a6cd4de155
SAMEA14464399	PD_0004	PD_0004	ERS12091872	PRJEB59576	Ateles_belzebuth_ssp	Ateles_belzebuth_ssp	Ateles_hybridus_ssp	Ateles	belzebuth	ssp	F	F	ERR10941449	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10941449/ERR10941449_2.fastq.gz	4999056166.0	d4aa0286c8e4d0265386a4f830694f43
SAMEA14464399	PD_0004	PD_0004	ERS12091872	PRJEB59576	Ateles_belzebuth_ssp	Ateles_belzebuth_ssp	Ateles_hybridus_ssp	Ateles	belzebuth	ssp	F	F	ERR10941450	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10941450/ERR10941450_1.fastq.gz	5005066296.0	36e951f5d9d33130fbea5452b1ba5996
SAMEA14464399	PD_0004	PD_0004	ERS12091872	PRJEB59576	Ateles_belzebuth_ssp	Ateles_belzebuth_ssp	Ateles_hybridus_ssp	Ateles	belzebuth	ssp	F	F	ERR10941450	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10941450/ERR10941450_2.fastq.gz	4855162214.0	5176f70d92ea404ae9045db9fb9bb253
SAMEA14464399	PD_0004	PD_0004	ERS12091872	PRJEB59576	Ateles_belzebuth_ssp	Ateles_belzebuth_ssp	Ateles_hybridus_ssp	Ateles	belzebuth	ssp	F	F	ERR10941451	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/051/ERR10941451/ERR10941451_1.fastq.gz	4862398399.0	ae15eabb6779dcd4f553b68a1f5ddab6
SAMEA14464399	PD_0004	PD_0004	ERS12091872	PRJEB59576	Ateles_belzebuth_ssp	Ateles_belzebuth_ssp	Ateles_hybridus_ssp	Ateles	belzebuth	ssp	F	F	ERR10941451	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/051/ERR10941451/ERR10941451_2.fastq.gz	5006984455.0	0f19a37750c530d10e35579dde9b22d3
SAMEA14464399	PD_0004	PD_0004	ERS12091872	PRJEB59576	Ateles_belzebuth_ssp	Ateles_belzebuth_ssp	Ateles_hybridus_ssp	Ateles	belzebuth	ssp	F	F	ERR10941452	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10941452/ERR10941452_1.fastq.gz	2326838152.0	286c0474ed8159f8d04b3d48157cedc2
SAMEA14464399	PD_0004	PD_0004	ERS12091872	PRJEB59576	Ateles_belzebuth_ssp	Ateles_belzebuth_ssp	Ateles_hybridus_ssp	Ateles	belzebuth	ssp	F	F	ERR10941452	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10941452/ERR10941452_2.fastq.gz	2401727784.0	6d0e25e39b0043e31d0c6a412c5710aa
