BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	36.818	0.977	37.581	0.963	Unknown	Unknown
SAMEA14464416	PD_0022	PD_0022	ERS12091889	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	38.336	0.977	39.014	0.964	Unknown	Unknown
SAMEA14464417	PD_0131	PD_0131	ERS12091890	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	41.832	0.977	41.154	0.963	Unknown	Unknown
SAMEA14464421	PD_0024	PD_0024	ERS12091894	PRJEB59576	Cacajao_calvus_calvus	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	calvus	F	F	38.146	0.977	38.73	0.963	Unknown	Unknown
SAMEA14464420	PD_0023	PD_0023	ERS12091893	PRJEB59576	Cacajao_calvus_novaesi	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	novaesi	F	F	41.211	0.977	41.084	0.963	Unknown	Unknown
SAMEA14464424	PD_0132	PD_0132	ERS12091897	PRJEB59576	Cacajao_calvus_novaesi	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	novaesi	F	F	42.202	0.977	42.262	0.963	Unknown	Unknown
SAMEA14464423	PD_0130	PD_0130	ERS12091896	PRJEB59576	Cacajao_calvus_rubicundus	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	rubicundus	M	M	42.539	0.977	23.589	0.962	Unknown	Unknown
SAMEA14464434	PD_0435	PD_0435	ERS12091907	PRJEB59576	Cacajao_calvus_rubicundus	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	rubicundus	M	M	34.532	0.976	19.7	0.961	Unknown	Unknown
SAMEA14464435	PD_0436	PD_0436	ERS12091908	PRJEB59576	Cacajao_calvus_rubicundus	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	rubicundus	F	F	32.93	0.977	32.752	0.963	Unknown	Unknown
SAMEA14464436	PD_0437	PD_0437	ERS12091909	PRJEB59576	Cacajao_calvus_rubicundus	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	rubicundus	M	M	43.462	0.977	23.725	0.962	Unknown	Unknown
SAMEA14464418	PD_0020	PD_0020	ERS12091891	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	F	F	38.391	0.977	39.467	0.964	Unknown	Unknown
SAMEA14464419	PD_0021	PD_0021	ERS12091892	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	F	F	40.355	0.977	41.178	0.963	Unknown	Unknown
SAMEA14464422	PD_0088	PD_0088	ERS12091895	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	F	F	46.92	0.977	43.948	0.963	Unknown	Unknown
SAMEA14464426	PD_0289	PD_0289	ERS12091899	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	M	M	40.276	0.977	22.707	0.962	Unknown	Unknown
SAMEA14464427	PD_0290	PD_0290	ERS12091900	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	M	M	37.803	0.977	20.998	0.962	Unknown	Unknown
SAMEA14464428	PD_0291	PD_0291	ERS12091901	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	F	F	42.02	0.977	47.013	0.963	Unknown	Unknown
SAMEA14464429	PD_0292	PD_0292	ERS12091902	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	F	F	39.417	0.977	39.743	0.962	Unknown	Unknown
SAMEA14464430	PD_0306	PD_0306	ERS12091903	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	M	M	28.991	0.976	15.552	0.96	Unknown	Unknown
SAMEA14464431	PD_0307	PD_0307	ERS12091904	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	M	M	33.033	0.976	17.926	0.961	Unknown	Unknown
SAMEA14464432	PD_0308	PD_0308	ERS12091905	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	M	M	30.302	0.976	17.424	0.961	Unknown	Unknown
SAMEA14464433	PD_0434	PD_0434	ERS12091906	PRJEB59576	Cacajao_calvus_ssp	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ssp	M	M	36.331	0.976	19.894	0.961	Unknown	Unknown
SAMEA14464425	PD_0133	PD_0133	ERS12091898	PRJEB59576	Cacajao_calvus_ucayalii	Cacajao_calvus_ssp	Pithecia_pithecia_ssp	Cacajao	calvus	ucayalii	M	M	38.953	0.977	24.73	0.962	Unknown	Unknown
SAMEA14464437	PD_0003	PD_0003	ERS12091910	PRJEB59576	Cacajao_hosomi_ssp	Cacajao_hosomi_ssp	Pithecia_pithecia_ssp	Cacajao	hosomi	ssp	M	M	34.911	0.977	21.334	0.962	Unknown	Unknown
SAMEA14464438	PD_0129	PD_0129	ERS12091911	PRJEB59576	Cacajao_hosomi_ssp	Cacajao_hosomi_ssp	Pithecia_pithecia_ssp	Cacajao	hosomi	ssp	M	M	37.618	0.977	20.724	0.962	Unknown	Unknown
SAMEA14464439	PD_0018	PD_0018	ERS12091912	PRJEB59576	Cacajao_melanocephalus_ssp	Cacajao_melanocephalus_ssp	Pithecia_pithecia_ssp	Cacajao	melanocephalus	ssp	M	M	39.837	0.977	22.258	0.962	Unknown	Unknown
SAMEA14464440	PD_0128	PD_0128	ERS12091913	PRJEB59576	Cacajao_melanocephalus_ssp	Cacajao_melanocephalus_ssp	Pithecia_pithecia_ssp	Cacajao	melanocephalus	ssp	F	F	39.031	0.977	39.975	0.963	Unknown	Unknown
