BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	ERR10941561	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/061/ERR10941561/ERR10941561_1.fastq.gz	3315158184	270088c85199d9a30d45cd7e700509ab
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	ERR10941561	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/061/ERR10941561/ERR10941561_2.fastq.gz	3523629926	5ec59ae2b08884ef40801d7f9e7f336f
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	ERR10941562	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/062/ERR10941562/ERR10941562_1.fastq.gz	3185286217	af5810635e9cbbbcd0a7334f5774faa3
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	ERR10941562	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/062/ERR10941562/ERR10941562_2.fastq.gz	3388329571	a5f01e18885cdded0ad6c290c3f00726
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	ERR10941563	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/063/ERR10941563/ERR10941563_1.fastq.gz	3124185562	a32e5bbb2fc9d210c3efd63ca66d1f0f
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	ERR10941563	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/063/ERR10941563/ERR10941563_2.fastq.gz	3325182411	c3c0d472eb333f6057b7532c7fa039d9
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	ERR10941564	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10941564/ERR10941564_1.fastq.gz	3790620590	eb64a3122493ce23595ad4775f3369b2
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	ERR10941564	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10941564/ERR10941564_2.fastq.gz	3959318191	c8409a19f5d4aedb3b2af261209a5bab
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	ERR10941565	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/065/ERR10941565/ERR10941565_1.fastq.gz	3892748976	779fde09318c2f552eecfb8aaac1160d
SAMEA14464415	PD_0019	PD_0019	ERS12091888	PRJEB59576	Cacajao_ayresi_ssp	Cacajao_ayresi_ssp	Pithecia_pithecia_ssp	Cacajao	ayresi	ssp	F	F	ERR10941565	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/065/ERR10941565/ERR10941565_2.fastq.gz	3728013337	63b680d3a23012b3189493e0f480fca0
