BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941494	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10941494/ERR10941494_1.fastq.gz	4620602819	3532a9fa455e058f2d69a2371d2137c3
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941494	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10941494/ERR10941494_2.fastq.gz	4842519717	6b57e96f8902579e678ccd21c8bbd109
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941495	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/095/ERR10941495/ERR10941495_1.fastq.gz	4804872770	8eb7a39379d7bf529a064c41f8738115
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941495	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/095/ERR10941495/ERR10941495_2.fastq.gz	4597888792	49b922aa7cfe538d01c48ae361b75df7
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941496	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/096/ERR10941496/ERR10941496_1.fastq.gz	4587316890	c77184c62013d3d38963168aa066ca47
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941496	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/096/ERR10941496/ERR10941496_2.fastq.gz	4802860915	c24444ed4850d926b2f1145f708b4535
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941497	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/097/ERR10941497/ERR10941497_1.fastq.gz	4593529495	9bc54d4e751600c9b5bbeca436f21310
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941497	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/097/ERR10941497/ERR10941497_2.fastq.gz	4803594031	86662be928bec8117ff855c430991a54
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941498	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10941498/ERR10941498_1.fastq.gz	2614645947	6d8d8d5809aca5956c4b6b86786aced2
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941498	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10941498/ERR10941498_2.fastq.gz	2744294350	2cd679dd2ae5126e29cd12f920bc62a8
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941499	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/099/ERR10941499/ERR10941499_1.fastq.gz	2628993042	6b7a4a20bcc12a7e6c5da824a3cfcc18
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941499	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/099/ERR10941499/ERR10941499_2.fastq.gz	2758285380	bb649d8ce4606f7dd072c28231a07418
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941500	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/000/ERR10941500/ERR10941500_1.fastq.gz	2727211835	276c15cb1d42aefd14c6f13aa1e00e72
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941500	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/000/ERR10941500/ERR10941500_2.fastq.gz	2600479263	fb01f06ac17fc32cbf6d4601d9d7c234
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941501	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10941501/ERR10941501_1.fastq.gz	2683017245	2a3da165de29d85f94da7fd2fd8758aa
SAMEA14464442	PD_0010	PD_0010	ERS12091915	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	F	F	ERR10941501	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10941501/ERR10941501_2.fastq.gz	2810836503	37abf33721a847bbcee27192a78f5dde
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943614	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10943614/ERR10943614_1.fastq.gz	3093179969	ab28b79172ccbaa59b6416afd683b500
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943614	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10943614/ERR10943614_2.fastq.gz	3172486629	480c2811d42d5c56c04e9ffbe5b8dd69
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943615	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/015/ERR10943615/ERR10943615_1.fastq.gz	3141399398	e4d1d3cf837373c8482ef2374f2379c6
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943615	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/015/ERR10943615/ERR10943615_2.fastq.gz	3220088314	58d4f95689116f9de8b9827e7c631a08
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943616	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/016/ERR10943616/ERR10943616_1.fastq.gz	2988528038	a97a7f533f064611d197b680ea604de9
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943616	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/016/ERR10943616/ERR10943616_2.fastq.gz	3063554200	8e56d1c6cf4525b1744ebae14b622aae
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943617	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/017/ERR10943617/ERR10943617_1.fastq.gz	2932925193	88406c6baace8cf18b8ec43c0eca88c1
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943617	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/017/ERR10943617/ERR10943617_2.fastq.gz	3005132518	3a1d3b7d1d2fbaef8cfc8bf26af21ead
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943618	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/018/ERR10943618/ERR10943618_1.fastq.gz	4411875318	c9aea4ea3d96058a75def9018f2dc9d8
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943618	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/018/ERR10943618/ERR10943618_2.fastq.gz	4540544626	ffa29cecebddef8cd6c968eb6d79b280
SAMEA14464443	PD_0287	PD_0287	ERS12091916	PRJEB59576	Cebuella_niveiventris_ssp	Cebuella_niveiventris_ssp	Callithrix_jacchus_ssp	Cebuella	niveiventris	ssp	M	M	ERR10943619	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/019/ERR10943619/ERR10943619_1.fastq.gz	4496482952	585c9a16e6366bed2453bc9bf0724db9
