BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA14464445	PD_0078	PD_0078	ERS12091918	PRJEB59576	Cebus_albifrons_ssp	Cebus_albifrons_ssp	Sapajus_apella_ssp	Cebus	albifrons	ssp	M	M	ERR10942010	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/010/ERR10942010/ERR10942010_1.fastq.gz	4075608595	13b18850ca0a3500775c2563ba91bf9a
SAMEA14464445	PD_0078	PD_0078	ERS12091918	PRJEB59576	Cebus_albifrons_ssp	Cebus_albifrons_ssp	Sapajus_apella_ssp	Cebus	albifrons	ssp	M	M	ERR10942010	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/010/ERR10942010/ERR10942010_2.fastq.gz	3951796011	8f22495c0626220eb08a924a24811549
SAMEA14464445	PD_0078	PD_0078	ERS12091918	PRJEB59576	Cebus_albifrons_ssp	Cebus_albifrons_ssp	Sapajus_apella_ssp	Cebus	albifrons	ssp	M	M	ERR10942011	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/011/ERR10942011/ERR10942011_1.fastq.gz	3956499104	5a6223888518a1c6a8fac4bc305921c5
SAMEA14464445	PD_0078	PD_0078	ERS12091918	PRJEB59576	Cebus_albifrons_ssp	Cebus_albifrons_ssp	Sapajus_apella_ssp	Cebus	albifrons	ssp	M	M	ERR10942011	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/011/ERR10942011/ERR10942011_2.fastq.gz	4070669817	685edf4b2e312a9dd59efeba4a45d13b
SAMEA14464445	PD_0078	PD_0078	ERS12091918	PRJEB59576	Cebus_albifrons_ssp	Cebus_albifrons_ssp	Sapajus_apella_ssp	Cebus	albifrons	ssp	M	M	ERR10942012	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/012/ERR10942012/ERR10942012_1.fastq.gz	3979330163	e14fa6a36df78185c4f6eab3113a686e
SAMEA14464445	PD_0078	PD_0078	ERS12091918	PRJEB59576	Cebus_albifrons_ssp	Cebus_albifrons_ssp	Sapajus_apella_ssp	Cebus	albifrons	ssp	M	M	ERR10942012	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/012/ERR10942012/ERR10942012_2.fastq.gz	4098081726	b61c32640d4b5e36d77892d71764d828
SAMEA14464445	PD_0078	PD_0078	ERS12091918	PRJEB59576	Cebus_albifrons_ssp	Cebus_albifrons_ssp	Sapajus_apella_ssp	Cebus	albifrons	ssp	M	M	ERR10942013	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10942013/ERR10942013_1.fastq.gz	4061652095	e60d1e6155e8ecacb2cee65adfe7e987
SAMEA14464445	PD_0078	PD_0078	ERS12091918	PRJEB59576	Cebus_albifrons_ssp	Cebus_albifrons_ssp	Sapajus_apella_ssp	Cebus	albifrons	ssp	M	M	ERR10942013	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10942013/ERR10942013_2.fastq.gz	3958185391	97ffb39d19bf18daf3f4639f3fa25d39
SAMEA14464445	PD_0078	PD_0078	ERS12091918	PRJEB59576	Cebus_albifrons_ssp	Cebus_albifrons_ssp	Sapajus_apella_ssp	Cebus	albifrons	ssp	M	M	ERR10942014	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10942014/ERR10942014_1.fastq.gz	4713882692	15b473a332efdc48018511c7e78022d4
SAMEA14464445	PD_0078	PD_0078	ERS12091918	PRJEB59576	Cebus_albifrons_ssp	Cebus_albifrons_ssp	Sapajus_apella_ssp	Cebus	albifrons	ssp	M	M	ERR10942014	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10942014/ERR10942014_2.fastq.gz	4776315042	c95fcad63de4943fbcabbde14b94d286
