BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMN02900445	SAMN02900445	SAMN02900445	SRS666311	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	F	F	SRR1528577	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1528577/SRR1528577_1.fastq.gz	11434199234	95b9b06c599e8ec9c7abb46931224273
SAMN02900445	SAMN02900445	SAMN02900445	SRS666311	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	F	F	SRR1528577	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1528577/SRR1528577_2.fastq.gz	11294663253	88f77975b30ff172014c719eedb155ef
SAMN02900445	SAMN02900445	SAMN02900445	SRS666311	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	F	F	SRR1528578	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1528578/SRR1528578_1.fastq.gz	18447776617	31549bd9fee0d0d8db9862da6f74f74d
SAMN02900445	SAMN02900445	SAMN02900445	SRS666311	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	F	F	SRR1528578	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1528578/SRR1528578_2.fastq.gz	18342550987	6ef810beee446c221200c1210786eba0
SAMN02900446	SAMN02900446	SAMN02900446	SRS666312	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	F	F	SRR1525089	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1525089/SRR1525089_1.fastq.gz	16846253607	776e4fbf5ca290d63113b7dc2a699962
SAMN02900446	SAMN02900446	SAMN02900446	SRS666312	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	F	F	SRR1525089	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1525089/SRR1525089_2.fastq.gz	16847835704	5351819f20d40839bea98ed4e071b7e1
SAMN02900446	SAMN02900446	SAMN02900446	SRS666312	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	F	F	SRR1528580	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1528580/SRR1528580_1.fastq.gz	17530928520	3942258f4195f4bc7d3962f638f3addb
SAMN02900446	SAMN02900446	SAMN02900446	SRS666312	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	F	F	SRR1528580	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1528580/SRR1528580_2.fastq.gz	17568268488	21af117c9018a265ed149281346dbbd9
SAMN02900447	SAMN02900447	SAMN02900447	SRS666316	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	M	F	SRR1525090	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1525090/SRR1525090_1.fastq.gz	17750216734	0652dc0d392cae6bf5d81ab5d23f0cd0
SAMN02900447	SAMN02900447	SAMN02900447	SRS666316	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	M	F	SRR1525090	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1525090/SRR1525090_2.fastq.gz	17793332857	e60b59d4bf985261be7ebd6de0f89514
SAMN02900447	SAMN02900447	SAMN02900447	SRS666316	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	M	F	SRR1528579	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1528579/SRR1528579_1.fastq.gz	16220051948	8c02ebcbb22b4a796f8401135c3ef5f4
SAMN02900447	SAMN02900447	SAMN02900447	SRS666316	PRJNA157077	Cercocebus_atys_ssp	Cercocebus_atys_ssp	Mandrillus_sphinx_ssp	Cercocebus	atys	ssp	M	F	SRR1528579	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1528579/SRR1528579_2.fastq.gz	16219608292	30ede0ac839ad32683070b6039914c93
