BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	19.647	0.981	18.785	0.98	Unknown	Unknown
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	34.637	0.983	34.203	0.982	Unknown	Unknown
SAMEA112482859	PD_0066	PD_0066	ERS14600210	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	33.418	0.983	33.894	0.982	Unknown	Unknown
SAMEA112483043	PD_0406	PD_0406	ERS14600394	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	M	M	29.561	0.983	15.758	0.979	Unknown	Unknown
SAMEA112483046	PD_0410	PD_0410	ERS14600397	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	28.387	0.982	28.955	0.981	Unknown	Unknown
SAMEA112482836	PD_0043	PD_0043	ERS14600187	PRJEB59576	Cercopithecus_campbelli_lowei	Cercopithecus_campbelli_ssp	Cercopithecus_mitis_ssp	Cercopithecus	campbelli	lowei	M	M	36.956	0.985	19.897	0.982	Unknown	Unknown
SAMN37320050	SAMN37320050	SAMN37320050	SRS18883291	PRJNA512907	Cercopithecus_campbelli_ssp	Cercopithecus_campbelli_ssp	Cercopithecus_mitis_ssp	Cercopithecus	campbelli	ssp	M	M	61.291	0.984	34.408	0.983	Unknown	Unknown
SAMEA112482834	PD_0041	PD_0041	ERS14600185	PRJEB59576	Cercopithecus_cephus_ssp	Cercopithecus_cephus_ssp	Cercopithecus_mitis_ssp	Cercopithecus	cephus	ssp	M	M	33.306	0.983	17.634	0.978	Unknown	Unknown
SAMEA112482869	PD_0094	PD_0094	ERS14600220	PRJEB59576	Cercopithecus_cephus_ssp	Cercopithecus_cephus_ssp	Cercopithecus_mitis_ssp	Cercopithecus	cephus	ssp	M	M	40.912	0.983	22.349	0.979	Unknown	Unknown
SAMEA112482870	PD_0095	PD_0095	ERS14600221	PRJEB59576	Cercopithecus_cephus_ssp	Cercopithecus_cephus_ssp	Cercopithecus_mitis_ssp	Cercopithecus	cephus	ssp	M	M	31.544	0.983	16.788	0.979	Unknown	Unknown
SAMEA115412630	SAMEA115412630	SAMEA115412630	ERS18433211	PRJEB73870	Cercopithecus_denti_ssp	Cercopithecus_denti_ssp	Cercopithecus_mitis_ssp	Cercopithecus	denti	ssp	M	M	37.373	0.983	20.076	0.983	Unknown	Unknown
SAMEA115412631	SAMEA115412631	SAMEA115412631	ERS18433212	PRJEB73870	Cercopithecus_denti_ssp	Cercopithecus_denti_ssp	Cercopithecus_mitis_ssp	Cercopithecus	denti	ssp	F	F	27.51	0.983	28.188	0.983	Unknown	Unknown
SAMEA112482852	PD_0059	PD_0059	ERS14600203	PRJEB59576	Cercopithecus_diana_ssp	Cercopithecus_diana_ssp	Cercopithecus_mitis_ssp	Cercopithecus	diana	ssp	M	M	41.527	0.981	22.572	0.979	Unknown	Unknown
SAMEA112482853	PD_0060	PD_0060	ERS14600204	PRJEB59576	Cercopithecus_hamlyni_ssp	Cercopithecus_hamlyni_ssp	Cercopithecus_mitis_ssp	Cercopithecus	hamlyni	ssp	F	F	37.995	0.981	37.769	0.979	Unknown	Unknown
SAMEA115412635	SAMEA115412635	SAMEA115412635	ERS18433216	PRJEB73870	Cercopithecus_hamlyni_ssp	Cercopithecus_hamlyni_ssp	Cercopithecus_mitis_ssp	Cercopithecus	hamlyni	ssp	M	M	30.415	0.98	16.538	0.977	Unknown	Unknown
SAMEA112482854	PD_0061	PD_0061	ERS14600205	PRJEB59576	Cercopithecus_mitis_ssp	Cercopithecus_mitis_ssp	Cercopithecus_mitis_ssp	Cercopithecus	mitis	ssp	F	F	30.391	0.987	30.915	0.989	Unknown	Unknown
SAMEA112482871	PD_0096	PD_0096	ERS14600222	PRJEB59576	Cercopithecus_mitis_ssp	Cercopithecus_mitis_ssp	Cercopithecus_mitis_ssp	Cercopithecus	mitis	ssp	M	M	45.781	0.987	24.668	0.987	Unknown	Unknown
SAMN13555794	SAMN13555794	SAMN13555794	SRS6373987	PRJNA595456	Cercopithecus_mitis_ssp	Cercopithecus_mitis_ssp	Cercopithecus_mitis_ssp	Cercopithecus	mitis	ssp	F	M	18.421	0.985	9.484	0.984	Unknown	Unknown
SAMN25565059	SAMN25565059	SAMN25565059	SRS11852976	PRJNA512907	Cercopithecus_mitis_ssp	Cercopithecus_mitis_ssp	Cercopithecus_mitis_ssp	Cercopithecus	mitis	ssp	F	F	52.318	0.989	48.6	0.989	Unknown	Unknown
SAMEA115412636	SAMEA115412636	SAMEA115412636	ERS18433217	PRJEB73870	Cercopithecus_mitis_stuhlmanni	Cercopithecus_mitis_ssp	Cercopithecus_mitis_ssp	Cercopithecus	mitis	stuhlmanni	M	M	27.748	0.986	14.481	0.986	Unknown	Unknown
SAMEA112482835	PD_0042	PD_0042	ERS14600186	PRJEB59576	Cercopithecus_mona_ssp	Cercopithecus_mona_ssp	Cercopithecus_mitis_ssp	Cercopithecus	mona	ssp	F	F	34.26	0.983	34.822	0.982	Unknown	Unknown
