BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062108	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/008/SRR26062108/SRR26062108_1.fastq.gz	4147758	92b158a1da3a30c005e21935dfb3856d
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062108	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/008/SRR26062108/SRR26062108_2.fastq.gz	4143991	75fa6e7850f41fc792cca964cce7c1b5
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062109	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/009/SRR26062109/SRR26062109_1.fastq.gz	1329996534	acae9abd0e34dca0bd1f8491c766826d
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062109	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/009/SRR26062109/SRR26062109_2.fastq.gz	1353459953	95de1356591744489366b7f48919b3ef
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062110	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/010/SRR26062110/SRR26062110_1.fastq.gz	1164895195	3e44abada71aed8c13b57d964dce9dce
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062110	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/010/SRR26062110/SRR26062110_2.fastq.gz	1056226447	c7a7f105c993845f5a25cf5ca15f2881
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062111	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/011/SRR26062111/SRR26062111_1.fastq.gz	22085047359	21230640aeb46795414727825be6c0c7
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062111	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/011/SRR26062111/SRR26062111_2.fastq.gz	22182909723	03caa5313ddf87d0b0e65b36342e6aaa
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062113	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/013/SRR26062113/SRR26062113_1.fastq.gz	73000338	c56cd8f246ac788bdb741c5af2845dfa
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062113	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/013/SRR26062113/SRR26062113_2.fastq.gz	73153002	ac002168f51da472b9077f9530dfc065
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062114	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/014/SRR26062114/SRR26062114_1.fastq.gz	335982019	317c95bac33cdee918c9cec517d7bdbc
SAMN37320058	SAMN37320058	SAMN37320058	SRS18883367	PRJNA512907	Cercopithecus_ascanius_schmidti	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	schmidti	F	F	SRR26062114	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/014/SRR26062114/SRR26062114_2.fastq.gz	336809566	f8f50fff4267051d09a0e097a6d1e721
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941661	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/061/ERR10941661/ERR10941661_1.fastq.gz	4958941931	cf37510a7cceeebba67333d43a6241b5
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941661	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/061/ERR10941661/ERR10941661_2.fastq.gz	4744916819	e465ae6c5389f494b643a42d7114f45d
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941662	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/062/ERR10941662/ERR10941662_1.fastq.gz	4932962957	3ec19802236d69b683d5447ca7977aa3
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941662	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/062/ERR10941662/ERR10941662_2.fastq.gz	4735303352	10de2b6a21e3b3d80ef79056d72294bf
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941663	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/063/ERR10941663/ERR10941663_1.fastq.gz	4715550620	07546bae0e528a2e2d36eda4f46bc79c
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941663	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/063/ERR10941663/ERR10941663_2.fastq.gz	4922475992	dba58d301688b72ec80682512effab19
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941664	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10941664/ERR10941664_1.fastq.gz	4724135382	24aab2349a145bf39c5603fb5e617123
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941664	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10941664/ERR10941664_2.fastq.gz	4924940955	d4b252a54e58864ada13dca2437702f5
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941665	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/065/ERR10941665/ERR10941665_1.fastq.gz	2488144394	86e58a0994d69a25fe920883b6edc2f6
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941665	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/065/ERR10941665/ERR10941665_2.fastq.gz	2378379397	0f9198f69c1f202a1d0e545b7210cbef
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941666	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/066/ERR10941666/ERR10941666_1.fastq.gz	2493824673	57aebaaf53fd8989d79ac36b08ebcbcf
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941666	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/066/ERR10941666/ERR10941666_2.fastq.gz	2384089401	e609619c36cbcee279e07e4878172f18
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941667	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/067/ERR10941667/ERR10941667_1.fastq.gz	2365564921	b0ec07350da30e0ca14d406dc0dd6014
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941667	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/067/ERR10941667/ERR10941667_2.fastq.gz	2472509774	bb745e71e065901f1b8d2c80324a36e9
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941668	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/068/ERR10941668/ERR10941668_1.fastq.gz	2437867585	3edb55293133f7439262137c082884dd
SAMEA112482825	PD_0032	PD_0032	ERS14600176	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941668	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/068/ERR10941668/ERR10941668_2.fastq.gz	2545946901	fc7eb1d13b1ed229b145156f314793dd
SAMEA112482859	PD_0066	PD_0066	ERS14600210	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941914	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10941914/ERR10941914_1.fastq.gz	5494702325	f9451becaafb40efe92b523ab0ed66d7
SAMEA112482859	PD_0066	PD_0066	ERS14600210	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941914	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10941914/ERR10941914_2.fastq.gz	5321502482	f5ce5cdf812c57a3e5487f0032617fa8
SAMEA112482859	PD_0066	PD_0066	ERS14600210	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941915	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/015/ERR10941915/ERR10941915_1.fastq.gz	5518818548	97a085bd494f89c77aac3f72c83520fc
SAMEA112482859	PD_0066	PD_0066	ERS14600210	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941915	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/015/ERR10941915/ERR10941915_2.fastq.gz	5355729550	5697c15c7310bf52c81e1fb7eafb2fd4
SAMEA112482859	PD_0066	PD_0066	ERS14600210	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941916	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/016/ERR10941916/ERR10941916_1.fastq.gz	5526278966	a08cd03b363a6488268394270513026b
SAMEA112482859	PD_0066	PD_0066	ERS14600210	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941916	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/016/ERR10941916/ERR10941916_2.fastq.gz	5358013274	157a377844a3830552ecb522b4ebffb7
SAMEA112482859	PD_0066	PD_0066	ERS14600210	PRJEB59576	Cercopithecus_ascanius_ssp	Cercopithecus_ascanius_ssp	Cercopithecus_mitis_ssp	Cercopithecus	ascanius	ssp	F	F	ERR10941917	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/017/ERR10941917/ERR10941917_1.fastq.gz	5423271896	986ad19dde5a187130c36621aa4a5589
