BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMN11334319	SAMN11334319	SAMN11334319	SRS6936664	PRJNA523575	Cheirogaleus_crossleyi_ssp	Cheirogaleus_crossleyi_ssp	Cheirogaleus_medius_ssp	Cheirogaleus	crossleyi	ssp	M	M	SRR12133960	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/060/SRR12133960/SRR12133960_1.fastq.gz	6835970517	68471f762e30ca403c97ac263c63859b
SAMN11334319	SAMN11334319	SAMN11334319	SRS6936664	PRJNA523575	Cheirogaleus_crossleyi_ssp	Cheirogaleus_crossleyi_ssp	Cheirogaleus_medius_ssp	Cheirogaleus	crossleyi	ssp	M	M	SRR12133960	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/060/SRR12133960/SRR12133960_2.fastq.gz	7984484441	e1cd64074cb9deaadd70cb762f394021
SAMN11334319	SAMN11334319	SAMN11334319	SRS6936664	PRJNA523575	Cheirogaleus_crossleyi_ssp	Cheirogaleus_crossleyi_ssp	Cheirogaleus_medius_ssp	Cheirogaleus	crossleyi	ssp	M	M	SRR12133961	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/061/SRR12133961/SRR12133961_1.fastq.gz	7035661308	f2c65e6a10f28b2f8c39708c32ed102d
SAMN11334319	SAMN11334319	SAMN11334319	SRS6936664	PRJNA523575	Cheirogaleus_crossleyi_ssp	Cheirogaleus_crossleyi_ssp	Cheirogaleus_medius_ssp	Cheirogaleus	crossleyi	ssp	M	M	SRR12133961	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/061/SRR12133961/SRR12133961_2.fastq.gz	8189821104	50b2800af44d9b4f55eccb30f2bc0f49
SAMN11334319	SAMN11334319	SAMN11334319	SRS6936664	PRJNA523575	Cheirogaleus_crossleyi_ssp	Cheirogaleus_crossleyi_ssp	Cheirogaleus_medius_ssp	Cheirogaleus	crossleyi	ssp	M	M	SRR12133964	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/064/SRR12133964/SRR12133964_1.fastq.gz	7068984538	6888fef22c02f4d03f5b2f3741f5eecf
SAMN11334319	SAMN11334319	SAMN11334319	SRS6936664	PRJNA523575	Cheirogaleus_crossleyi_ssp	Cheirogaleus_crossleyi_ssp	Cheirogaleus_medius_ssp	Cheirogaleus	crossleyi	ssp	M	M	SRR12133964	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/064/SRR12133964/SRR12133964_2.fastq.gz	8208023401	927d0c2237ce36812f3b8e46b2fe9e05
SAMN11334319	SAMN11334319	SAMN11334319	SRS6936664	PRJNA523575	Cheirogaleus_crossleyi_ssp	Cheirogaleus_crossleyi_ssp	Cheirogaleus_medius_ssp	Cheirogaleus	crossleyi	ssp	M	M	SRR12133965	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/065/SRR12133965/SRR12133965_1.fastq.gz	6924178242	1fa02a8108b7024d6f0c0102e4bc2930
SAMN11334319	SAMN11334319	SAMN11334319	SRS6936664	PRJNA523575	Cheirogaleus_crossleyi_ssp	Cheirogaleus_crossleyi_ssp	Cheirogaleus_medius_ssp	Cheirogaleus	crossleyi	ssp	M	M	SRR12133965	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/065/SRR12133965/SRR12133965_2.fastq.gz	7788852231	32c54920efa6ba54aad088981ad91ae9
SAMEA112483134	PD_0605	PD_0605	ERS14600485	PRJEB59576	Cheirogaleus_major_ssp	Cheirogaleus_major_ssp	Cheirogaleus_medius_ssp	Cheirogaleus	major	ssp	F	F	ERR11476795	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/095/ERR11476795/ERR11476795_1.fastq.gz	17069513111	13aa6d7b35a831dae3f68b2adf547034
SAMEA112483134	PD_0605	PD_0605	ERS14600485	PRJEB59576	Cheirogaleus_major_ssp	Cheirogaleus_major_ssp	Cheirogaleus_medius_ssp	Cheirogaleus	major	ssp	F	F	ERR11476795	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/095/ERR11476795/ERR11476795_2.fastq.gz	18170924950	e2e6e5cbd677a12b6a054e948be54927
