BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMN01162199	SAMN01162199	SAMN01162199	SRS360867	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	5.206	0.937	3.146	0.828	3.219	0.168
SAMN01162201	SAMN01162201	SAMN01162201	SRS360869	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	4.607	0.917	2.861	0.782	3.876	0.16
SAMN01162202	SAMN01162202	SAMN01162202	SRS360870	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	4.786	0.912	4.594	0.922	3.455	0.154
SAMN01162203	SAMN01162203	SAMN01162203	SRS360871	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	4.927	0.927	4.784	0.939	3.48	0.166
SAMN01162205	SAMN01162205	SAMN01162205	SRS360873	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	4.877	0.927	4.713	0.938	3.059	0.161
SAMN01162207	SAMN01162207	SAMN01162207	SRS360875	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	4.703	0.917	4.564	0.928	3.805	0.168
SAMN01162208	SAMN01162208	SAMN01162208	SRS360876	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	2.614	0.74	1.955	0.529	2.676	0.114
SAMN01162209	SAMN01162209	SAMN01162209	SRS360877	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	4.733	0.913	4.543	0.922	3.372	0.163
SAMN01162211	SAMN01162211	SAMN01162211	SRS360879	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	4.843	0.926	3.003	0.801	3.411	0.173
SAMN01162212	SAMN01162212	SAMN01162212	SRS360880	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	4.662	0.92	4.486	0.93	3.291	0.169
SAMN01162213	SAMN01162213	SAMN01162213	SRS360881	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	5.0	0.93	4.923	0.943	3.579	0.167
SAMN01162214	SAMN01162214	SAMN01162214	SRS360882	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	6.836	0.958	3.92	0.885	4.543	0.219
SAMN01162215	SAMN01162215	SAMN01162215	SRS360883	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	4.793	0.915	4.641	0.927	3.815	0.163
SAMN01162216	SAMN01162216	SAMN01162216	SRS360884	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	4.805	0.921	2.973	0.789	3.464	0.166
SAMN01162217	SAMN01162217	SAMN01162217	SRS360885	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	6.65	0.957	3.791	0.885	4.203	0.215
SAMN05277892	SAMN05277892	SAMN05277892	SRS1520018	PRJNA168472	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	9.253	0.978	9.16	0.987	5.36	0.26
SAMN07574168	SAMN07574168	SAMN07574168	ERS2108259	PRJNA168527	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	5.035	0.977	5.09	0.983	4.237	0.815
SAMN07574169	SAMN07574169	SAMN07574169	ERS2108258	PRJNA168527	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	5.349	0.974	5.399	0.983	5.943	0.886
SAMN07574170	SAMN07574170	SAMN07574170	ERS2108269	PRJNA168527	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	6.752	0.984	3.772	0.941	7.492	0.893
SAMN07574171	SAMN07574171	SAMN07574171	ERS2108270	PRJNA168527	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	5.328	0.978	3.041	0.91	3.287	0.782
SAMN07574172	SAMN07574172	SAMN07574172	ERS2108265	PRJNA168527	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	5.654	0.975	5.697	0.986	4.507	0.78
SAMN07574173	SAMN07574173	SAMN07574173	ERS2108266	PRJNA168527	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	5.422	0.974	3.112	0.913	3.314	0.678
SAMN07574174	SAMN07574174	SAMN07574174	ERS2108263	PRJNA168527	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	5.42	0.976	5.466	0.984	5.729	0.791
SAMN07574175	SAMN07574175	SAMN07574175	ERS2108264	PRJNA168527	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	M	4.857	0.97	2.81	0.892	4.052	0.766
SAMN07574176	SAMN07574176	SAMN07574176	ERS2108267	PRJNA168527	Chlorocebus_aethiops_ssp	Chlorocebus_aethiops_ssp	Chlorocebus_sabaeus_ssp	Chlorocebus	aethiops	ssp	Unknown	F	5.8	0.979	5.856	0.99	3.672	0.566
