BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA112482906	PD_0148	PD_0148	ERS14600257	PRJEB59576	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	38.043	0.999	20.347	0.999	Unknown	Unknown
SAMEA116330136	SAMEA116330136	SAMEA116330136	ERS21378982	PRJEB77609	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	M	33.125	0.764	23.488	0.727	Unknown	Unknown
SAMN01919298	SAMN01919298	SAMN01919298	SRS393080	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	9.134	0.996	9.385	0.997	Unknown	Unknown
SAMN01919299	SAMN01919299	SAMN01919299	SRS393081	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	8.329	0.993	8.821	0.995	Unknown	Unknown
SAMN01919300	SAMN01919300	SAMN01919300	SRS393082	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	9.324	0.993	9.873	0.994	Unknown	Unknown
SAMN01919301	SAMN01919301	SAMN01919301	SRS393083	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	M	9.765	0.994	5.602	0.981	Unknown	Unknown
SAMN01919302	SAMN01919302	SAMN01919302	SRS393084	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	7.954	0.992	8.238	0.994	Unknown	Unknown
SAMN01919303	SAMN01919303	SAMN01919303	SRS393085	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	5.164	0.967	5.596	0.982	Unknown	Unknown
SAMN01919304	SAMN01919304	SAMN01919304	SRS393086	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	7.272	0.987	7.914	0.993	Unknown	Unknown
SAMN01919305	SAMN01919305	SAMN01919305	SRS393087	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	7.464	0.993	7.871	0.994	Unknown	Unknown
SAMN01919306	SAMN01919306	SAMN01919306	SRS393088	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	6.55	0.988	7.017	0.992	Unknown	Unknown
SAMN01919307	SAMN01919307	SAMN01919307	SRS393089	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	3.288	0.901	3.434	0.925	Unknown	Unknown
SAMN01919309	SAMN01919309	SAMN01919309	SRS393090	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	M	6.386	0.988	3.761	0.949	Unknown	Unknown
SAMN01919310	SAMN01919310	SAMN01919310	SRS393091	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	M	5.363	0.984	3.205	0.921	Unknown	Unknown
SAMN01919311	SAMN01919311	SAMN01919311	SRS393092	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	5.375	0.973	5.559	0.979	Unknown	Unknown
SAMN09702722	SAMN09702722	SAMN09702722	SRS3597037	PRJNA482296	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	28.307	0.999	15.405	0.999	Unknown	Unknown
SAMN09702723	SAMN09702723	SAMN09702723	SRS3597039	PRJNA482296	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	40.95	0.999	40.773	0.999	Unknown	Unknown
SAMN44474147	SAMN44474147	SAMN44474147	SRS23254950	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	39.667	0.999	21.085	0.999	Unknown	Unknown
SAMN44474148	SAMN44474148	SAMN44474148	SRS23249984	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	39.994	1.0	21.163	0.999	Unknown	Unknown
SAMN44474149	SAMN44474149	SAMN44474149	SRS23250478	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	38.397	0.999	20.96	0.999	Unknown	Unknown
SAMN44474150	SAMN44474150	SAMN44474150	SRS23249435	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	39.029	0.999	20.491	0.999	Unknown	Unknown
SAMN44474151	SAMN44474151	SAMN44474151	SRS23249627	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	39.789	0.999	21.189	0.999	Unknown	Unknown
SAMN44474152	SAMN44474152	SAMN44474152	SRS23256040	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	39.377	1.0	38.912	1.0	Unknown	Unknown
SAMN44474153	SAMN44474153	SAMN44474153	SRS23253405	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	42.984	0.999	42.606	0.999	Unknown	Unknown
SAMN44474154	SAMN44474154	SAMN44474154	SRS23250528	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	40.411	0.999	39.847	1.0	Unknown	Unknown
SAMN44474155	SAMN44474155	SAMN44474155	SRS23253698	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	37.407	0.999	37.484	0.999	Unknown	Unknown
SAMN44474156	SAMN44474156	SAMN44474156	SRS23255538	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	40.458	0.999	39.578	0.999	Unknown	Unknown
SAMN44474157	SAMN44474157	SAMN44474157	SRS23250062	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	44.32	0.999	43.464	0.999	Unknown	Unknown
SAMN44474158	SAMN44474158	SAMN44474158	SRS23251431	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	39.15	0.999	38.599	1.0	Unknown	Unknown
SAMN44474159	SAMN44474159	SAMN44474159	SRS23251643	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	40.301	0.999	37.834	0.999	Unknown	Unknown
SAMN44474160	SAMN44474160	SAMN44474160	SRS23252366	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	41.948	0.999	41.47	1.0	Unknown	Unknown
SAMN44474161	SAMN44474161	SAMN44474161	SRS23251907	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	45.391	1.0	45.109	1.0	Unknown	Unknown
SAMN44474162	SAMN44474162	SAMN44474162	SRS23250466	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	41.814	0.999	41.346	0.999	Unknown	Unknown
SAMN44474163	SAMN44474163	SAMN44474163	SRS23250129	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	39.532	1.0	38.913	1.0	Unknown	Unknown
SAMN44474164	SAMN44474164	SAMN44474164	SRS23251784	PRJNA1156176	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	F	F	39.443	0.999	39.061	0.999	Unknown	Unknown
