BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482906	PD_0148	PD_0148	ERS14600257	PRJEB59576	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	ERR10942522	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/022/ERR10942522/ERR10942522_1.fastq.gz	7058301792	121fcbba806ebba23ad98ebe9b4df891
SAMEA112482906	PD_0148	PD_0148	ERS14600257	PRJEB59576	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	ERR10942522	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/022/ERR10942522/ERR10942522_2.fastq.gz	7266575352	a1c7166f796b679da888660d9d7e085c
SAMEA112482906	PD_0148	PD_0148	ERS14600257	PRJEB59576	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	ERR10942523	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/023/ERR10942523/ERR10942523_1.fastq.gz	6901323459	52887527f23bb1138230be9d101339f0
SAMEA112482906	PD_0148	PD_0148	ERS14600257	PRJEB59576	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	ERR10942523	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/023/ERR10942523/ERR10942523_2.fastq.gz	7122789555	e05a173714c54a0abc5487a0ff2f137b
SAMEA112482906	PD_0148	PD_0148	ERS14600257	PRJEB59576	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	ERR10942524	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/024/ERR10942524/ERR10942524_1.fastq.gz	6894943450	5c7b75b184e23bb8aa55acc5bf148f50
SAMEA112482906	PD_0148	PD_0148	ERS14600257	PRJEB59576	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	ERR10942524	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/024/ERR10942524/ERR10942524_2.fastq.gz	7085760736	8f325d4c311b3f4a38ce28e59a65a152
SAMEA112482906	PD_0148	PD_0148	ERS14600257	PRJEB59576	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	ERR10942525	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/025/ERR10942525/ERR10942525_1.fastq.gz	6749500260	6155db418dfdc6b9f3a288afb65eb263
SAMEA112482906	PD_0148	PD_0148	ERS14600257	PRJEB59576	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	M	M	ERR10942525	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/025/ERR10942525/ERR10942525_2.fastq.gz	6924218574	5710e7572806f49e02a7c5abeffae8fe
SAMEA116330136	SAMEA116330136	SAMEA116330136	ERS21378982	PRJEB77609	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	M	ERR13912741	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/041/ERR13912741/ERR13912741_1.fastq.gz	34224665984	ae20de36bf399627728b81f01608766a
SAMEA116330136	SAMEA116330136	SAMEA116330136	ERS21378982	PRJEB77609	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	M	ERR13912741	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/041/ERR13912741/ERR13912741_2.fastq.gz	33267308976	92845fef26e81ff3391efbdb660b4113
SAMN01919298	SAMN01919298	SAMN01919298	SRS393080	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709438	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709438/SRR709438_1.fastq.gz	10881113748	2fa674e8b7ee126967ad6da9b16bf3a2
SAMN01919298	SAMN01919298	SAMN01919298	SRS393080	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709438	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709438/SRR709438_2.fastq.gz	11348294344	41356b0c849f81b56d1d6d8f97e6901f
SAMN01919299	SAMN01919299	SAMN01919299	SRS393081	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709439	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709439/SRR709439_1.fastq.gz	9294158433	426c24127fd225a89468000018a62ff8
SAMN01919299	SAMN01919299	SAMN01919299	SRS393081	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709439	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709439/SRR709439_2.fastq.gz	9710789272	5d56246226a9b468964664417298f58a
SAMN01919300	SAMN01919300	SAMN01919300	SRS393082	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709440	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709440/SRR709440_1.fastq.gz	10447660975	1041f7a2486bfca2bdc6861e2965e9de
SAMN01919300	SAMN01919300	SAMN01919300	SRS393082	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709440	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709440/SRR709440_2.fastq.gz	10810469450	e46cd20636fbd21e99446c4521e0641f
SAMN01919301	SAMN01919301	SAMN01919301	SRS393083	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	M	SRR709441	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709441/SRR709441_1.fastq.gz	10846835083	cb203f2d89e8536fe2673692a391047d
SAMN01919301	SAMN01919301	SAMN01919301	SRS393083	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	M	SRR709441	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709441/SRR709441_2.fastq.gz	11293783567	f23b7f7e53879c4ecfdbaf46e464027d
SAMN01919302	SAMN01919302	SAMN01919302	SRS393084	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709442	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709442/SRR709442_1.fastq.gz	9318821148	5a8a46f58bd6897ad7a61a298469ca42
SAMN01919302	SAMN01919302	SAMN01919302	SRS393084	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709442	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709442/SRR709442_2.fastq.gz	9506169792	a31f5f6dcbd91e828550aaa25a1096f1
SAMN01919303	SAMN01919303	SAMN01919303	SRS393085	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709443	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709443/SRR709443_1.fastq.gz	7304155145	8e1d66d38539005c398a2702f4842f46
SAMN01919303	SAMN01919303	SAMN01919303	SRS393085	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709443	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709443/SRR709443_2.fastq.gz	7414110846	d50afe9939588efe2aba900ed023717e
SAMN01919304	SAMN01919304	SAMN01919304	SRS393086	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709444	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709444/SRR709444_1.fastq.gz	10550616674	757620bbace82287ecd95b20d4762b3b
SAMN01919304	SAMN01919304	SAMN01919304	SRS393086	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709444	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709444/SRR709444_2.fastq.gz	10699762462	f77c1b1b4e9073a268a2d42aa8a2f056
SAMN01919305	SAMN01919305	SAMN01919305	SRS393087	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709445	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709445/SRR709445_1.fastq.gz	8170791071	72a27587e204837b217a514f901945f0
SAMN01919305	SAMN01919305	SAMN01919305	SRS393087	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709445	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709445/SRR709445_2.fastq.gz	8559582373	4e32df33f94db1264837e9f513c7d169
SAMN01919306	SAMN01919306	SAMN01919306	SRS393088	PRJNA189299	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia_madagascariensis_ssp	Daubentonia	madagascariensis	ssp	Unknown	F	SRR709446	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR709/SRR709446/SRR709446_1.fastq.gz	7461889421	823e199371fa50263834d3abebf588ed
