BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941677	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/077/ERR10941677/ERR10941677_1.fastq.gz	6025337295.0	4f860ea0407579396f7d392239eb4315
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941677	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/077/ERR10941677/ERR10941677_2.fastq.gz	6237998248.0	c89ea4d6beb756a282b1fd47c061f10f
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941678	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10941678/ERR10941678_1.fastq.gz	5989754828.0	4d14a5c4026230da13ded402435ae9fb
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941678	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10941678/ERR10941678_2.fastq.gz	6180222044.0	b6799a5d3471c74854a0ede176535a33
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941679	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/079/ERR10941679/ERR10941679_1.fastq.gz	5972667840.0	fdf12ff9a832ecdd63cb6a159e627e87
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941679	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/079/ERR10941679/ERR10941679_2.fastq.gz	6171776748.0	41c2106c89d3666e04db60e341cd0c93
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941680	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/080/ERR10941680/ERR10941680_1.fastq.gz	6178237292.0	36579279c4e92c65c023383fb4e205b1
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941680	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/080/ERR10941680/ERR10941680_2.fastq.gz	5985479301.0	f8074157e0983b1a4daf38264cb1109f
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941681	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/081/ERR10941681/ERR10941681_1.fastq.gz	722849712.0	8b4c6ba9cb06dcfea8e7d0aba0e3103e
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941681	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/081/ERR10941681/ERR10941681_2.fastq.gz	698394719.0	d9450d3e9120a34348a253eed476b891
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941682	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/082/ERR10941682/ERR10941682_1.fastq.gz	726106554.0	2696f8baade53d6c0dc80e27fe29c1b2
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941682	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/082/ERR10941682/ERR10941682_2.fastq.gz	702028914.0	b43cc174892e379e73279f5e7b4a6b38
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941683	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/083/ERR10941683/ERR10941683_1.fastq.gz	716093505.0	181b89ebe2ec1698c5612c3fc3332b64
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941683	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/083/ERR10941683/ERR10941683_2.fastq.gz	692882526.0	857f184cc45643d3ac14cdac3bcd57b4
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941684	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/084/ERR10941684/ERR10941684_1.fastq.gz	713362617.0	2aae55ef2e32da9ca1756510b288d49b
SAMEA112482827	PD_0034	PD_0034	ERS14600178	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941684	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/084/ERR10941684/ERR10941684_2.fastq.gz	736608063.0	53eb3066ac147dfa233a9a96fe47e230
SAMEA112482855	PD_0062	PD_0062	ERS14600206	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941886	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10941886/ERR10941886_1.fastq.gz	6776741560.0	48081411a7861d5f9c3deda3562c96a8
SAMEA112482855	PD_0062	PD_0062	ERS14600206	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941886	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10941886/ERR10941886_2.fastq.gz	7012805000.0	59f7c2ffeb8b6aed387eb9f41097817c
SAMEA112482855	PD_0062	PD_0062	ERS14600206	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941887	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10941887/ERR10941887_1.fastq.gz	6959772989.0	920d691d6b50d014d1dcda066ed8a75b
SAMEA112482855	PD_0062	PD_0062	ERS14600206	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941887	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10941887/ERR10941887_2.fastq.gz	6727234045.0	9a94774f5e120da15bdacc09ad9453eb
SAMEA112482855	PD_0062	PD_0062	ERS14600206	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941888	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/088/ERR10941888/ERR10941888_1.fastq.gz	6890114010.0	1cff88bfad5a7f93bc465ea6aedbf96c
SAMEA112482855	PD_0062	PD_0062	ERS14600206	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941888	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/088/ERR10941888/ERR10941888_2.fastq.gz	6706074712.0	82781ffaa1c96d77c1ba95975bf73287
SAMEA112482855	PD_0062	PD_0062	ERS14600206	PRJEB59576	Erythrocebus_patas_ssp	Erythrocebus_patas_ssp	Chlorocebus_sabaeus_ssp	Erythrocebus	patas	ssp	M	M	ERR10941889	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/089/ERR10941889/ERR10941889_1.fastq.gz	6827906429.0	ab0c876226db5026d69ec49ecf852687
