BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	35.266	0.983			Unknown	Unknown
SAMEA112483140	PD_0611	PD_0611	ERS14600491	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	42.856	0.984			Unknown	Unknown
SAMEA116330143	SAMEA116330143	SAMEA116330143	ERS21378989	PRJEB77609	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	Unknown	Unknown	13.227	0.493			Unknown	Unknown
SAMEA116330144	SAMEA116330144	SAMEA116330144	ERS21378990	PRJEB77609	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	Unknown	Unknown	19.401	0.517			Unknown	Unknown
SAMEA116330145	SAMEA116330145	SAMEA116330145	ERS21378991	PRJEB77609	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	Unknown	Unknown	34.88	0.983			Unknown	Unknown
SAMEA116330146	SAMEA116330146	SAMEA116330146	ERS21378992	PRJEB77609	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	Unknown	Unknown	19.153	0.505			Unknown	Unknown
SAMEA112482910	PD_0152	PD_0152	ERS14600261	PRJEB59576	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur	flavifrons	ssp	F	F	45.561	0.988			Unknown	Unknown
SAMEA112483141	PD_0612	PD_0612	ERS14600492	PRJEB59576	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur	flavifrons	ssp	F	F	52.615	0.988			Unknown	Unknown
SAMEA116330147	SAMEA116330147	SAMEA116330147	ERS21378993	PRJEB77609	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur	flavifrons	ssp	Unknown	Unknown	33.168	0.889			Unknown	Unknown
SAMEA116330148	SAMEA116330148	SAMEA116330148	ERS21378994	PRJEB77609	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur	flavifrons	ssp	Unknown	Unknown	7.121	0.977			Unknown	Unknown
SAMEA116330149	SAMEA116330149	SAMEA116330149	ERS21378995	PRJEB77609	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur	flavifrons	ssp	Unknown	Unknown	32.172	0.866			Unknown	Unknown
SAMEA116330150	SAMEA116330150	SAMEA116330150	ERS21378996	PRJEB77609	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur	flavifrons	ssp	Unknown	Unknown	38.685	0.909			Unknown	Unknown
SAMN03699688	SAMN03699688	SAMN03699688	SRS945120	PRJNA284191	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur	flavifrons	ssp	F	F	41.263	0.987			Unknown	Unknown
SAMN03733420	SAMN03733420	SAMN03733420	SRS945030	PRJNA284191	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur	flavifrons	ssp	Unknown	Unknown	5.858	0.976			Unknown	Unknown
SAMN03733421	SAMN03733421	SAMN03733421	SRS945599	PRJNA284191	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur	flavifrons	ssp	Unknown	Unknown	3.439	0.937			Unknown	Unknown
SAMN03733422	SAMN03733422	SAMN03733422	SRS945358	PRJNA284191	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur_flavifrons_ssp	Eulemur	flavifrons	ssp	Unknown	Unknown	3.763	0.944			Unknown	Unknown
SAMEA112482911	PD_0153	PD_0153	ERS14600262	PRJEB59576	Eulemur_macaco_ssp	Eulemur_macaco_ssp	Eulemur_flavifrons_ssp	Eulemur	macaco	ssp	F	F	43.907	0.987			Unknown	Unknown
