BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942546	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10942546/ERR10942546_1.fastq.gz	1571385332	3aa71a0b811c4a54fdadaeca5be69b02
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942546	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10942546/ERR10942546_2.fastq.gz	1525742281	b3b594a009d06c4b4a419735fdf490ea
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942547	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/047/ERR10942547/ERR10942547_1.fastq.gz	1524754355	fd5445aecccba6f9eb1529179c4432e8
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942547	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/047/ERR10942547/ERR10942547_2.fastq.gz	1567648824	0b7635f1609e082e49d1e6beb6363a1e
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942548	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/048/ERR10942548/ERR10942548_1.fastq.gz	1558955391	1670b122aa3365ffa808bb663a12b1c4
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942548	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/048/ERR10942548/ERR10942548_2.fastq.gz	1518231244	9d7b68a52a1eaba628002f0c17143907
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942549	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10942549/ERR10942549_1.fastq.gz	1530421365	03af2f98c11090f86a68caad5926054b
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942549	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10942549/ERR10942549_2.fastq.gz	1571094221	797ede35e5f956294c9b741b6be00d9b
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942550	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10942550/ERR10942550_1.fastq.gz	5463535957	10bb4e8ce0c4ca7e7324b433c4fd63f4
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942550	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10942550/ERR10942550_2.fastq.gz	5636620791	dd42b7e92d6b22b21fd1da6857242166
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942551	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/051/ERR10942551/ERR10942551_1.fastq.gz	5570658612	b1ee240b8e86ea79be942d6e884f829e
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942551	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/051/ERR10942551/ERR10942551_2.fastq.gz	5406760275	43dd0a94c684853ababec8c693f933fa
SAMEA112482909	PD_0151	PD_0151	ERS14600260	PRJEB59576	Eulemur_coronatus_ssp	Eulemur_coronatus_ssp	Eulemur_flavifrons_ssp	Eulemur	coronatus	ssp	F	F	ERR10942552	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10942552/ERR10942552_1.fastq.gz	5415690094	bc9d5cfa29ff2cdd5106ddaf5cf943dc
