BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA116330175	SAMEA116330175	SAMEA116330175	ERS21379021	PRJEB77609	Hapalemur_aureus_ssp	Hapalemur_aureus_ssp	Lemur_catta_ssp	Hapalemur	aureus	ssp	Unknown	M	ERR13912393	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/093/ERR13912393/ERR13912393_1.fastq.gz	26019147680	68343577ae5506d494cf72ea4f8f0b6d
SAMEA116330175	SAMEA116330175	SAMEA116330175	ERS21379021	PRJEB77609	Hapalemur_aureus_ssp	Hapalemur_aureus_ssp	Lemur_catta_ssp	Hapalemur	aureus	ssp	Unknown	M	ERR13912393	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/093/ERR13912393/ERR13912393_2.fastq.gz	25073879041	577b6a263ebcdd60e4faac3ee511c68c
SAMEA112483148	PD_0619	PD_0619	ERS14600499	PRJEB59576	Hapalemur_griseus_alaotrensis	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	alaotrensis	F	F	ERR11476765	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/065/ERR11476765/ERR11476765_1.fastq.gz	18013915718	5de6aeb55c41172fc714874ef37e3e4a
SAMEA112483148	PD_0619	PD_0619	ERS14600499	PRJEB59576	Hapalemur_griseus_alaotrensis	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	alaotrensis	F	F	ERR11476765	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/065/ERR11476765/ERR11476765_2.fastq.gz	19604474665	9898d242e15697270b2811b0202ef69b
SAMEA116330171	SAMEA116330171	SAMEA116330171	ERS21379017	PRJEB77609	Hapalemur_griseus_alaotrensis	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	alaotrensis	Unknown	F	ERR13912383	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/083/ERR13912383/ERR13912383_1.fastq.gz	23399607903	555e480c55426432a20f7a039082cd20
SAMEA116330171	SAMEA116330171	SAMEA116330171	ERS21379017	PRJEB77609	Hapalemur_griseus_alaotrensis	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	alaotrensis	Unknown	F	ERR13912383	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/083/ERR13912383/ERR13912383_2.fastq.gz	24958923997	705ca4737dcbd48c6470392a01739538
SAMEA112482915	PD_0157	PD_0157	ERS14600266	PRJEB59576	Hapalemur_griseus_ssp	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	ssp	F	M	ERR10942594	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10942594/ERR10942594_1.fastq.gz	6019033303	27a636d06e081cb2ff7c6a099f203a9a
SAMEA112482915	PD_0157	PD_0157	ERS14600266	PRJEB59576	Hapalemur_griseus_ssp	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	ssp	F	M	ERR10942594	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10942594/ERR10942594_2.fastq.gz	5836921483	ab529c0ee44727d73e16b07c9121b1c4
SAMEA112482915	PD_0157	PD_0157	ERS14600266	PRJEB59576	Hapalemur_griseus_ssp	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	ssp	F	M	ERR10942595	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/095/ERR10942595/ERR10942595_1.fastq.gz	5723277809	147ffc5e22a4a5aad2ef41d9e6dbd80a
SAMEA112482915	PD_0157	PD_0157	ERS14600266	PRJEB59576	Hapalemur_griseus_ssp	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	ssp	F	M	ERR10942595	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/095/ERR10942595/ERR10942595_2.fastq.gz	5914500243	a4bce3a54835d04863a27e6f500b63bb
SAMEA112482915	PD_0157	PD_0157	ERS14600266	PRJEB59576	Hapalemur_griseus_ssp	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	ssp	F	M	ERR10942596	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/096/ERR10942596/ERR10942596_1.fastq.gz	5706873853	0f6954d1239a31a4e0816e755f4774b0
SAMEA112482915	PD_0157	PD_0157	ERS14600266	PRJEB59576	Hapalemur_griseus_ssp	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	ssp	F	M	ERR10942596	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/096/ERR10942596/ERR10942596_2.fastq.gz	5873464727	442b53c6adede80eb845c69ede1e54d2
SAMEA112482915	PD_0157	PD_0157	ERS14600266	PRJEB59576	Hapalemur_griseus_ssp	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	ssp	F	M	ERR10942597	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/097/ERR10942597/ERR10942597_1.fastq.gz	5748185405	abc7b63f9affdbbee31c72a2cdd71e13
SAMEA112482915	PD_0157	PD_0157	ERS14600266	PRJEB59576	Hapalemur_griseus_ssp	Hapalemur_griseus_ssp	Lemur_catta_ssp	Hapalemur	griseus	ssp	F	M	ERR10942597	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/097/ERR10942597/ERR10942597_2.fastq.gz	5594322289	f8cebef3b8d61ebc7b134369c4f38e4d
