BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
HGDP00511	HGDP00511	HGDP00511	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	30.0	0.978	28.0	0.974	20.0	0.49
HGDP00512	HGDP00512	HGDP00512	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	31.0	0.979	29.0	0.976	21.0	0.5
HGDP00513	HGDP00513	HGDP00513	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	32.0	0.98	30.0	0.978	22.0	0.51
HGDP00514	HGDP00514	HGDP00514	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	33.0	0.978	31.0	0.974	23.0	0.52
HGDP00515	HGDP00515	HGDP00515	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	34.0	0.979	28.0	0.976	24.0	0.49
HGDP00516	HGDP00516	HGDP00516	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	30.0	0.98	29.0	0.978	20.0	0.5
HGDP00517	HGDP00517	HGDP00517	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	31.0	0.978	30.0	0.974	21.0	0.51
HGDP00518	HGDP00518	HGDP00518	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	32.0	0.979	31.0	0.976	22.0	0.52
HGDP00519	HGDP00519	HGDP00519	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	33.0	0.98	28.0	0.978	23.0	0.49
HGDP00520	HGDP00520	HGDP00520	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	34.0	0.978	29.0	0.974	24.0	0.5
HGDP00521	HGDP00521	HGDP00521	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	30.0	0.979	30.0	0.976	20.0	0.51
HGDP00522	HGDP00522	HGDP00522	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	31.0	0.98	31.0	0.978	21.0	0.52
HGDP00523	HGDP00523	HGDP00523	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	32.0	0.978	28.0	0.974	22.0	0.49
HGDP00524	HGDP00524	HGDP00524	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	33.0	0.979	29.0	0.976	23.0	0.5
HGDP00525	HGDP00525	HGDP00525	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	34.0	0.98	30.0	0.978	24.0	0.51
HGDP00526	HGDP00526	HGDP00526	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	30.0	0.978	31.0	0.974	20.0	0.52
HGDP00527	HGDP00527	HGDP00527	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	31.0	0.979	28.0	0.976	21.0	0.49
HGDP00528	HGDP00528	HGDP00528	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	32.0	0.98	29.0	0.978	22.0	0.5
HGDP00529	HGDP00529	HGDP00529	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	33.0	0.978	30.0	0.974	23.0	0.51
HGDP00530	HGDP00530	HGDP00530	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	34.0	0.979	31.0	0.976	24.0	0.52
HGDP00531	HGDP00531	HGDP00531	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	30.0	0.98	28.0	0.978	20.0	0.49
HGDP00533	HGDP00533	HGDP00533	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	32.0	0.979	30.0	0.976	22.0	0.51
HGDP00534	HGDP00534	HGDP00534	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	33.0	0.98	31.0	0.978	23.0	0.52
HGDP00535	HGDP00535	HGDP00535	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	34.0	0.978	28.0	0.974	24.0	0.49
HGDP00536	HGDP00536	HGDP00536	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	30.0	0.979	29.0	0.976	20.0	0.5
HGDP00537	HGDP00537	HGDP00537	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	31.0	0.98	30.0	0.978	21.0	0.51
HGDP00538	HGDP00538	HGDP00538	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	M	M	32.0	0.978	31.0	0.974	22.0	0.52
HGDP00539	HGDP00539	HGDP00539	.	.	Homo_sapiens	Homo_sapiens	Homo_sapiens	Homo	sapiens	.	F	F	33.0	0.979	28.0	0.976	23.0	0.49
