BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493706	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR11493706/ERR11493706_1.fastq.gz	1291131916	b19736972aaf9a6834b74af4a9c03e2a
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493706	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR11493706/ERR11493706_2.fastq.gz	1298316230	4d9c69fb64ed820a76e3e5d95ad71520
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493707	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR11493707/ERR11493707_1.fastq.gz	1344992804	89e585256d887d951b664c5fe4066489
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493707	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR11493707/ERR11493707_2.fastq.gz	1333057553	86c49e67bbfb3c72395fe178ed972044
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493708	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR11493708/ERR11493708_1.fastq.gz	1286790528	0ea57c19228a93fc4cf9ef90af49dd34
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493708	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR11493708/ERR11493708_2.fastq.gz	1293287667	40034ff84d695f02e1c1d07be5523b6d
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493709	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR11493709/ERR11493709_1.fastq.gz	1285749001	c903e35a7d1040a11adb8bab38e9214e
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493709	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR11493709/ERR11493709_2.fastq.gz	1281358978	173c29b5c1eb40df8bff76ac32c8b555
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493710	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/010/ERR11493710/ERR11493710_1.fastq.gz	3602768947	98f74052d967a027ea0b166400437fb4
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493710	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/010/ERR11493710/ERR11493710_2.fastq.gz	3527717529	ec56c488d3acb360101ace91925bb7a8
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493711	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/011/ERR11493711/ERR11493711_1.fastq.gz	3768019101	8e3914e8200a10acb85d9f6a2d4122c3
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493711	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/011/ERR11493711/ERR11493711_2.fastq.gz	3694944068	03a42638716a728adacb206452591e65
SAMEA112483049	PD_0520	PD_0520	ERS14600400	PRJEB59576	Hoolock_hoolock_ssp	Hoolock_hoolock_ssp	Hoolock_leuconedys_ssp	Hoolock	hoolock	ssp	F	F	ERR11493712	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/012/ERR11493712/ERR11493712_1.fastq.gz	3625367045	5e2404ae4b4c7bba1fb0cdcb5f73c15f
