BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA112483149	PD_0620	PD_0620	ERS14600500	PRJEB59576	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	F	M	48.8	0.997	27.198	0.963	38.139	0.97
SAMEA116330181	SAMEA116330181	SAMEA116330181	ERS21379027	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	43.402	0.998	25.179	0.964	39.708	0.971
SAMEA116330182	SAMEA116330182	SAMEA116330182	ERS21379028	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	38.511	0.997	41.359	0.965	49.204	0.801
SAMEA116330183	SAMEA116330183	SAMEA116330183	ERS21379029	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	40.816	0.995	40.638	0.964	22.638	0.758
SAMEA116330184	SAMEA116330184	SAMEA116330184	ERS21379030	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	42.184	0.993	41.571	0.964	13.494	0.693
SAMEA116330185	SAMEA116330185	SAMEA116330185	ERS21379031	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	42.302	0.996	23.754	0.963	29.642	0.935
SAMEA116330186	SAMEA116330186	SAMEA116330186	ERS21379032	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	23.204	0.506	25.338	0.527	16.123	0.048
SAMEA116330187	SAMEA116330187	SAMEA116330187	ERS21379033	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	17.217	0.355	19.714	0.403	9.695	0.034
SAMEA5533100	SAMEA5533100	SAMEA5533100	ERS3335171	PRJEB32376	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	55.563	0.997	29.686	0.963	48.965	0.97
SAMEA5533102	SAMEA5533102	SAMEA5533102	ERS3335173	PRJEB32376	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	31.013	0.997	17.827	0.961	34.165	0.964
SAMEA5533103	SAMEA5533103	SAMEA5533103	ERS3335174	PRJEB32376	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	32.008	0.997	17.806	0.961	34.567	0.964
SAMEA5533105	SAMEA5533105	SAMEA5533105	ERS3335176	PRJEB32376	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	30.964	0.997	17.655	0.962	36.896	0.969
SAMEA5533110	SAMEA5533110	SAMEA5533110	ERS3335181	PRJEB32376	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	32.611	0.997	19.164	0.962	39.199	0.97
SAMEA5533120	SAMEA5533120	SAMEA5533120	ERS3335191	PRJEB32376	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	41.45	0.996	23.233	0.961	40.134	0.967
SAMEA5533121	SAMEA5533121	SAMEA5533121	ERS3335192	PRJEB32376	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	41.544	0.996	22.811	0.96	38.988	0.967
SAMEA5533122	SAMEA5533122	SAMEA5533122	ERS3335193	PRJEB32376	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	38.744	0.996	20.781	0.96	38.631	0.966
SAMEA5533123	SAMEA5533123	SAMEA5533123	ERS3335194	PRJEB32376	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	37.157	0.996	20.763	0.961	41.134	0.968
SAMEA5533126	SAMEA5533126	SAMEA5533126	ERS3335197	PRJEB32376	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	37.157	0.996	20.246	0.96	39.708	0.97
