BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112483149	PD_0620	PD_0620	ERS14600500	PRJEB59576	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	F	M	ERR11476908	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR11476908/ERR11476908_1.fastq.gz	17145559473	4511f8afff3d00d31b15f1cad16189b9
SAMEA112483149	PD_0620	PD_0620	ERS14600500	PRJEB59576	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	F	M	ERR11476908	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR11476908/ERR11476908_2.fastq.gz	18658051504	84875ad46dc3819ccc8522ecf680d225
SAMEA116330181	SAMEA116330181	SAMEA116330181	ERS21379027	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	ERR13926612	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/012/ERR13926612/ERR13926612_1.fastq.gz	24801401688	a0284193dc6b3c5e9db32cf7c2e316ff
SAMEA116330181	SAMEA116330181	SAMEA116330181	ERS21379027	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	ERR13926612	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/012/ERR13926612/ERR13926612_2.fastq.gz	26014875873	f1232237071f21b829cf0fdfc7084576
SAMEA116330182	SAMEA116330182	SAMEA116330182	ERS21379028	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	ERR13912378	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/078/ERR13912378/ERR13912378_1.fastq.gz	22347740626	e51c366253b47fca1b3730d62d7b1b85
SAMEA116330182	SAMEA116330182	SAMEA116330182	ERS21379028	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	ERR13912378	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/078/ERR13912378/ERR13912378_2.fastq.gz	23075770603	b6bc773c80e363a0d85cbd93eeedfc29
SAMEA116330183	SAMEA116330183	SAMEA116330183	ERS21379029	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	ERR13912381	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/081/ERR13912381/ERR13912381_1.fastq.gz	24438354807	0c2896c326534a8c7cdb36a9d6a20d9d
SAMEA116330183	SAMEA116330183	SAMEA116330183	ERS21379029	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	ERR13912381	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/081/ERR13912381/ERR13912381_2.fastq.gz	23169998357	9026fa5ad64f065bc0776a1be2fb5c04
SAMEA116330184	SAMEA116330184	SAMEA116330184	ERS21379030	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	ERR13912384	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/084/ERR13912384/ERR13912384_1.fastq.gz	25494950306	687f5f03c47ea6bc5d8802431a6247e3
SAMEA116330184	SAMEA116330184	SAMEA116330184	ERS21379030	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	F	ERR13912384	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/084/ERR13912384/ERR13912384_2.fastq.gz	23840152572	f005f5045c3510a3424280f569a5afd2
SAMEA116330185	SAMEA116330185	SAMEA116330185	ERS21379031	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	ERR13912386	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/086/ERR13912386/ERR13912386_1.fastq.gz	25148268594	eb8d65088e284dae773c7febea7d111c
SAMEA116330185	SAMEA116330185	SAMEA116330185	ERS21379031	PRJEB77609	Lemur_catta_ssp	Lemur_catta_ssp	Lemur_catta_ssp	Lemur	catta	ssp	Unknown	M	ERR13912386	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/086/ERR13912386/ERR13912386_2.fastq.gz	23839427915	836e23bc4293f825fcacbadef21fab32
