BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112483308	PD_0840	PD_0840	ERS14600659	PRJEB59576	Leontopithecus_chrysomelas_ssp	Leontopithecus_chrysomelas_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	chrysomelas	ssp	M	M	ERR12175376	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/076/ERR12175376/ERR12175376_1.fastq.gz	14900613452	b7dddc3b4b415446561f2dd290504229
SAMEA112483308	PD_0840	PD_0840	ERS14600659	PRJEB59576	Leontopithecus_chrysomelas_ssp	Leontopithecus_chrysomelas_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	chrysomelas	ssp	M	M	ERR12175376	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/076/ERR12175376/ERR12175376_2.fastq.gz	15756296940	4c04dd08f462b2f0e50b937481f8b359
SAMEA112483309	PD_0841	PD_0841	ERS14600660	PRJEB59576	Leontopithecus_chrysomelas_ssp	Leontopithecus_chrysomelas_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	chrysomelas	ssp	F	F	ERR12175377	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/077/ERR12175377/ERR12175377_1.fastq.gz	12470619157	694f47c12df7266fa90c6f618101b317
SAMEA112483309	PD_0841	PD_0841	ERS14600660	PRJEB59576	Leontopithecus_chrysomelas_ssp	Leontopithecus_chrysomelas_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	chrysomelas	ssp	F	F	ERR12175377	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/077/ERR12175377/ERR12175377_2.fastq.gz	13202213882	bcfaaf908f5d0345e2ba0e1a285458d7
SAMEA112483312	PD_0844	PD_0844	ERS14600663	PRJEB59576	Leontopithecus_chrysomelas_ssp	Leontopithecus_chrysomelas_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	chrysomelas	ssp	M	M	ERR12175380	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/080/ERR12175380/ERR12175380_1.fastq.gz	14175123520	00f45c063c6e8197c47b1c37c958e701
SAMEA112483312	PD_0844	PD_0844	ERS14600663	PRJEB59576	Leontopithecus_chrysomelas_ssp	Leontopithecus_chrysomelas_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	chrysomelas	ssp	M	M	ERR12175380	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/080/ERR12175380/ERR12175380_2.fastq.gz	14978519555	842594e1c3a2a66f03945102b085e487
SAMN31952328	SAMN31952328	SAMN31952328	SRS15953438	PRJNA512907	Leontopithecus_chrysomelas_ssp	Leontopithecus_chrysomelas_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	chrysomelas	ssp	F	M	SRR22515597	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/097/SRR22515597/SRR22515597_1.fastq.gz	29186509459	b30bbe91d1929cf9a930b214995cd903
SAMN31952328	SAMN31952328	SAMN31952328	SRS15953438	PRJNA512907	Leontopithecus_chrysomelas_ssp	Leontopithecus_chrysomelas_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	chrysomelas	ssp	F	M	SRR22515597	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/097/SRR22515597/SRR22515597_2.fastq.gz	29434381774	a7a8e417682e84d89249164e8e323128
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943658	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/058/ERR10943658/ERR10943658_1.fastq.gz	3437874371	6587d2c9ee3fd2516d1063a84c0775c0
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943658	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/058/ERR10943658/ERR10943658_2.fastq.gz	3326602269	17f122431d730ad01bdddd13193f56c2
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943659	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/059/ERR10943659/ERR10943659_1.fastq.gz	3445009651	08be2f49181a4b56ca089e8eded50f88
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943659	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/059/ERR10943659/ERR10943659_2.fastq.gz	3338149575	0a108110a68692c8dd613c5fa3bacad0
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943660	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/060/ERR10943660/ERR10943660_1.fastq.gz	3450269226	e0f10afec743a118a76d30a4e1eb94a0
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943660	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/060/ERR10943660/ERR10943660_2.fastq.gz	3340317044	85758091db635550fa78f252ec3895ab
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943661	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/061/ERR10943661/ERR10943661_1.fastq.gz	3466897154	7f5115e4fc2a1837744af2d9095dca89
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943661	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/061/ERR10943661/ERR10943661_2.fastq.gz	3368271349	0e269ef0b58a137e2d6ecc71b9b74344
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943662	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/062/ERR10943662/ERR10943662_1.fastq.gz	4320858620	e695bae76a868b4378496a19e4abf66b
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943662	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/062/ERR10943662/ERR10943662_2.fastq.gz	4448495076	fb87d86d217d4cc7fc318a969c9b5fc7
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943663	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/063/ERR10943663/ERR10943663_1.fastq.gz	4246088960	a203d20c8e529ce1b541521db2250ff2
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943663	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/063/ERR10943663/ERR10943663_2.fastq.gz	4368748762	fcca040c3505e4abc0f12b01fef489d0
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943664	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10943664/ERR10943664_1.fastq.gz	4512237796	41e2b9f988d1a051cd7020c7f926249f
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943664	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10943664/ERR10943664_2.fastq.gz	4381665085	dc5ac82a8dfa2bd1964641d78c8b007d
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943665	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/065/ERR10943665/ERR10943665_1.fastq.gz	4416330251	84689941a7eaf42bd45955be983f6ce9
SAMEA112483026	PD_0293	PD_0293	ERS14600377	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10943665	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/065/ERR10943665/ERR10943665_2.fastq.gz	4545303274	492bf28c4f281cb7601a20e3705654e0
SAMEA112483047	PD_0411	PD_0411	ERS14600398	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10973025	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/025/ERR10973025/ERR10973025_1.fastq.gz	1630378489	e115250b524714f280a752745730bbe7
SAMEA112483047	PD_0411	PD_0411	ERS14600398	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10973025	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/025/ERR10973025/ERR10973025_2.fastq.gz	1706326554	c245c38c965244a19848332c1349013e
SAMEA112483047	PD_0411	PD_0411	ERS14600398	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10973026	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/026/ERR10973026/ERR10973026_1.fastq.gz	1643827092	70d71e62dd288b3da0ede3c6f01586c1
SAMEA112483047	PD_0411	PD_0411	ERS14600398	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10973026	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/026/ERR10973026/ERR10973026_2.fastq.gz	1571546441	03c67a5cb2ee4707e8d7b18dc694e04a
SAMEA112483047	PD_0411	PD_0411	ERS14600398	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10973027	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/027/ERR10973027/ERR10973027_1.fastq.gz	1633700793	6ba8bc950be1dca074411eb3ccd92fae
SAMEA112483047	PD_0411	PD_0411	ERS14600398	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10973027	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/027/ERR10973027/ERR10973027_2.fastq.gz	1711888125	3a6762ae5e3f1d39d10bf957e9bcf089
SAMEA112483047	PD_0411	PD_0411	ERS14600398	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10973028	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/028/ERR10973028/ERR10973028_1.fastq.gz	1611990742	a81c0c9327619199e3ac090fb8860c40
SAMEA112483047	PD_0411	PD_0411	ERS14600398	PRJEB59576	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus_rosalia_ssp	Leontopithecus	rosalia	ssp	F	F	ERR10973028	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/028/ERR10973028/ERR10973028_2.fastq.gz	1686955183	d43df9811aac668352b9d73ee1f739cf
