BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112483060	PD_0531	PD_0531	ERS14600411	PRJEB59576	Loris_lydekkerianus_ssp	Loris_lydekkerianus_ssp	Nycticebus_coucang_ssp	Loris	lydekkerianus	ssp	M	M	ERR11493714	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/014/ERR11493714/ERR11493714_1.fastq.gz	2679141933	0833dd67ba25e2960c21516981acda21
SAMEA112483060	PD_0531	PD_0531	ERS14600411	PRJEB59576	Loris_lydekkerianus_ssp	Loris_lydekkerianus_ssp	Nycticebus_coucang_ssp	Loris	lydekkerianus	ssp	M	M	ERR11493714	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/014/ERR11493714/ERR11493714_2.fastq.gz	2572826771	a01c99feefbe67710e5328789e0f72b3
SAMEA112483060	PD_0531	PD_0531	ERS14600411	PRJEB59576	Loris_lydekkerianus_ssp	Loris_lydekkerianus_ssp	Nycticebus_coucang_ssp	Loris	lydekkerianus	ssp	M	M	ERR11493715	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/015/ERR11493715/ERR11493715_1.fastq.gz	2636646419	56f54c0acf04df027a95199d32bfc89f
SAMEA112483060	PD_0531	PD_0531	ERS14600411	PRJEB59576	Loris_lydekkerianus_ssp	Loris_lydekkerianus_ssp	Nycticebus_coucang_ssp	Loris	lydekkerianus	ssp	M	M	ERR11493715	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/015/ERR11493715/ERR11493715_2.fastq.gz	2759313584	487211358780f0dadc28db6ce2420f9d
SAMEA112483060	PD_0531	PD_0531	ERS14600411	PRJEB59576	Loris_lydekkerianus_ssp	Loris_lydekkerianus_ssp	Nycticebus_coucang_ssp	Loris	lydekkerianus	ssp	M	M	ERR11493716	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/016/ERR11493716/ERR11493716_1.fastq.gz	2671183714	55fdc9792b16c8af6f82f255144b906f
SAMEA112483060	PD_0531	PD_0531	ERS14600411	PRJEB59576	Loris_lydekkerianus_ssp	Loris_lydekkerianus_ssp	Nycticebus_coucang_ssp	Loris	lydekkerianus	ssp	M	M	ERR11493716	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/016/ERR11493716/ERR11493716_2.fastq.gz	2567401483	e84b664fc24c70e91db78dc2301bd632
SAMEA112483060	PD_0531	PD_0531	ERS14600411	PRJEB59576	Loris_lydekkerianus_ssp	Loris_lydekkerianus_ssp	Nycticebus_coucang_ssp	Loris	lydekkerianus	ssp	M	M	ERR11493717	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/017/ERR11493717/ERR11493717_1.fastq.gz	2676443386	7b502b9edd40a0ff2cbefa5459028b05
SAMEA112483060	PD_0531	PD_0531	ERS14600411	PRJEB59576	Loris_lydekkerianus_ssp	Loris_lydekkerianus_ssp	Nycticebus_coucang_ssp	Loris	lydekkerianus	ssp	M	M	ERR11493717	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/017/ERR11493717/ERR11493717_2.fastq.gz	2571143290	0c4bb9b2cfac0b327c6e13558b078d5e
SAMEA112483060	PD_0531	PD_0531	ERS14600411	PRJEB59576	Loris_lydekkerianus_ssp	Loris_lydekkerianus_ssp	Nycticebus_coucang_ssp	Loris	lydekkerianus	ssp	M	M	ERR11493718	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/018/ERR11493718/ERR11493718_1.fastq.gz	3653101570	55ee05670cc0a46f8146478cd57b92a8
SAMEA112483060	PD_0531	PD_0531	ERS14600411	PRJEB59576	Loris_lydekkerianus_ssp	Loris_lydekkerianus_ssp	Nycticebus_coucang_ssp	Loris	lydekkerianus	ssp	M	M	ERR11493718	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/018/ERR11493718/ERR11493718_2.fastq.gz	3433744882	45beb8c5e2d8e46841fa8f9e03d56d67
