BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMD00215308	SAMD00215308	SAMD00215308	DRS139837	PRJDB9555	Macaca_fascicularis_aureus	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	aureus	Unknown	F	DRR219369	R1	ftp.sra.ebi.ac.uk/vol1/fastq/DRR219/DRR219369/DRR219369_1.fastq.gz	44792625919	dca990ab41048488aa048a02ef784d5f
SAMD00215308	SAMD00215308	SAMD00215308	DRS139837	PRJDB9555	Macaca_fascicularis_aureus	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	aureus	Unknown	F	DRR219369	R2	ftp.sra.ebi.ac.uk/vol1/fastq/DRR219/DRR219369/DRR219369_2.fastq.gz	51511695472	a40537e96ba6c0e25379c7d47f49e0d7
SAMD00215309	SAMD00215309	SAMD00215309	DRS139838	PRJDB9555	Macaca_fascicularis_aureus	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	aureus	Unknown	M	DRR219370	R1	ftp.sra.ebi.ac.uk/vol1/fastq/DRR219/DRR219370/DRR219370_1.fastq.gz	40763850167	046df167c208fdd944ab9b73575eb652
SAMD00215309	SAMD00215309	SAMD00215309	DRS139838	PRJDB9555	Macaca_fascicularis_aureus	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	aureus	Unknown	M	DRR219370	R2	ftp.sra.ebi.ac.uk/vol1/fastq/DRR219/DRR219370/DRR219370_2.fastq.gz	46646409058	bae21a87170adace8929df15fa6ae6e0
SAMD00215310	SAMD00215310	SAMD00215310	DRS139839	PRJDB9555	Macaca_fascicularis_fascicularis	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	fascicularis	Unknown	M	DRR219371	R1	ftp.sra.ebi.ac.uk/vol1/fastq/DRR219/DRR219371/DRR219371_1.fastq.gz	39080239724	bb91c9b18505be9364681da1c7f8133f
SAMD00215310	SAMD00215310	SAMD00215310	DRS139839	PRJDB9555	Macaca_fascicularis_fascicularis	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	fascicularis	Unknown	M	DRR219371	R2	ftp.sra.ebi.ac.uk/vol1/fastq/DRR219/DRR219371/DRR219371_2.fastq.gz	44897539110	ffa122294cb0244249e199cb70712701
SAMEA112483067	PD_0538	PD_0538	ERS14600418	PRJEB59576	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	ssp	M	M	ERR11493758	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/058/ERR11493758/ERR11493758_1.fastq.gz	4653187798	cb62fdc36a2baa95204d140a2fb2c655
SAMEA112483067	PD_0538	PD_0538	ERS14600418	PRJEB59576	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	ssp	M	M	ERR11493758	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/058/ERR11493758/ERR11493758_2.fastq.gz	4885913016	6adde19ce0ef0214624a1d521bca0492
SAMEA112483067	PD_0538	PD_0538	ERS14600418	PRJEB59576	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	ssp	M	M	ERR11493759	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/059/ERR11493759/ERR11493759_1.fastq.gz	4920163206	dc30f927d241d854afb10e1a73355ed1
SAMEA112483067	PD_0538	PD_0538	ERS14600418	PRJEB59576	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	ssp	M	M	ERR11493759	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/059/ERR11493759/ERR11493759_2.fastq.gz	4709177929	fb9e242e8d33775ccfe469b9ac8ca1dd
SAMEA112483067	PD_0538	PD_0538	ERS14600418	PRJEB59576	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca_fascicularis_ssp	Macaca	fascicularis	ssp	M	M	ERR11493760	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/060/ERR11493760/ERR11493760_1.fastq.gz	4578517085	cd4c79aa1be82d2648c67f5f28ceada3
