BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691812	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/002/SRR1691812/SRR1691812_1.fastq.gz	14639749837	e89969168182351094b58296b4e5a426
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691812	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/002/SRR1691812/SRR1691812_2.fastq.gz	15016033057	c426a270eafd25aaba6d16a8f8b3f37b
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691813	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/003/SRR1691813/SRR1691813_1.fastq.gz	20103852175	5bf51d4872b6fc887d20faef01d40e27
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691813	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/003/SRR1691813/SRR1691813_2.fastq.gz	21118086086	fcf741f830bd9c6a5ca86f8ffe004d79
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691814	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/004/SRR1691814/SRR1691814_1.fastq.gz	15283086938	2262221e40b83a4130e83fbabb836b9d
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691814	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/004/SRR1691814/SRR1691814_2.fastq.gz	15083301719	51d5996228cb7b8f866ad120feee26c1
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691815	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/005/SRR1691815/SRR1691815_1.fastq.gz	11003172155	1a00077a659cbcf0ae9832126a9859c2
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691815	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/005/SRR1691815/SRR1691815_2.fastq.gz	11041327126	ae397a47eb8b7d7bc9e2bae686455115
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691816	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/006/SRR1691816/SRR1691816_1.fastq.gz	17137858319	593da0a7f4445e8ee945db4f074d5302
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691816	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/006/SRR1691816/SRR1691816_2.fastq.gz	17357472127	37131559ef4d3cbb1480695b4f4d5219
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691817	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/007/SRR1691817/SRR1691817_1.fastq.gz	10998522995	f2f479767e72b55b8b8cb729d69f5145
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691817	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/007/SRR1691817/SRR1691817_2.fastq.gz	12459963995	e80878b18efcf69160c7a3c35fe031fa
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691818	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/008/SRR1691818/SRR1691818_1.fastq.gz	16880373886	e0b6fa3466fae78c1355573cbcb27cc7
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691818	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/008/SRR1691818/SRR1691818_2.fastq.gz	16031473921	eecdabbf009142e2dca7b701d4d26806
SAMN03121813	SAMN03121813	SAMN03121813	SRS778210	PRJNA251423	Mandrillus_leucophaeus_ssp	Mandrillus_leucophaeus_ssp	Mandrillus_sphinx_ssp	Mandrillus	leucophaeus	ssp	F	F	SRR1691819	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/009/SRR1691819/SRR1691819_1.fastq.gz	17528506334	ca5ead579e77dd062a057e034eca452c
