BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482892	PD_0117	PD_0117	ERS14600243	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	M	M	ERR10942298	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10942298/ERR10942298_1.fastq.gz	6477453923	9acf47638580fcf047b7ea3b625f27eb
SAMEA112482892	PD_0117	PD_0117	ERS14600243	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	M	M	ERR10942298	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10942298/ERR10942298_2.fastq.gz	6330222468	da9b883805adfde948fd5a2fa8034aea
SAMEA112482892	PD_0117	PD_0117	ERS14600243	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	M	M	ERR10942299	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/099/ERR10942299/ERR10942299_1.fastq.gz	6267270680	a390e49ea4ce289c0dea365d347c918e
SAMEA112482892	PD_0117	PD_0117	ERS14600243	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	M	M	ERR10942299	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/099/ERR10942299/ERR10942299_2.fastq.gz	6418084215	e804394e5522f048d9fa4dff17a4ae03
SAMEA112482892	PD_0117	PD_0117	ERS14600243	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	M	M	ERR10942300	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/000/ERR10942300/ERR10942300_1.fastq.gz	6345386336	8f97779f5fde4d958cf1d876a588532f
SAMEA112482892	PD_0117	PD_0117	ERS14600243	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	M	M	ERR10942300	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/000/ERR10942300/ERR10942300_2.fastq.gz	6494473375	72d756f177742aa528d119356881473e
SAMEA112482892	PD_0117	PD_0117	ERS14600243	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	M	M	ERR10942301	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10942301/ERR10942301_1.fastq.gz	6426339456	1fe4be26bc4e7679208ff58d9d876d16
SAMEA112482892	PD_0117	PD_0117	ERS14600243	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	M	M	ERR10942301	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10942301/ERR10942301_2.fastq.gz	6582333250	d6bcb6d55b4d95e5dad57246331944db
SAMEA112482920	PD_0162	PD_0162	ERS14600271	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	F	F	ERR10942626	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/026/ERR10942626/ERR10942626_1.fastq.gz	4838438895	a432833eeaf4ba467ba496db0f638838
SAMEA112482920	PD_0162	PD_0162	ERS14600271	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	F	F	ERR10942626	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/026/ERR10942626/ERR10942626_2.fastq.gz	4952328662	f803f085d3feb857ee0ea4e6c6fbb36d
SAMEA112482920	PD_0162	PD_0162	ERS14600271	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	F	F	ERR10942627	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/027/ERR10942627/ERR10942627_1.fastq.gz	4891852014	775a78c01e38045b303721196c27481d
SAMEA112482920	PD_0162	PD_0162	ERS14600271	PRJEB59576	Mico_argentatus_ssp	Mico_argentatus_ssp	Callithrix_jacchus_ssp	Mico	argentatus	ssp	F	F	ERR10942627	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/027/ERR10942627/ERR10942627_2.fastq.gz	4768640009	2a32abb979bd6e1f593c1518d11c2e47
