BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942346	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10942346/ERR10942346_1.fastq.gz	3077783621	b5216508926a71e5ff8bce1d5fd72eca
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942346	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10942346/ERR10942346_2.fastq.gz	3001548592	1b4e027cfe88285e26c6a8b61a122bd5
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942347	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/047/ERR10942347/ERR10942347_1.fastq.gz	3101760475	f9632dfdb7692196fef6dbbb7b311f8a
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942347	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/047/ERR10942347/ERR10942347_2.fastq.gz	3018950017	4441c1cdcb84e8381be1071fa9574773
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942348	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/048/ERR10942348/ERR10942348_1.fastq.gz	3015032067	f5cb1c27bb1cdc25b66239619832f030
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942348	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/048/ERR10942348/ERR10942348_2.fastq.gz	2937673862	b433e967bf63cfc9345ff28687cd391b
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942349	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10942349/ERR10942349_1.fastq.gz	3094474091	d63b7144f3e513aec6e0ac1aa9ff75c7
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942349	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10942349/ERR10942349_2.fastq.gz	3014633556	48ffe0ba045ee6b002222e97bd6d3a55
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942350	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10942350/ERR10942350_1.fastq.gz	4425225782	7b15475027e2d8fd1c8ded29cccc4246
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942350	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10942350/ERR10942350_2.fastq.gz	4557475936	0b751d493c3ec76c235157ff0602271a
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942351	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/051/ERR10942351/ERR10942351_1.fastq.gz	4551178434	e550db04d9122cba6126d96e6b86b48a
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942351	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/051/ERR10942351/ERR10942351_2.fastq.gz	4693269439	7baca48edb3e9a5bdfcfdc132de9c88a
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942352	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10942352/ERR10942352_1.fastq.gz	4583325060	daf6ade74cd1d7fb508a2627c2ebb41a
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942352	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10942352/ERR10942352_2.fastq.gz	4445235881	b7fd6bf5232cd82bd5d95291072997a9
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942353	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/053/ERR10942353/ERR10942353_1.fastq.gz	4589565436	7dc00af870ae4a2bdb23f2fe5c75978a
SAMEA112482899	PD_0124	PD_0124	ERS14600250	PRJEB59576	Miopithecus_ogouensis_ssp	Miopithecus_ogouensis_ssp	Miopithecus_talapoin_ssp	Miopithecus	ogouensis	ssp	F	F	ERR10942353	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/053/ERR10942353/ERR10942353_2.fastq.gz	4721205454	661340b5efb48054b6f81fc94ba1c05b
SAMN29758772	SAMN29758772	SAMN29758772	SRS13919147	PRJNA512907	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus	talapoin	ssp	M	M	SRR20245446	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR202/046/SRR20245446/SRR20245446_1.fastq.gz	31520442758	d67123098bf3d7daee009e9dd526a0cd
SAMN29758772	SAMN29758772	SAMN29758772	SRS13919147	PRJNA512907	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus	talapoin	ssp	M	M	SRR20245446	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR202/046/SRR20245446/SRR20245446_2.fastq.gz	32887388602	da422a9b0007efd4743dacf41e1769be
SAMN29758772	SAMN29758772	SAMN29758772	SRS13919147	PRJNA512907	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus	talapoin	ssp	M	M	SRR20245447	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR202/047/SRR20245447/SRR20245447_1.fastq.gz	44543558804	4a07c7de249646a325bbab4c85d62b0e
SAMN29758772	SAMN29758772	SAMN29758772	SRS13919147	PRJNA512907	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus	talapoin	ssp	M	M	SRR20245447	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR202/047/SRR20245447/SRR20245447_2.fastq.gz	46603126736	0d302ae5e14089e9087c40e829dbf118
SAMN29758772	SAMN29758772	SAMN29758772	SRS13919147	PRJNA512907	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus	talapoin	ssp	M	M	SRR25948945	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/045/SRR25948945/SRR25948945_1.fastq.gz	1440517564	66050fe22f8040c2a2bc6eaf23419d46
SAMN29758772	SAMN29758772	SAMN29758772	SRS13919147	PRJNA512907	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus	talapoin	ssp	M	M	SRR25948945	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/045/SRR25948945/SRR25948945_2.fastq.gz	1373451125	d1338d0ec7d7454203f804c3c8cf9c83
SAMN29758772	SAMN29758772	SAMN29758772	SRS13919147	PRJNA512907	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus	talapoin	ssp	M	M	SRR25948946	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/046/SRR25948946/SRR25948946_1.fastq.gz	1745487195	88e42384117f02e78e6ff26d1fb22371
SAMN29758772	SAMN29758772	SAMN29758772	SRS13919147	PRJNA512907	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus_talapoin_ssp	Miopithecus	talapoin	ssp	M	M	SRR25948946	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/046/SRR25948946/SRR25948946_2.fastq.gz	1677480712	99d6ce6857726ffcf3ed0486f753f4bc
