BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941938	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/038/ERR10941938/ERR10941938_1.fastq.gz	1345074105	a56a59ebc0e1fb7fcbb3ca79213e5190
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941938	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/038/ERR10941938/ERR10941938_2.fastq.gz	1387839858	7e1709b2642cedcaba85d2a14a4aff7e
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941939	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10941939/ERR10941939_1.fastq.gz	1349020359	391db2d7158034a488f45f727a277fbc
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941939	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10941939/ERR10941939_2.fastq.gz	1388292384	81390988876d863568d9779eb0c5a353
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941940	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/040/ERR10941940/ERR10941940_1.fastq.gz	1394181202	bfe31fde61356b654e134ae36a9d0229
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941940	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/040/ERR10941940/ERR10941940_2.fastq.gz	1353426908	911d44568c0872a26bca31913960ad49
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941941	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/041/ERR10941941/ERR10941941_1.fastq.gz	1350796789	b379b8959eb51233d82975ce8881cc41
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941941	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/041/ERR10941941/ERR10941941_2.fastq.gz	1386442574	75c165184f92531134db5f188491ab9c
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941942	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/042/ERR10941942/ERR10941942_1.fastq.gz	5382594556	55f33ef676197bece0722544dd735ddc
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941942	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/042/ERR10941942/ERR10941942_2.fastq.gz	5218459097	25b7bba64e03a4902626d2ebfeb117ab
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941943	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/043/ERR10941943/ERR10941943_1.fastq.gz	5186726942	3b7f17d11d61a495fbfd679ae02f19e0
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941943	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/043/ERR10941943/ERR10941943_2.fastq.gz	5349158651	9f376006b438b2e0ea936ea6144b40f7
SAMEA112482862	PD_0069	PD_0069	ERS14600213	PRJEB59576	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis_larvatus_ssp	Nasalis	larvatus	ssp	M	M	ERR10941944	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/044/ERR10941944/ERR10941944_1.fastq.gz	5126493244	b4d95911e3d203affed6e448560b2107
