BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482922	PD_0164	PD_0164	ERS14600273	PRJEB59576	Nomascus_annamensis_ssp	Nomascus_annamensis_ssp	Nomascus_leucogenys_ssp	Nomascus	annamensis	ssp	M	M	ERR10942638	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/038/ERR10942638/ERR10942638_1.fastq.gz	6707395419	53681ac13ff5408811d1ad9f4ad4396b
SAMEA112482922	PD_0164	PD_0164	ERS14600273	PRJEB59576	Nomascus_annamensis_ssp	Nomascus_annamensis_ssp	Nomascus_leucogenys_ssp	Nomascus	annamensis	ssp	M	M	ERR10942638	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/038/ERR10942638/ERR10942638_2.fastq.gz	6537760408	f42214c47a57d8a14665d1749cd86766
SAMEA112482922	PD_0164	PD_0164	ERS14600273	PRJEB59576	Nomascus_annamensis_ssp	Nomascus_annamensis_ssp	Nomascus_leucogenys_ssp	Nomascus	annamensis	ssp	M	M	ERR10942639	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10942639/ERR10942639_1.fastq.gz	6711299314	20339ee65d0b96fb9a7d9134b299d728
SAMEA112482922	PD_0164	PD_0164	ERS14600273	PRJEB59576	Nomascus_annamensis_ssp	Nomascus_annamensis_ssp	Nomascus_leucogenys_ssp	Nomascus	annamensis	ssp	M	M	ERR10942639	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10942639/ERR10942639_2.fastq.gz	6550694588	d6a37a12cb1670354e4b6d01436e4a8d
SAMEA112482922	PD_0164	PD_0164	ERS14600273	PRJEB59576	Nomascus_annamensis_ssp	Nomascus_annamensis_ssp	Nomascus_leucogenys_ssp	Nomascus	annamensis	ssp	M	M	ERR10942640	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/040/ERR10942640/ERR10942640_1.fastq.gz	6674665265	ed6688fbba46c960c6c2cafd59f13220
SAMEA112482922	PD_0164	PD_0164	ERS14600273	PRJEB59576	Nomascus_annamensis_ssp	Nomascus_annamensis_ssp	Nomascus_leucogenys_ssp	Nomascus	annamensis	ssp	M	M	ERR10942640	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/040/ERR10942640/ERR10942640_2.fastq.gz	6521807963	43dfba6e0f9bbf901a88b0df47b32d3e
SAMEA112482922	PD_0164	PD_0164	ERS14600273	PRJEB59576	Nomascus_annamensis_ssp	Nomascus_annamensis_ssp	Nomascus_leucogenys_ssp	Nomascus	annamensis	ssp	M	M	ERR10942641	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/041/ERR10942641/ERR10942641_1.fastq.gz	6626281159	e4c108c2a056cd019f6a7d7b26ca0a28
SAMEA112482922	PD_0164	PD_0164	ERS14600273	PRJEB59576	Nomascus_annamensis_ssp	Nomascus_annamensis_ssp	Nomascus_leucogenys_ssp	Nomascus	annamensis	ssp	M	M	ERR10942641	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/041/ERR10942641/ERR10942641_2.fastq.gz	6775158437	6a497568567e0f7da450172c1810714e
SAMEA112482830	PD_0037	PD_0037	ERS14600181	PRJEB59576	Nomascus_concolor_ssp	Nomascus_concolor_ssp	Nomascus_leucogenys_ssp	Nomascus	concolor	ssp	M	M	ERR10941701	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10941701/ERR10941701_1.fastq.gz	6842224801	ce4bf29681dc6cf4e142a032448e4e95
SAMEA112482830	PD_0037	PD_0037	ERS14600181	PRJEB59576	Nomascus_concolor_ssp	Nomascus_concolor_ssp	Nomascus_leucogenys_ssp	Nomascus	concolor	ssp	M	M	ERR10941701	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10941701/ERR10941701_2.fastq.gz	7103866185	d00a39b0d86defa925f5e6fcca8bab7a
