BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112483107	PD_0578	PD_0578	ERS14600458	PRJEB59576	Nycticebus_bengalensis_ssp	Nycticebus_bengalensis_ssp	Nycticebus_coucang_ssp	Nycticebus	bengalensis	ssp	M	M	ERR11493922	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/022/ERR11493922/ERR11493922_1.fastq.gz	7947291960	0fcc7a83883a203fb5fd3179b6c4763d
SAMEA112483107	PD_0578	PD_0578	ERS14600458	PRJEB59576	Nycticebus_bengalensis_ssp	Nycticebus_bengalensis_ssp	Nycticebus_coucang_ssp	Nycticebus	bengalensis	ssp	M	M	ERR11493922	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/022/ERR11493922/ERR11493922_2.fastq.gz	8397958353	d2d3ad25e26c4045107dbed2271c550e
SAMEA112483107	PD_0578	PD_0578	ERS14600458	PRJEB59576	Nycticebus_bengalensis_ssp	Nycticebus_bengalensis_ssp	Nycticebus_coucang_ssp	Nycticebus	bengalensis	ssp	M	M	ERR11493923	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/023/ERR11493923/ERR11493923_1.fastq.gz	8571340593	2a6eaaccac34caee631ef18ddd3863a3
SAMEA112483107	PD_0578	PD_0578	ERS14600458	PRJEB59576	Nycticebus_bengalensis_ssp	Nycticebus_bengalensis_ssp	Nycticebus_coucang_ssp	Nycticebus	bengalensis	ssp	M	M	ERR11493923	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/023/ERR11493923/ERR11493923_2.fastq.gz	8151899593	e27025ddf65ca1e507e977a051f7c629
SAMEA112483107	PD_0578	PD_0578	ERS14600458	PRJEB59576	Nycticebus_bengalensis_ssp	Nycticebus_bengalensis_ssp	Nycticebus_coucang_ssp	Nycticebus	bengalensis	ssp	M	M	ERR11493924	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/024/ERR11493924/ERR11493924_1.fastq.gz	8218134410	fc9ed348f83ef415597e61bfb7f223e8
SAMEA112483107	PD_0578	PD_0578	ERS14600458	PRJEB59576	Nycticebus_bengalensis_ssp	Nycticebus_bengalensis_ssp	Nycticebus_coucang_ssp	Nycticebus	bengalensis	ssp	M	M	ERR11493924	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/024/ERR11493924/ERR11493924_2.fastq.gz	7782343871	03f05b439afd57a90e652856058f1ca5
SAMEA112483107	PD_0578	PD_0578	ERS14600458	PRJEB59576	Nycticebus_bengalensis_ssp	Nycticebus_bengalensis_ssp	Nycticebus_coucang_ssp	Nycticebus	bengalensis	ssp	M	M	ERR11493925	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/025/ERR11493925/ERR11493925_1.fastq.gz	7966065342	62d4444724ef0115f83b720b9f8b9df3
SAMEA112483107	PD_0578	PD_0578	ERS14600458	PRJEB59576	Nycticebus_bengalensis_ssp	Nycticebus_bengalensis_ssp	Nycticebus_coucang_ssp	Nycticebus	bengalensis	ssp	M	M	ERR11493925	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/025/ERR11493925/ERR11493925_2.fastq.gz	8395863429	fa918c781b6e2d0cae52fcfe0aabebff
SAMEA112483108	PD_0579	PD_0579	ERS14600459	PRJEB59576	Nycticebus_bengalensis_ssp	Nycticebus_bengalensis_ssp	Nycticebus_coucang_ssp	Nycticebus	bengalensis	ssp	F	F	ERR11493926	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/026/ERR11493926/ERR11493926_1.fastq.gz	6361898196	7ce5b1ef7b802836aafbf00610250cf7
SAMEA112483108	PD_0579	PD_0579	ERS14600459	PRJEB59576	Nycticebus_bengalensis_ssp	Nycticebus_bengalensis_ssp	Nycticebus_coucang_ssp	Nycticebus	bengalensis	ssp	F	F	ERR11493926	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/026/ERR11493926/ERR11493926_2.fastq.gz	5986909463	c54cd1b9efe92c9f1072ba7a96879930
