BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA1029457	SAMEA1029457	SAMEA1029457	ERS027394	PRJEB2481	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan	paniscus	ssp	Unknown	F	ERR032779	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032779/ERR032779_1.fastq.gz	6114243	3fe905acaf0834c72cea49c411b67940
SAMEA1029457	SAMEA1029457	SAMEA1029457	ERS027394	PRJEB2481	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan	paniscus	ssp	Unknown	F	ERR032779	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032779/ERR032779_2.fastq.gz	7767035	3682781a145ee829c6086a76c6e6fc6f
SAMEA1029457	SAMEA1029457	SAMEA1029457	ERS027394	PRJEB2481	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan	paniscus	ssp	Unknown	F	ERR032784	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032784/ERR032784_1.fastq.gz	6716167	1aef7fe90d068ce93f685dedb36a904c
SAMEA1029457	SAMEA1029457	SAMEA1029457	ERS027394	PRJEB2481	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan	paniscus	ssp	Unknown	F	ERR032784	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032784/ERR032784_2.fastq.gz	8417625	dfa1ff73ff94aef4dd31762e2e5512b8
SAMEA1029457	SAMEA1029457	SAMEA1029457	ERS027394	PRJEB2481	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan	paniscus	ssp	Unknown	F	ERR032785	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032785/ERR032785_1.fastq.gz	6832233	c40ce76699043279e7f5621f9876aa07
SAMEA1029457	SAMEA1029457	SAMEA1029457	ERS027394	PRJEB2481	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan	paniscus	ssp	Unknown	F	ERR032785	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032785/ERR032785_2.fastq.gz	8705007	3e56ca6df7947d34b3ca820b134ed725
SAMEA1029457	SAMEA1029457	SAMEA1029457	ERS027394	PRJEB2481	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan	paniscus	ssp	Unknown	F	ERR032789	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032789/ERR032789_1.fastq.gz	7600360	9e9236c5bc8e307902ffccb698bf90d7
SAMEA1029457	SAMEA1029457	SAMEA1029457	ERS027394	PRJEB2481	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan	paniscus	ssp	Unknown	F	ERR032789	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032789/ERR032789_2.fastq.gz	9469027	31cda7a2d5b85746955c5a38dac6d2ef
SAMEA1029457	SAMEA1029457	SAMEA1029457	ERS027394	PRJEB2481	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan	paniscus	ssp	Unknown	F	ERR032790	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032790/ERR032790_1.fastq.gz	7384283	450543076bdebdd0e8018df65c42f676
SAMEA1029457	SAMEA1029457	SAMEA1029457	ERS027394	PRJEB2481	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan_paniscus_ssp	Pan	paniscus	ssp	Unknown	F	ERR032790	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR032/ERR032790/ERR032790_2.fastq.gz	9228322	3bfce91718a92f799ffef4bcd01357cf
