BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942642	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/042/ERR10942642/ERR10942642_1.fastq.gz	990443803	816496ff6bc47f4b55d52f92c7d3feef
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942642	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/042/ERR10942642/ERR10942642_2.fastq.gz	1019969438	89295a6c74cd6def6b4823bbaccec926
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942643	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/043/ERR10942643/ERR10942643_1.fastq.gz	1006815115	019e1817c6d2422143c08815748795dd
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942643	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/043/ERR10942643/ERR10942643_2.fastq.gz	975468907	00d6879477e639f63d4d7722b652e4d8
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942644	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/044/ERR10942644/ERR10942644_1.fastq.gz	1008922417	0a7fdd0eb2a3d8470db3043ac86c4989
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942644	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/044/ERR10942644/ERR10942644_2.fastq.gz	981034738	56dd17faca8b92f9f43675f642db4b60
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942645	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/045/ERR10942645/ERR10942645_1.fastq.gz	1004571685	cfcb6d2e48fd9e35fb9cb32411466e56
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942645	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/045/ERR10942645/ERR10942645_2.fastq.gz	978293019	255fcdd6f11260812cb1dc662659c7fc
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942646	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10942646/ERR10942646_1.fastq.gz	6031560316	420d402e40620594f4213a075e0059fe
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942646	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10942646/ERR10942646_2.fastq.gz	5867815428	5c7ffa5370fea4e58fb0ccf3e7f85123
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942647	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/047/ERR10942647/ERR10942647_1.fastq.gz	6022855145	282d54ed8c0c4a047b56677d86cb0a9e
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942647	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/047/ERR10942647/ERR10942647_2.fastq.gz	5866906269	1fab765966cf71720ce3cbc0d649e663
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942648	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/048/ERR10942648/ERR10942648_1.fastq.gz	5988768296	03a0fac2407677912d1f722d22bab19d
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942648	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/048/ERR10942648/ERR10942648_2.fastq.gz	5839744692	43d7282abc749f02712e2564a7e9ce54
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942649	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10942649/ERR10942649_1.fastq.gz	5905067946	6c2048b6a637b78da6c2cee3134ea4f7
SAMEA112482923	PD_0165	PD_0165	ERS14600274	PRJEB59576	Perodicticus_potto_ibeanus	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ibeanus	F	F	ERR10942649	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10942649/ERR10942649_2.fastq.gz	6049842128	e7068c5ffc382b6fea42afbc38f45dcd
SAMEA112483156	PD_0627	PD_0627	ERS14600507	PRJEB59576	Perodicticus_potto_ssp	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ssp	M	M	ERR11476910	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/010/ERR11476910/ERR11476910_1.fastq.gz	24027855249	6dd3d2e366877b23de5e7a4eac44a583
SAMEA112483156	PD_0627	PD_0627	ERS14600507	PRJEB59576	Perodicticus_potto_ssp	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ssp	M	M	ERR11476910	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/010/ERR11476910/ERR11476910_2.fastq.gz	25798081674	3da26541d9f34aa7b54e60b71096cf07
SAMN37320038	SAMN37320038	SAMN37320038	SRS18883330	PRJNA512907	Perodicticus_potto_ssp	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ssp	F	F	SRR26061863	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/063/SRR26061863/SRR26061863_1.fastq.gz	2906028791	55ca7bf3312bec2ec1ae39417efcf0d1
SAMN37320038	SAMN37320038	SAMN37320038	SRS18883330	PRJNA512907	Perodicticus_potto_ssp	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ssp	F	F	SRR26061863	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/063/SRR26061863/SRR26061863_2.fastq.gz	2897513603	25da6067843194c7329700772ccc8da5
SAMN37320038	SAMN37320038	SAMN37320038	SRS18883330	PRJNA512907	Perodicticus_potto_ssp	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ssp	F	F	SRR26061864	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/064/SRR26061864/SRR26061864_1.fastq.gz	644786614	74d5ddd5904760f05f1056ace394dab0
SAMN37320038	SAMN37320038	SAMN37320038	SRS18883330	PRJNA512907	Perodicticus_potto_ssp	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ssp	F	F	SRR26061864	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/064/SRR26061864/SRR26061864_2.fastq.gz	632177813	1f7a17b7154b3d1341314af9de00a71a
SAMN37320038	SAMN37320038	SAMN37320038	SRS18883330	PRJNA512907	Perodicticus_potto_ssp	Perodicticus_potto_ssp	Nycticebus_coucang_ssp	Perodicticus	potto	ssp	F	F	SRR26061865	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/065/SRR26061865/SRR26061865_1.fastq.gz	45291826333	e3b750b2bcdd71edfed3313e6c6c6a77
