BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941712	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/012/ERR10941712/ERR10941712_1.fastq.gz	4681121206	338529abfdadd018cd9fcdd09e9175bf
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941712	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/012/ERR10941712/ERR10941712_2.fastq.gz	4871142449	dc9124b45846fca6f163b1d74bd08b22
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941713	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10941713/ERR10941713_1.fastq.gz	4689252226	433424b349f19b5e9fa1ae2d24b305ac
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941713	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10941713/ERR10941713_2.fastq.gz	4865188397	322052c3a0a1ac1867a85e5c59df09c0
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941714	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10941714/ERR10941714_1.fastq.gz	4634482767	1bc7b18b0334b0f1982a8be84035d2c0
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941714	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10941714/ERR10941714_2.fastq.gz	4815387672	b2eb61546653a81f9bbfe80891a0bc06
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941715	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/015/ERR10941715/ERR10941715_1.fastq.gz	4627728274	0efe9ba51f74b96ea442e524c0e4c600
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941715	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/015/ERR10941715/ERR10941715_2.fastq.gz	4803175106	57cd7566ebb7b3602f50a02695d57f83
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941716	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/016/ERR10941716/ERR10941716_1.fastq.gz	2814099362	1cd9d47d73f895351e2206cce9a40450
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941716	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/016/ERR10941716/ERR10941716_2.fastq.gz	2700153030	a59797059b0c8493520242727333c489
SAMEA112482832	PD_0039	PD_0039	ERS14600183	PRJEB59576	Piliocolobus_badius_ssp	Piliocolobus_badius_ssp	Piliocolobus_tephrosceles_ssp	Piliocolobus	badius	ssp	M	F	ERR10941717	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/017/ERR10941717/ERR10941717_1.fastq.gz	2823673197	2722df4ecefe25fd2bf2226525fe72c3
