BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA14464488	PD_0087	PD_0087	ERS12091961	PRJEB59576	Pithecia_albicans_ssp	Pithecia_albicans_ssp	Pithecia_pithecia_ssp	Pithecia	albicans	ssp	F	F	ERR10942078	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10942078/ERR10942078_1.fastq.gz	4271274601	aa55cb18d20a38ed36479437554c7fb5
SAMEA14464488	PD_0087	PD_0087	ERS12091961	PRJEB59576	Pithecia_albicans_ssp	Pithecia_albicans_ssp	Pithecia_pithecia_ssp	Pithecia	albicans	ssp	F	F	ERR10942078	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10942078/ERR10942078_2.fastq.gz	4116667699	1d14b70030726d019dfdf7168c9d7a80
SAMEA14464488	PD_0087	PD_0087	ERS12091961	PRJEB59576	Pithecia_albicans_ssp	Pithecia_albicans_ssp	Pithecia_pithecia_ssp	Pithecia	albicans	ssp	F	F	ERR10942079	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/079/ERR10942079/ERR10942079_1.fastq.gz	4128982427	c0a8a33e397c0246521a79abf94323f9
SAMEA14464488	PD_0087	PD_0087	ERS12091961	PRJEB59576	Pithecia_albicans_ssp	Pithecia_albicans_ssp	Pithecia_pithecia_ssp	Pithecia	albicans	ssp	F	F	ERR10942079	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/079/ERR10942079/ERR10942079_2.fastq.gz	4273189454	520468260a7f75c81098b91c3c7bc4dd
SAMEA14464488	PD_0087	PD_0087	ERS12091961	PRJEB59576	Pithecia_albicans_ssp	Pithecia_albicans_ssp	Pithecia_pithecia_ssp	Pithecia	albicans	ssp	F	F	ERR10942080	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/080/ERR10942080/ERR10942080_1.fastq.gz	4150217063	a7955eb9b93bd4b2eaedf2cd12940ea0
SAMEA14464488	PD_0087	PD_0087	ERS12091961	PRJEB59576	Pithecia_albicans_ssp	Pithecia_albicans_ssp	Pithecia_pithecia_ssp	Pithecia	albicans	ssp	F	F	ERR10942080	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/080/ERR10942080/ERR10942080_2.fastq.gz	4299346327	30c1ae65d71677afe30645ad02d79462
SAMEA14464488	PD_0087	PD_0087	ERS12091961	PRJEB59576	Pithecia_albicans_ssp	Pithecia_albicans_ssp	Pithecia_pithecia_ssp	Pithecia	albicans	ssp	F	F	ERR10942081	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/081/ERR10942081/ERR10942081_1.fastq.gz	4282667631	e69f2cd8009d35b12f237c5ad3cb0c23
SAMEA14464488	PD_0087	PD_0087	ERS12091961	PRJEB59576	Pithecia_albicans_ssp	Pithecia_albicans_ssp	Pithecia_pithecia_ssp	Pithecia	albicans	ssp	F	F	ERR10942081	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/081/ERR10942081/ERR10942081_2.fastq.gz	4147978464	f786398c0675c47f1ccd649c3f7e9ef4
SAMEA14464488	PD_0087	PD_0087	ERS12091961	PRJEB59576	Pithecia_albicans_ssp	Pithecia_albicans_ssp	Pithecia_pithecia_ssp	Pithecia	albicans	ssp	F	F	ERR10942082	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/082/ERR10942082/ERR10942082_1.fastq.gz	4268687212	bfd6309fcbc0e5b407a90bfe97d0dd3d
SAMEA14464488	PD_0087	PD_0087	ERS12091961	PRJEB59576	Pithecia_albicans_ssp	Pithecia_albicans_ssp	Pithecia_pithecia_ssp	Pithecia	albicans	ssp	F	F	ERR10942082	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/082/ERR10942082/ERR10942082_2.fastq.gz	4358654547	f3dd451bde0ec60c335ccad89ba99ffd
