BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	34.895	0.993	20.325	0.987	Unknown	Unknown
SAMEA14464499	PD_0332	PD_0332	ERS12091972	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	F	F	32.38	0.992	34.898	0.98	Unknown	Unknown
SAMEA14464500	PD_0333	PD_0333	ERS12091973	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	33.151	0.992	19.095	0.986	Unknown	Unknown
SAMEA14464501	PD_0274	PD_0274	ERS12091974	PRJEB59576	Plecturocebus_brunneus_ssp	Plecturocebus_brunneus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	brunneus	ssp	F	F	40.364	0.993	43.328	0.979	Unknown	Unknown
SAMEA14464502	PD_0334	PD_0334	ERS12091975	PRJEB59576	Plecturocebus_brunneus_ssp	Plecturocebus_brunneus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	brunneus	ssp	M	M	31.554	0.993	17.678	0.987	Unknown	Unknown
SAMEA14464503	PD_0275	PD_0275	ERS12091976	PRJEB59576	Plecturocebus_caligatus_ssp	Plecturocebus_caligatus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	caligatus	ssp	M	M	40.41	0.994	20.569	0.985	Unknown	Unknown
SAMEA14464504	PD_0335	PD_0335	ERS12091977	PRJEB59576	Plecturocebus_caligatus_ssp	Plecturocebus_caligatus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	caligatus	ssp	F	F	34.648	0.994	34.226	0.982	Unknown	Unknown
SAMEA14464505	PD_0336	PD_0336	ERS12091978	PRJEB59576	Plecturocebus_caligatus_ssp	Plecturocebus_caligatus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	caligatus	ssp	M	M	31.468	0.994	17.444	0.989	Unknown	Unknown
SAMEA14464506	PD_0276	PD_0276	ERS12091979	PRJEB59576	Plecturocebus_cinerascens_ssp	Plecturocebus_cinerascens_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	cinerascens	ssp	M	M	39.83	0.992	21.356	0.986	Unknown	Unknown
SAMEA14464507	PD_0337	PD_0337	ERS12091980	PRJEB59576	Plecturocebus_cinerascens_ssp	Plecturocebus_cinerascens_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	cinerascens	ssp	F	F	30.762	0.992	30.524	0.98	Unknown	Unknown
SAMEA14464508	PD_0014	PD_0014	ERS12091981	PRJEB59576	Plecturocebus_cupreus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	cupreus	ssp	F	F	36.128	0.994	36.311	0.983	Unknown	Unknown
SAMEA14464509	PD_0338	PD_0338	ERS12091982	PRJEB59576	Plecturocebus_cupreus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	cupreus	ssp	M	M	36.352	0.994	19.973	0.988	Unknown	Unknown
SAMEA14464510	PD_0339	PD_0339	ERS12091983	PRJEB59576	Plecturocebus_cupreus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	cupreus	ssp	M	M	34.449	0.994	18.713	0.988	Unknown	Unknown
SAMEA14464511	PD_0340	PD_0340	ERS12091984	PRJEB59576	Plecturocebus_cupreus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	cupreus	ssp	M	M	33.131	0.994	17.97	0.989	Unknown	Unknown
SAMEA14464512	PD_0341	PD_0341	ERS12091985	PRJEB59576	Plecturocebus_cupreus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	cupreus	ssp	F	F	33.857	0.994	34.568	0.982	Unknown	Unknown
SAMN07678140	SAMN07678140	SAMN07678140	SRS6380527	PRJNA399376	Plecturocebus_donacophilus_ssp	Plecturocebus_donacophilus_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	donacophilus	ssp	F	F	19.391	0.986	19.574	0.968	Unknown	Unknown
SAMEA14464513	PD_0277	PD_0277	ERS12091986	PRJEB59576	Plecturocebus_dubius_ssp	Plecturocebus_dubius_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	dubius	ssp	F	F	40.967	0.994	43.039	0.983	Unknown	Unknown
SAMEA14464514	PD_0342	PD_0342	ERS12091987	PRJEB59576	Plecturocebus_dubius_ssp	Plecturocebus_dubius_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	dubius	ssp	F	F	29.726	0.994	30.076	0.982	Unknown	Unknown
SAMEA14464515	PD_0343	PD_0343	ERS12091988	PRJEB59576	Plecturocebus_dubius_ssp	Plecturocebus_dubius_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	dubius	ssp	M	M	29.524	0.994	16.676	0.989	Unknown	Unknown
SAMEA14464516	PD_0278	PD_0278	ERS12091989	PRJEB59576	Plecturocebus_grovesi_ssp	Plecturocebus_grovesi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	grovesi	ssp	M	M	37.249	0.992	20.956	0.986	Unknown	Unknown
SAMEA14464517	PD_0279	PD_0279	ERS12091990	PRJEB59576	Plecturocebus_hoffmannsi_ssp	Plecturocebus_hoffmannsi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	hoffmannsi	ssp	M	M	40.548	0.992	21.582	0.985	Unknown	Unknown
SAMEA14464518	PD_0280	PD_0280	ERS12091991	PRJEB59576	Plecturocebus_miltoni_ssp	Plecturocebus_miltoni_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	miltoni	ssp	F	F	33.27	0.991	33.856	0.979	Unknown	Unknown
SAMEA14464519	PD_0344	PD_0344	ERS12091992	PRJEB59576	Plecturocebus_moloch_ssp	Plecturocebus_moloch_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	moloch	ssp	F	F	30.486	0.992	28.749	0.979	Unknown	Unknown
