BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943510	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/010/ERR10943510/ERR10943510_1.fastq.gz	2627871923	266eaa50f5a6db2f7ed1d1a28c035305
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943510	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/010/ERR10943510/ERR10943510_2.fastq.gz	2539138267	32c535504d63aa5696959d7bf411f94f
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943511	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/011/ERR10943511/ERR10943511_1.fastq.gz	2578049045	5b2218f5eec11bb94e427f44ae089f8a
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943511	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/011/ERR10943511/ERR10943511_2.fastq.gz	2666941653	c32cc503e6c937e829195fea9d9f9b0f
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943512	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/012/ERR10943512/ERR10943512_1.fastq.gz	2458966698	a48323d82a82007f082bab1cf50dc3ae
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943512	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/012/ERR10943512/ERR10943512_2.fastq.gz	2545127592	d45bdc61cf9559ef601d7664d64117f2
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943513	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10943513/ERR10943513_1.fastq.gz	2410759315	aef58826265083c2a5839b20edc697f6
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943513	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10943513/ERR10943513_2.fastq.gz	2494600377	a4876ae92a90a677542178201e903029
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943514	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10943514/ERR10943514_1.fastq.gz	4553992879	61ca6120164869497054ae5823192944
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943514	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10943514/ERR10943514_2.fastq.gz	4376355250	2153cb24e56c84bb6daad74814471d5c
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943515	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/015/ERR10943515/ERR10943515_1.fastq.gz	4322150026	20a60c5411400d837bf621c58a043bf0
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943515	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/015/ERR10943515/ERR10943515_2.fastq.gz	4497828100	10949b7fbebed7a991f843369d639014
SAMEA14464498	PD_0273	PD_0273	ERS12091971	PRJEB59576	Plecturocebus_bernhardi_ssp	Plecturocebus_bernhardi_ssp	Plecturocebus_cupreus_ssp	Plecturocebus	bernhardi	ssp	M	M	ERR10943516	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/016/ERR10943516/ERR10943516_1.fastq.gz	4560111804	f3656c3dc0312da456a35c1df75ce4d0
