BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA104361527	SAMEA104361527	SAMEA104361527	ERS1986505	PRJEB19688	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	M	M	29.953	0.993	19.901	0.994	18.422	0.95
SAMEA104361528	SAMEA104361528	SAMEA104361528	ERS1986506	PRJEB19688	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	F	F	26.726	0.993	29.882	0.998	27.187	0.191
SAMEA104361529	SAMEA104361529	SAMEA104361529	ERS1986507	PRJEB19688	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	F	F	27.519	0.982	29.118	0.994	13.53	0.11
SAMEA104361530	SAMEA104361530	SAMEA104361530	ERS1986508	PRJEB19688	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	F	F	31.211	0.984	33.056	0.993	17.928	0.146
SAMEA104361531	SAMEA104361531	SAMEA104361531	ERS1986509	PRJEB19688	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	F	F	14.633	0.983	14.143	0.993	14.543	0.135
SAMEA104361532	SAMEA104361532	SAMEA104361532	ERS1986510	PRJEB19688	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	F	F	27.558	0.993	30.117	0.999	20.859	0.167
SAMEA112483016	PD_0263	PD_0263	ERS14600367	PRJEB59576	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	F	F	34.943	0.99	33.931	0.997	19.388	0.121
SAMEA2058381	SAMEA2058381	SAMEA2058381	ERS225252	PRJEB1675	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	F	F	18.001	0.988	17.711	0.994	10.479	0.12
SAMEA2058382	SAMEA2058382	SAMEA2058382	ERS225253	PRJEB1675	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	F	F	22.159	0.988	21.401	0.998	12.975	0.126
SAMEA2058383	SAMEA2058383	SAMEA2058383	ERS225254	PRJEB1675	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	M	M	25.864	0.991	13.967	0.997	12.209	0.942
SAMEA2058384	SAMEA2058384	SAMEA2058384	ERS225255	PRJEB1675	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	M	M	22.078	0.99	11.569	0.997	12.663	0.962
SAMEA2058385	SAMEA2058385	SAMEA2058385	ERS225256	PRJEB1675	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	F	F	17.815	0.991	17.623	0.995	10.44	0.109
SAMEA5204230	SAMEA5204230	SAMEA5204230	ERS3011705	PRJEB29710	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	Unknown	M	31.29	0.991	16.056	0.994	21.157	0.948
SAMEA5204231	SAMEA5204231	SAMEA5204231	ERS3011706	PRJEB29710	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	Unknown	M	30.861	0.992	15.411	0.994	20.7	0.948
SAMEA5204232	SAMEA5204232	SAMEA5204232	ERS3011707	PRJEB29710	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo_abelii_ssp	Pongo	abelii	ssp	Unknown	F	35.023	0.989	33.372	0.996	18.517	0.122
