BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA112483138	PD_0609	PD_0609	ERS14600489	PRJEB59576	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	M	45.945	0.776	26.95	0.789	Unknown	Unknown
SAMEA116330198	SAMEA116330198	SAMEA116330198	ERS21379044	PRJEB77609	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	M	45.853	0.775	27.725	0.789	Unknown	Unknown
SAMEA116330199	SAMEA116330199	SAMEA116330199	ERS21379045	PRJEB77609	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	F	19.159	0.408	20.979	0.454	Unknown	Unknown
SAMEA116330200	SAMEA116330200	SAMEA116330200	ERS21379046	PRJEB77609	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	M	37.31	0.696	27.802	0.704	Unknown	Unknown
SAMN03010324	SAMN03010324	SAMN03010324	SRS701365	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	25.911	0.775	25.872	0.789	Unknown	Unknown
SAMN03010326	SAMN03010326	SAMN03010326	SRS701366	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	33.691	0.776	35.077	0.79	Unknown	Unknown
SAMN03010327	SAMN03010327	SAMN03010327	SRS701374	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	M	M	29.485	0.776	17.398	0.789	Unknown	Unknown
SAMN03010328	SAMN03010328	SAMN03010328	SRS701373	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	M	M	32.274	0.776	18.649	0.789	Unknown	Unknown
SAMN03010329	SAMN03010329	SAMN03010329	SRS701372	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	32.628	0.776	34.546	0.79	Unknown	Unknown
SAMN03121823	SAMN03121823	SAMN03121823	SRS747950	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	157.843	0.778	147.534	0.791	Unknown	Unknown
