BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112483138	PD_0609	PD_0609	ERS14600489	PRJEB59576	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	M	ERR11476899	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/099/ERR11476899/ERR11476899_1.fastq.gz	17454580337	b4ab46cff10ba48146749337b2f5bbcf
SAMEA112483138	PD_0609	PD_0609	ERS14600489	PRJEB59576	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	M	ERR11476899	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/099/ERR11476899/ERR11476899_2.fastq.gz	19043574674	f7052e1fa55580410141f70f0474b9b6
SAMEA116330198	SAMEA116330198	SAMEA116330198	ERS21379044	PRJEB77609	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	M	ERR13912649	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/049/ERR13912649/ERR13912649_1.fastq.gz	26643277287	32279b6cbda99bb792da6bd82575232a
SAMEA116330198	SAMEA116330198	SAMEA116330198	ERS21379044	PRJEB77609	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	M	ERR13912649	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/049/ERR13912649/ERR13912649_2.fastq.gz	27432075003	39dd87bc1d5ce8dc95bb750cbe887ea7
SAMEA116330199	SAMEA116330199	SAMEA116330199	ERS21379045	PRJEB77609	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	F	ERR13913083	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/083/ERR13913083/ERR13913083_1.fastq.gz	29875150054	0fae532e9af419555451334053b833fc
SAMEA116330199	SAMEA116330199	SAMEA116330199	ERS21379045	PRJEB77609	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	F	ERR13913083	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/083/ERR13913083/ERR13913083_2.fastq.gz	30344671524	ba29f7637ad853031d62f10cad5e482d
SAMEA116330200	SAMEA116330200	SAMEA116330200	ERS21379046	PRJEB77609	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	M	ERR13913089	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/089/ERR13913089/ERR13913089_1.fastq.gz	32687081489	cc37f9efe0a514d6dbe513dc3a6de888
SAMEA116330200	SAMEA116330200	SAMEA116330200	ERS21379046	PRJEB77609	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	Unknown	M	ERR13913089	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/089/ERR13913089/ERR13913089_2.fastq.gz	31865146963	b950f2cd7c2e4cad98178e1019432847
SAMN03010324	SAMN03010324	SAMN03010324	SRS701365	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	SRR1575526	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/006/SRR1575526/SRR1575526_1.fastq.gz	15896986254	39611c0b6353bcce1f049d4354f92c9e
SAMN03010324	SAMN03010324	SAMN03010324	SRS701365	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	SRR1575526	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/006/SRR1575526/SRR1575526_2.fastq.gz	15361156601	3ec0972f922b760fd8e001cad1f51023
SAMN03010324	SAMN03010324	SAMN03010324	SRS701365	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	SRR1575545	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/005/SRR1575545/SRR1575545_1.fastq.gz	9931555898	da9c863b8cb70d4dbef0a389cdc1cbf2
SAMN03010324	SAMN03010324	SAMN03010324	SRS701365	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	SRR1575545	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/005/SRR1575545/SRR1575545_2.fastq.gz	9856221834	1964047e225a927a845760f4998a4425
SAMN03010326	SAMN03010326	SAMN03010326	SRS701366	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	SRR1575527	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/007/SRR1575527/SRR1575527_1.fastq.gz	20588855528	94eba7aa41d49915971113fe74acb977
SAMN03010326	SAMN03010326	SAMN03010326	SRS701366	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	SRR1575527	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/007/SRR1575527/SRR1575527_2.fastq.gz	20475248543	15c6f4b17981570d2a63cf3b39ff071f
SAMN03010326	SAMN03010326	SAMN03010326	SRS701366	PRJNA251429	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus_coquereli_ssp	Propithecus	coquereli	ssp	F	F	SRR1575528	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/008/SRR1575528/SRR1575528_1.fastq.gz	16153205250	11937528049a859cbb1609e963f33777
