BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	38.405	0.962	19.609	0.955	Unknown	Unknown
SAMEA112482882	PD_0107	PD_0107	ERS14600233	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	34.667	0.962	17.817	0.955	Unknown	Unknown
SAMEA112482883	PD_0108	PD_0108	ERS14600234	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	33.251	0.961	17.255	0.954	Unknown	Unknown
SAMEA112482884	PD_0109	PD_0109	ERS14600235	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	34.722	0.962	17.983	0.954	Unknown	Unknown
SAMEA112483006	PD_0253	PD_0253	ERS14600357	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	F	F	37.885	0.96	35.697	0.958	Unknown	Unknown
SAMEA112482878	PD_0103	PD_0103	ERS14600229	PRJEB59576	Pygathrix_nemaeus_ssp	Pygathrix_nemaeus_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nemaeus	ssp	F	F	33.459	0.959	28.727	0.956	Unknown	Unknown
SAMEA112482879	PD_0104	PD_0104	ERS14600230	PRJEB59576	Pygathrix_nemaeus_ssp	Pygathrix_nemaeus_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nemaeus	ssp	M	M	62.264	0.965	32.192	0.959	Unknown	Unknown
SAMEA112482880	PD_0105	PD_0105	ERS14600231	PRJEB59576	Pygathrix_nemaeus_ssp	Pygathrix_nemaeus_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nemaeus	ssp	F	F	32.58	0.958	31.072	0.956	Unknown	Unknown
SAMEA112483007	PD_0254	PD_0254	ERS14600358	PRJEB59576	Pygathrix_nemaeus_ssp	Pygathrix_nemaeus_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nemaeus	ssp	M	M	35.673	0.962	18.503	0.955	Unknown	Unknown
SAMEA112483008	PD_0255	PD_0255	ERS14600359	PRJEB59576	Pygathrix_nemaeus_ssp	Pygathrix_nemaeus_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nemaeus	ssp	M	M	36.761	0.962	19.028	0.955	Unknown	Unknown
SAMN07678108	SAMN07678108	SAMN07678108	SRS9006988	PRJNA399415	Pygathrix_nemaeus_ssp	Pygathrix_nemaeus_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nemaeus	ssp	F	F	43.363	0.956	40.765	0.95	Unknown	Unknown
SAMN16949012	SAMN16949012	SAMN16949012	SRS7811337	PRJNA616055	Pygathrix_nemaeus_ssp	Pygathrix_nemaeus_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nemaeus	ssp	Unknown	F	37.018	0.958	37.01	0.956	Unknown	Unknown
SAMEA112482887	PD_0112	PD_0112	ERS14600238	PRJEB59576	Pygathrix_nigripes_ssp	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nigripes	ssp	F	F	21.189	0.058	21.376	0.055	Unknown	Unknown
SAMEA112482888	PD_0113	PD_0113	ERS14600239	PRJEB59576	Pygathrix_nigripes_ssp	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nigripes	ssp	F	F	49.414	0.025	50.018	0.024	Unknown	Unknown
SAMEA112482889	PD_0114	PD_0114	ERS14600240	PRJEB59576	Pygathrix_nigripes_ssp	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nigripes	ssp	F	F	31.778	0.96	31.077	0.959	Unknown	Unknown
SAMEA112482890	PD_0115	PD_0115	ERS14600241	PRJEB59576	Pygathrix_nigripes_ssp	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nigripes	ssp	F	F	38.057	0.961	36.374	0.96	Unknown	Unknown
SAMN23530519	SAMN23530519	SAMN23530519	SRS11219895	PRJNA785018	Pygathrix_nigripes_ssp	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nigripes	ssp	M	M	51.404	0.964	27.227	0.958	Unknown	Unknown
SAMN25643148	SAMN25643148	SAMN25643148	SRS11876249	PRJNA658636	Pygathrix_nigripes_ssp	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	nigripes	ssp	M	M	228.551	0.975	123.073	0.974	Unknown	Unknown
