BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942230	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/030/ERR10942230/ERR10942230_1.fastq.gz	5884651332	72a466f42ec4a3528f2e02b1ce3b3c2b
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942230	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/030/ERR10942230/ERR10942230_2.fastq.gz	5722927110	7f83f7086740ff556f6e4d31bb6e896b
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942231	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/031/ERR10942231/ERR10942231_1.fastq.gz	5834074287	578574cf4aa34751135feb988039c1bf
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942231	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/031/ERR10942231/ERR10942231_2.fastq.gz	5668859964	646502e6544b058acb1b2b59fe0c7268
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942232	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/032/ERR10942232/ERR10942232_1.fastq.gz	5898388487	0a0ee4d874176e85922a51d2de8f8a53
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942232	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/032/ERR10942232/ERR10942232_2.fastq.gz	5733531484	286994f18103f0c8eb34650604815f8a
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942233	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/033/ERR10942233/ERR10942233_1.fastq.gz	5968279777	6a685bd5b384b574cc2afac977395f0a
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942233	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/033/ERR10942233/ERR10942233_2.fastq.gz	5797475118	c16cc995e4189511491f379323311c72
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942234	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/034/ERR10942234/ERR10942234_1.fastq.gz	1620466841	eb22d3787ea38aa0a391efea63d1791b
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942234	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/034/ERR10942234/ERR10942234_2.fastq.gz	1578766578	699a78b1ab9a2939657842389edc4490
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942235	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/035/ERR10942235/ERR10942235_1.fastq.gz	1638871320	38d495db6f3a16103ef962f36b8bf1dc
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942235	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/035/ERR10942235/ERR10942235_2.fastq.gz	1593687468	53941dd589c62556f65a91e3fb592d74
SAMEA112482881	PD_0106	PD_0106	ERS14600232	PRJEB59576	Pygathrix_cinerea_ssp	Pygathrix_cinerea_ssp	Rhinopithecus_roxellana_ssp	Pygathrix	cinerea	ssp	M	M	ERR10942236	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/036/ERR10942236/ERR10942236_1.fastq.gz	1556562509	85a8ccfd6a64781830d86dcd80e1d276
