BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMN03076576	SAMN03076576	SAMN03076576	SRS711005	PRJNA261768	Rhinopithecus_avunculus_ssp	Rhinopithecus_avunculus_ssp	Rhinopithecus_roxellana_ssp	Rhinopithecus	avunculus	ssp	Unknown	F	31.855	0.985	35.354	0.99	Unknown	Unknown
SAMN02427088	SAMN02427088	SAMN02427088	SRS509600	PRJNA230020	Rhinopithecus_bieti_ssp	Rhinopithecus_bieti_ssp	Rhinopithecus_roxellana_ssp	Rhinopithecus	bieti	ssp	M	M	26.343	0.989	13.942	0.988	Unknown	Unknown
SAMN02786331	SAMN02786331	SAMN02786331	SRS614318	PRJNA247935	Rhinopithecus_bieti_ssp	Rhinopithecus_bieti_ssp	Rhinopithecus_roxellana_ssp	Rhinopithecus	bieti	ssp	M	M	58.22	0.992	32.303	0.992	Unknown	Unknown
SAMN02786332	SAMN02786332	SAMN02786332	SRS614729	PRJNA247935	Rhinopithecus_bieti_ssp	Rhinopithecus_bieti_ssp	Rhinopithecus_roxellana_ssp	Rhinopithecus	bieti	ssp	M	F	10.295	0.979	10.135	0.982	Unknown	Unknown
SAMN02786333	SAMN02786333	SAMN02786333	SRS616167	PRJNA247935	Rhinopithecus_bieti_ssp	Rhinopithecus_bieti_ssp	Rhinopithecus_roxellana_ssp	Rhinopithecus	bieti	ssp	M	F	9.796	0.978	10.254	0.982	Unknown	Unknown
SAMN02786334	SAMN02786334	SAMN02786334	SRS616168	PRJNA247935	Rhinopithecus_bieti_ssp	Rhinopithecus_bieti_ssp	Rhinopithecus_roxellana_ssp	Rhinopithecus	bieti	ssp	M	M	9.933	0.977	5.766	0.965	Unknown	Unknown
SAMN02786335	SAMN02786335	SAMN02786335	SRS616173	PRJNA247935	Rhinopithecus_bieti_ssp	Rhinopithecus_bieti_ssp	Rhinopithecus_roxellana_ssp	Rhinopithecus	bieti	ssp	F	F	10.933	0.98	10.836	0.983	Unknown	Unknown
SAMN02786336	SAMN02786336	SAMN02786336	SRS616174	PRJNA247935	Rhinopithecus_bieti_ssp	Rhinopithecus_bieti_ssp	Rhinopithecus_roxellana_ssp	Rhinopithecus	bieti	ssp	F	M	10.683	0.981	5.854	0.969	Unknown	Unknown
SAMN02786337	SAMN02786337	SAMN02786337	SRS616175	PRJNA247935	Rhinopithecus_bieti_ssp	Rhinopithecus_bieti_ssp	Rhinopithecus_roxellana_ssp	Rhinopithecus	bieti	ssp	M	M	9.358	0.98	4.715	0.959	Unknown	Unknown
SAMN02786338	SAMN02786338	SAMN02786338	SRS616177	PRJNA247935	Rhinopithecus_bieti_ssp	Rhinopithecus_bieti_ssp	Rhinopithecus_roxellana_ssp	Rhinopithecus	bieti	ssp	M	M	9.669	0.98	5.363	0.967	Unknown	Unknown
