BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	107.731	0.995	109.584	0.995	Unknown	Unknown
SAMN00728438	SAMN00728438	SAMN00728438	SRS265709	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	2.306	0.004	2.271	0.004	Unknown	Unknown
SAMN21971498	SAMN21971498	SAMN21971498	SRS11183182	PRJNA767781	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	M	M	65.687	0.994	34.379	0.994	Unknown	Unknown
SAMN21971499	SAMN21971499	SAMN21971499	SRS11183183	PRJNA767781	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	F	F	41.628	0.994	41.893	0.995	Unknown	Unknown
SAMN21971500	SAMN21971500	SAMN21971500	SRS11183186	PRJNA767781	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	F	F	63.759	0.994	64.053	0.995	Unknown	Unknown
SAMN21971501	SAMN21971501	SAMN21971501	SRS11183277	PRJNA767781	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	55.209	0.994	55.437	0.995	Unknown	Unknown
SAMN21971502	SAMN21971502	SAMN21971502	SRS11183189	PRJNA767781	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	64.221	0.994	64.98	0.995	Unknown	Unknown
SAMN21971503	SAMN21971503	SAMN21971503	SRS11183188	PRJNA767781	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	M	M	66.389	0.994	34.33	0.994	Unknown	Unknown
SAMN21971504	SAMN21971504	SAMN21971504	SRS11183190	PRJNA767781	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	F	F	64.422	0.994	64.808	0.995	Unknown	Unknown
SAMN21971505	SAMN21971505	SAMN21971505	SRS11183180	PRJNA767781	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	F	F	60.324	0.994	60.775	0.995	Unknown	Unknown
SAMN37320013	SAMN37320013	SAMN37320013	SRS18883373	PRJNA512907	Saimiri_boliviensis_ssp	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	ssp	M	M	10.703	0.971	5.484	0.902	Unknown	Unknown
SAMN46760316	SAMN46760316	SAMN46760316	SRS24412019	PRJNA1238019	Saimiri_boliviensis_ssp	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	ssp	M	M	2.065	0.761	1.547	0.536	Unknown	Unknown
SAMEA14464529	PD_0353	PD_0353	ERS12092002	PRJEB59576	Saimiri_cassiquiarensis_ssp	Saimiri_cassiquiarensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	cassiquiarensis	ssp	F	F	35.424	0.991	35.504	0.99	Unknown	Unknown
SAMEA14464530	PD_0354	PD_0354	ERS12092003	PRJEB59576	Saimiri_cassiquiarensis_ssp	Saimiri_cassiquiarensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	cassiquiarensis	ssp	M	M	34.702	0.992	18.402	0.99	Unknown	Unknown
SAMEA14464531	PD_0355	PD_0355	ERS12092004	PRJEB59576	Saimiri_cassiquiarensis_ssp	Saimiri_cassiquiarensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	cassiquiarensis	ssp	M	M	36.237	0.991	19.187	0.99	Unknown	Unknown
SAMEA14464532	PD_0356	PD_0356	ERS12092005	PRJEB59576	Saimiri_cassiquiarensis_ssp	Saimiri_cassiquiarensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	cassiquiarensis	ssp	F	F	34.22	0.991	33.225	0.99	Unknown	Unknown
SAMEA14464533	PD_0357	PD_0357	ERS12092006	PRJEB59576	Saimiri_cassiquiarensis_ssp	Saimiri_cassiquiarensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	cassiquiarensis	ssp	M	M	36.535	0.992	19.241	0.99	Unknown	Unknown
SAMEA14464534	PD_0358	PD_0358	ERS12092007	PRJEB59576	Saimiri_cassiquiarensis_ssp	Saimiri_cassiquiarensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	cassiquiarensis	ssp	M	M	34.38	0.992	18.553	0.99	Unknown	Unknown
SAMEA14464535	PD_0359	PD_0359	ERS12092008	PRJEB59576	Saimiri_cassiquiarensis_ssp	Saimiri_cassiquiarensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	cassiquiarensis	ssp	M	M	35.025	0.992	18.465	0.99	Unknown	Unknown
SAMEA14464536	PD_0360	PD_0360	ERS12092009	PRJEB59576	Saimiri_cassiquiarensis_ssp	Saimiri_cassiquiarensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	cassiquiarensis	ssp	M	M	36.201	0.991	19.117	0.99	Unknown	Unknown
SAMEA14464537	PD_0373	PD_0373	ERS12092010	PRJEB59576	Saimiri_cassiquiarensis_ssp	Saimiri_cassiquiarensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	cassiquiarensis	ssp	M	M	36.353	0.992	19.244	0.99	Unknown	Unknown
SAMEA14464538	PD_0361	PD_0361	ERS12092011	PRJEB59576	Saimiri_macrodon_ssp	Saimiri_macrodon_ssp	Saimiri_boliviensis_boliviensis	Saimiri	macrodon	ssp	M	M	36.153	0.992	19.136	0.99	Unknown	Unknown
SAMEA14464539	PD_0362	PD_0362	ERS12092012	PRJEB59576	Saimiri_macrodon_ssp	Saimiri_macrodon_ssp	Saimiri_boliviensis_boliviensis	Saimiri	macrodon	ssp	M	M	34.965	0.992	18.471	0.99	Unknown	Unknown
SAMEA14464540	PD_0372	PD_0372	ERS12092013	PRJEB59576	Saimiri_macrodon_ssp	Saimiri_macrodon_ssp	Saimiri_boliviensis_boliviensis	Saimiri	macrodon	ssp	M	M	36.622	0.992	19.063	0.99	Unknown	Unknown
SAMEA14464541	PD_0176	PD_0176	ERS12092014	PRJEB59576	Saimiri_oerstedii_ssp	Saimiri_oerstedii_ssp	Saimiri_boliviensis_boliviensis	Saimiri	oerstedii	ssp	Unknown	M	51.073	0.991	26.241	0.99	Unknown	Unknown
SAMEA14464542	PD_0364	PD_0364	ERS12092015	PRJEB59576	Saimiri_sciureus_ssp	Saimiri_sciureus_ssp	Saimiri_boliviensis_boliviensis	Saimiri	sciureus	ssp	M	M	35.793	0.992	19.019	0.991	Unknown	Unknown
SAMEA14464543	PD_0365	PD_0365	ERS12092016	PRJEB59576	Saimiri_sciureus_ssp	Saimiri_sciureus_ssp	Saimiri_boliviensis_boliviensis	Saimiri	sciureus	ssp	M	M	38.686	0.992	20.707	0.991	Unknown	Unknown
SAMEA14464544	PD_0012	PD_0012	ERS12092017	PRJEB59576	Saimiri_ustus_ssp	Saimiri_ustus_ssp	Saimiri_boliviensis_boliviensis	Saimiri	ustus	ssp	Unknown	F	35.141	0.991	35.552	0.991	Unknown	Unknown
