BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	SRR315548	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/SRR315548/SRR315548_1.fastq.gz	8755778746	d544c207ee050c20ea059edbf71a4f0e
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	SRR315548	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/SRR315548/SRR315548_2.fastq.gz	8679268745	3fe03c9dc557cffa652237657edb052d
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	SRR315549	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/SRR315549/SRR315549_1.fastq.gz	9610667483	62b5ff9b5a9cf80245a91bd52a89bc7b
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	SRR315549	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/SRR315549/SRR315549_2.fastq.gz	9738811453	a8c302b2e9b3dde80c6b896b07848979
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	SRR315550	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/SRR315550/SRR315550_1.fastq.gz	10596805182	d9d4f3fdc8d46dd867f4ca8fb448ac14
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	SRR315550	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/SRR315550/SRR315550_2.fastq.gz	10601426529	aee3a9e362d3b3ec20e4e745da0dfb78
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	SRR315551	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/SRR315551/SRR315551_1.fastq.gz	6855247897	2bf2036de337a82f2715d176d59b0b3e
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	SRR315551	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/SRR315551/SRR315551_2.fastq.gz	6630066110	3febe12222fc975dda2f120fcb6625ec
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	SRR315552	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/SRR315552/SRR315552_1.fastq.gz	11199707161	526545da65ba69707c26abf6620d7539
SAMN00672664	SAMN00672664	SAMN00672664	SRS241993	PRJNA67945	Saimiri_boliviensis_boliviensis	Saimiri_boliviensis_ssp	Saimiri_boliviensis_boliviensis	Saimiri	boliviensis	boliviensis	Unknown	F	SRR315552	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/SRR315552/SRR315552_2.fastq.gz	11201632808	5b52599b9402cbafb2e25fda45d1fef5
