BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	AVG_COVERAGE_A	PROP_COVERED_A	AVG_COVERAGE_X	PROP_COVERED_X	AVG_COVERAGE_Y	PROP_COVERED_Y
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	67.956	0.99	62.76	0.969	20.987	0.12
SAMEA112483111	PD_0582	PD_0582	ERS14600462	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	29.608	0.988	26.25	0.964	10.238	0.098
SAMEA112483112	PD_0583	PD_0583	ERS14600463	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	24.638	0.988	22.673	0.963	8.737	0.094
SAMEA112483113	PD_0584	PD_0584	ERS14600464	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	26.57	0.988	24.08	0.963	9.425	0.095
SAMEA112483114	PD_0585	PD_0585	ERS14600465	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	M	M	24.672	0.988	11.608	0.959	11.266	0.89
SAMEA112483115	PD_0586	PD_0586	ERS14600466	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	M	M	43.908	0.989	21.059	0.965	20.575	0.901
SAMEA112483116	PD_0587	PD_0587	ERS14600467	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	40.447	0.96	40.239	0.909	11.883	0.111
SAMEA112483117	PD_0588	PD_0588	ERS14600468	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	M	M	25.0	0.99	13.82	0.961	13.301	0.905
SAMN07678111	SAMN07678111	SAMN07678111	SRS6386391	PRJNA399419	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	Unknown	M	24.526	0.985	12.08	0.942	11.061	0.851
SAMEA112483118	PD_0589	PD_0589	ERS14600469	PRJEB59576	Semnopithecus_hypoleucos_ssp	Semnopithecus_hypoleucos_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	hypoleucos	ssp	M	M	60.926	0.989	30.039	0.967	27.987	0.893
SAMEA112483119	PD_0590	PD_0590	ERS14600470	PRJEB59576	Semnopithecus_hypoleucos_ssp	Semnopithecus_hypoleucos_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	hypoleucos	ssp	M	M	33.565	0.988	16.505	0.962	15.443	0.884
SAMEA112483120	PD_0591	PD_0591	ERS14600471	PRJEB59576	Semnopithecus_hypoleucos_ssp	Semnopithecus_hypoleucos_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	hypoleucos	ssp	M	M	28.303	0.988	13.75	0.961	12.819	0.891
SAMEA112483121	PD_0592	PD_0592	ERS14600472	PRJEB59576	Semnopithecus_hypoleucos_ssp	Semnopithecus_hypoleucos_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	hypoleucos	ssp	M	M	47.397	0.99	23.279	0.967	21.751	0.903
SAMEA112482875	PD_0100	PD_0100	ERS14600226	PRJEB59576	Semnopithecus_priam_ssp	Semnopithecus_priam_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	priam	ssp	F	F	36.372	0.989	34.536	0.967	13.514	0.116
SAMEA112483122	PD_0593	PD_0593	ERS14600473	PRJEB59576	Semnopithecus_schistaceus_ssp	Semnopithecus_schistaceus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	schistaceus	ssp	M	M	26.362	0.988	12.739	0.961	11.843	0.894
SAMEA112483123	PD_0594	PD_0594	ERS14600474	PRJEB59576	Semnopithecus_schistaceus_ssp	Semnopithecus_schistaceus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	schistaceus	ssp	F	F	41.272	0.988	32.357	0.965	12.012	0.104
