BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	ERR10942202	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10942202/ERR10942202_1.fastq.gz	5590474026	c917cb1426e6bb24056c33ab062fe101
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	ERR10942202	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10942202/ERR10942202_2.fastq.gz	5749051315	639cc684c50dd274f34ebc061bf2dc2a
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	ERR10942203	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/003/ERR10942203/ERR10942203_1.fastq.gz	5709300420	7a6bdc209fa3900fc1d1a624bf1c921b
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	ERR10942203	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/003/ERR10942203/ERR10942203_2.fastq.gz	5546859502	287617fa24726185fd39cbb8bd2aff29
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	ERR10942204	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR10942204/ERR10942204_1.fastq.gz	5753895002	836e6d96d8dfba36041561b6cefb02c2
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	ERR10942204	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR10942204/ERR10942204_2.fastq.gz	5590395158	c1d39e0749c3700600b0e2df0c026b34
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	ERR10942205	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10942205/ERR10942205_1.fastq.gz	5635469004	6d5916443ac6ce0d58dc13797a6c4cf8
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	ERR10942205	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10942205/ERR10942205_2.fastq.gz	5804978478	851778ff4c46336fd8220538b1c5253c
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	ERR10942206	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR10942206/ERR10942206_1.fastq.gz	7311714261	370f35a3e13cb49baee045aceea44d9a
SAMEA112482877	PD_0102	PD_0102	ERS14600228	PRJEB59576	Semnopithecus_entellus_ssp	Semnopithecus_entellus_ssp	Trachypithecus_francoisi_ssp	Semnopithecus	entellus	ssp	F	F	ERR10942206	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR10942206/ERR10942206_2.fastq.gz	7075975586	2d804d7ddb1b23e3fea84495915e38ad
