BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1021669	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/009/SRR1021669/SRR1021669_1.fastq.gz	61744866	2e08ec526ced52675965b95e88dd9d60
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1021669	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/009/SRR1021669/SRR1021669_2.fastq.gz	59508343	ed409613a84c416ca701a7d95459f263
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390831	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/001/SRR1390831/SRR1390831_1.fastq.gz	5290821317	5e63c22fc924191b6c64facab91863de
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390831	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/001/SRR1390831/SRR1390831_2.fastq.gz	5342303731	6390e075cf7ebcf6f24142de0da0a2ca
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390832	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/002/SRR1390832/SRR1390832_1.fastq.gz	5309645547	fdeae5397e6687bc751b977eded72e77
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390832	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/002/SRR1390832/SRR1390832_2.fastq.gz	5377163530	085a743bcd75e897e0f9480a1d35e18b
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390833	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/003/SRR1390833/SRR1390833_1.fastq.gz	1067763137	f18d60ccef25fd888b8e4b92b7d86529
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390833	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/003/SRR1390833/SRR1390833_2.fastq.gz	1036574744	a1b7e58d217f766ad84ad444fedfbbba
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390834	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/004/SRR1390834/SRR1390834_1.fastq.gz	5494988133	c84c21d9b23bd60fe843946d419231d2
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390834	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/004/SRR1390834/SRR1390834_2.fastq.gz	5527019386	56a3612b0687b680f8a356ad9a504e29
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390835	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/005/SRR1390835/SRR1390835_1.fastq.gz	339192344	71812c52e06559fba4f7411838ccf61d
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390835	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/005/SRR1390835/SRR1390835_2.fastq.gz	342740940	d2ff74987b773936b4af1ecd3a8dfa4c
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390836	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/006/SRR1390836/SRR1390836_1.fastq.gz	340969727	c65cff7e73cb0558c7c28b2ec634efd9
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390836	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/006/SRR1390836/SRR1390836_2.fastq.gz	345201731	0cf93fa1a485408030a6b89636fa65d8
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390837	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/007/SRR1390837/SRR1390837_1.fastq.gz	341586866	f5326060355af9fa492e68efa637fddc
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390837	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/007/SRR1390837/SRR1390837_2.fastq.gz	346510331	3a9be1e42e9492ebf0fc20ecab9f0425
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390838	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/008/SRR1390838/SRR1390838_1.fastq.gz	338904041	4f40275ae06a2dbbc678124ca637a9a5
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390838	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/008/SRR1390838/SRR1390838_2.fastq.gz	345948128	3a7bc6725b652ebd03a3b0aa76901d05
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390839	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/009/SRR1390839/SRR1390839_1.fastq.gz	344792902	9efd07c1893d6e0da7d0244ab22fc19b
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390839	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/009/SRR1390839/SRR1390839_2.fastq.gz	354980965	22ae9a3671105880597861e424172f8a
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390840	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/000/SRR1390840/SRR1390840_1.fastq.gz	343659182	796c208e735acde48e5d0c4ebafe16c7
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390840	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/000/SRR1390840/SRR1390840_2.fastq.gz	352647660	b0cad494054dc6c7ba5d0a2097d84400
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390841	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/001/SRR1390841/SRR1390841_1.fastq.gz	348336383	856b4415d00a3880dc17188b6d466839
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390841	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/001/SRR1390841/SRR1390841_2.fastq.gz	359768563	c253ba9e6e861323b51547b76e7e3dde
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390842	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/002/SRR1390842/SRR1390842_1.fastq.gz	350991972	18b8052997cbcb4e5426fa8cb51ade2f
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390842	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/002/SRR1390842/SRR1390842_2.fastq.gz	367322417	fd493d844dceb95e6eb2962b93280956
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390843	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/003/SRR1390843/SRR1390843_1.fastq.gz	346809745	cb4775b5a58359db6aa37000238da55c
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390843	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/003/SRR1390843/SRR1390843_2.fastq.gz	358882975	b9fedc5832f596bf11526a6ac87222e6
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390844	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/004/SRR1390844/SRR1390844_1.fastq.gz	337241446	a4e7b6cbf111243ce2bf49cc9f30e630
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390844	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/004/SRR1390844/SRR1390844_2.fastq.gz	343437580	46839dc7480419010434c369a3ed0383
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390845	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/005/SRR1390845/SRR1390845_1.fastq.gz	337667369	a472f2f6f55f6173af6c0098143b92eb
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390845	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/005/SRR1390845/SRR1390845_2.fastq.gz	344199045	7c110df18074e1946b7c77be05ae77bb
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390846	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/006/SRR1390846/SRR1390846_1.fastq.gz	337226802	1578aca2e369981fe96f2600ef6acb5f
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390846	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/006/SRR1390846/SRR1390846_2.fastq.gz	344428835	8eda54621d3c8acba9d8201e32fa3af4
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390847	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/007/SRR1390847/SRR1390847_1.fastq.gz	340628032	5b00324d4564ef0aeb8034c557be9341
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390847	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/007/SRR1390847/SRR1390847_2.fastq.gz	350926808	ae82c48186fdc546b98395ae0d005c92
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390848	R1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/008/SRR1390848/SRR1390848_1.fastq.gz	342418766	4d624c210f33db8e7358af8947e23ae9
SAMN02388245	SAMN02388245	SAMN02388245	SRS496877	PRJNA232723	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_ssp	Symphalangus	syndactylus	ssp	F	F	SRR1390848	R2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/008/SRR1390848/SRR1390848_2.fastq.gz	354694252	128db60aa4fdd0e1ae0bba7e593b4e12
