BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112483040	PD_0403	PD_0403	ERS14600391	PRJEB59576	Tarsius_dentatus_ssp	Tarsius_dentatus_ssp	Cephalopachus_bancanus_ssp	Tarsius	dentatus	ssp	Unknown	Unknown	ERR10972965	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/065/ERR10972965/ERR10972965_1.fastq.gz	54516652280	ea90f3d1215a60e4850bbad8ccf68212
SAMEA112483040	PD_0403	PD_0403	ERS14600391	PRJEB59576	Tarsius_dentatus_ssp	Tarsius_dentatus_ssp	Cephalopachus_bancanus_ssp	Tarsius	dentatus	ssp	Unknown	Unknown	ERR10972965	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/065/ERR10972965/ERR10972965_2.fastq.gz	55851510018	bd9a38aca9ed2d18089a08c1951aadd3
SAMEA112483040	PD_0403	PD_0403	ERS14600391	PRJEB59576	Tarsius_dentatus_ssp	Tarsius_dentatus_ssp	Cephalopachus_bancanus_ssp	Tarsius	dentatus	ssp	Unknown	Unknown	ERR10972966	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/066/ERR10972966/ERR10972966_1.fastq.gz	58256142287	30d2136e3cf003eac33accd62a2e0b17
SAMEA112483040	PD_0403	PD_0403	ERS14600391	PRJEB59576	Tarsius_dentatus_ssp	Tarsius_dentatus_ssp	Cephalopachus_bancanus_ssp	Tarsius	dentatus	ssp	Unknown	Unknown	ERR10972966	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/066/ERR10972966/ERR10972966_2.fastq.gz	56853959929	6587ccdbb32ea267cf47dfd1bfb3d144
SAMEA112483040	PD_0403	PD_0403	ERS14600391	PRJEB59576	Tarsius_dentatus_ssp	Tarsius_dentatus_ssp	Cephalopachus_bancanus_ssp	Tarsius	dentatus	ssp	Unknown	Unknown	ERR10972967	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/067/ERR10972967/ERR10972967_1.fastq.gz	52449917544	55d274db70b8957ed8a9ecd0619b1e32
SAMEA112483040	PD_0403	PD_0403	ERS14600391	PRJEB59576	Tarsius_dentatus_ssp	Tarsius_dentatus_ssp	Cephalopachus_bancanus_ssp	Tarsius	dentatus	ssp	Unknown	Unknown	ERR10972967	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/067/ERR10972967/ERR10972967_2.fastq.gz	53745149483	48eb79dc5e972c635081cfb8ab0c59e1
SAMEA112483041	PD_0404	PD_0404	ERS14600392	PRJEB59576	Tarsius_lariang_ssp	Tarsius_lariang_ssp	Cephalopachus_bancanus_ssp	Tarsius	lariang	ssp	Unknown	Unknown	ERR10972969	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10972969/ERR10972969_1.fastq.gz	1560557123	8851723ce3e371ab9104d71536e2b6e4
SAMEA112483041	PD_0404	PD_0404	ERS14600392	PRJEB59576	Tarsius_lariang_ssp	Tarsius_lariang_ssp	Cephalopachus_bancanus_ssp	Tarsius	lariang	ssp	Unknown	Unknown	ERR10972969	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10972969/ERR10972969_2.fastq.gz	1516037644	aa800fa3fe2b3baa66b79404c6669962
SAMEA112483041	PD_0404	PD_0404	ERS14600392	PRJEB59576	Tarsius_lariang_ssp	Tarsius_lariang_ssp	Cephalopachus_bancanus_ssp	Tarsius	lariang	ssp	Unknown	Unknown	ERR10972970	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/070/ERR10972970/ERR10972970_1.fastq.gz	1503741913	24e6f9928ff5bc466b58a7ea6f517230
SAMEA112483041	PD_0404	PD_0404	ERS14600392	PRJEB59576	Tarsius_lariang_ssp	Tarsius_lariang_ssp	Cephalopachus_bancanus_ssp	Tarsius	lariang	ssp	Unknown	Unknown	ERR10972970	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/070/ERR10972970/ERR10972970_2.fastq.gz	1461388776	63a0cb38a5c7f4b65fe5ea9078c1ecfb
