BIOSAMPLE_ID	PDGP_ID	GVCF_ID	SRA_SAMPLE_ID	BIOPROJECT_ID	BAM_FOLDER	GVCF_FOLDER	REFERENCE_FOLDER	GENUS	SPECIES	SUBSPECIES	REPORTED_SEX	GENETIC_SEX	RUN_ACCESSION	R1_OR_R2	FASTQ_FTP	FASTQ_BYTES	FASTQ_MD5
SAMEA112482885	PD_0110	PD_0110	ERS14600236	PRJEB59576	Xanthonycticebus_pygmaeus_ssp	Xanthonycticebus_pygmaeus_ssp	Nycticebus_coucang_ssp	Xanthonycticebus	pygmaeus	ssp	Unknown	F	ERR10942250	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10942250/ERR10942250_1.fastq.gz	6075710800	278905590d9628b66f27d57ff143f729
SAMEA112482885	PD_0110	PD_0110	ERS14600236	PRJEB59576	Xanthonycticebus_pygmaeus_ssp	Xanthonycticebus_pygmaeus_ssp	Nycticebus_coucang_ssp	Xanthonycticebus	pygmaeus	ssp	Unknown	F	ERR10942250	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10942250/ERR10942250_2.fastq.gz	6235902190	63028df3ad15d0cfee1a4fc7a8dd89fd
SAMEA112482885	PD_0110	PD_0110	ERS14600236	PRJEB59576	Xanthonycticebus_pygmaeus_ssp	Xanthonycticebus_pygmaeus_ssp	Nycticebus_coucang_ssp	Xanthonycticebus	pygmaeus	ssp	Unknown	F	ERR10942251	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/051/ERR10942251/ERR10942251_1.fastq.gz	6040491230	92485ec4c1dd5f236d99ebce75805c83
SAMEA112482885	PD_0110	PD_0110	ERS14600236	PRJEB59576	Xanthonycticebus_pygmaeus_ssp	Xanthonycticebus_pygmaeus_ssp	Nycticebus_coucang_ssp	Xanthonycticebus	pygmaeus	ssp	Unknown	F	ERR10942251	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/051/ERR10942251/ERR10942251_2.fastq.gz	6206070641	db5c2d58696f6609e164685bbef4df95
SAMEA112482885	PD_0110	PD_0110	ERS14600236	PRJEB59576	Xanthonycticebus_pygmaeus_ssp	Xanthonycticebus_pygmaeus_ssp	Nycticebus_coucang_ssp	Xanthonycticebus	pygmaeus	ssp	Unknown	F	ERR10942252	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10942252/ERR10942252_1.fastq.gz	6221315996	24470e85bd07a8ff221441467168495b
SAMEA112482885	PD_0110	PD_0110	ERS14600236	PRJEB59576	Xanthonycticebus_pygmaeus_ssp	Xanthonycticebus_pygmaeus_ssp	Nycticebus_coucang_ssp	Xanthonycticebus	pygmaeus	ssp	Unknown	F	ERR10942252	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10942252/ERR10942252_2.fastq.gz	6057483088	e7cb33f276325c25dd90adce4101235a
SAMEA112482885	PD_0110	PD_0110	ERS14600236	PRJEB59576	Xanthonycticebus_pygmaeus_ssp	Xanthonycticebus_pygmaeus_ssp	Nycticebus_coucang_ssp	Xanthonycticebus	pygmaeus	ssp	Unknown	F	ERR10942253	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/053/ERR10942253/ERR10942253_1.fastq.gz	6255319754	5d7274efc13c71e62965b2cce3cfa678
SAMEA112482885	PD_0110	PD_0110	ERS14600236	PRJEB59576	Xanthonycticebus_pygmaeus_ssp	Xanthonycticebus_pygmaeus_ssp	Nycticebus_coucang_ssp	Xanthonycticebus	pygmaeus	ssp	Unknown	F	ERR10942253	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/053/ERR10942253/ERR10942253_2.fastq.gz	6087144985	4e68dd6ae114636dd9eb23dfa1acd4d0
SAMEA112482886	PD_0111	PD_0111	ERS14600237	PRJEB59576	Xanthonycticebus_pygmaeus_ssp	Xanthonycticebus_pygmaeus_ssp	Nycticebus_coucang_ssp	Xanthonycticebus	pygmaeus	ssp	Unknown	M	ERR10942254	R1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/054/ERR10942254/ERR10942254_1.fastq.gz	6909862762	23cbdc0fdb0e957eca82555a4cdbb1fc
SAMEA112482886	PD_0111	PD_0111	ERS14600237	PRJEB59576	Xanthonycticebus_pygmaeus_ssp	Xanthonycticebus_pygmaeus_ssp	Nycticebus_coucang_ssp	Xanthonycticebus	pygmaeus	ssp	Unknown	M	ERR10942254	R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/054/ERR10942254/ERR10942254_2.fastq.gz	7082148091	7165bdbc5b968c605c6fc71fcc5a4636
