,ID,Genus,Species,FROH,Sex,Reference,Name,Population
0,PD_0001,Cheracebus,lugens,0.02829385,F,Pithecia_pithecia,Cheracebus_lugens,Cheracebus_lugens
1,PD_0005,Alouatta,macconnelli,0.06254126,M,Atele_fusciceps,Alouatta_macconnelli,Alouatta_macconnelli
2,PD_0006,Chiropotes,israelita,0.03880299,F,Pithecia_pithecia,Chiropotes_israelita,Chiropotes_israelita
3,PD_0011,Sapajus,macrocephalus,0.2827679,F,Cebus_albifrons,Sapajus_macrocephalus,Sapajus_macrocephalus
4,PD_0012,Saimiri,ustus,0.04070355,F,Cebus_albifrons,Saimiri_ustus,Saimiri_ustus
5,PD_0013,Cebus,unicolor,0.0088365,F,Cebus_albifrons,Cebus_unicolor,Cebus_unicolor
6,PD_0014,Plecturocebus,cupreus,0.02564819,F,Pithecia_pithecia,Plecturocebus_cupreus,Plecturocebus_cupreus
7,PD_0020,Cacajao,calvus,0.07547476,F,Pithecia_pithecia,Cacajao_calvus,Cacajao_calvus
8,PD_0021,Cacajao,calvus,0.38788293,F,Pithecia_pithecia,Cacajao_calvus,Cacajao_calvus
9,PD_0023,Cacajao,calvus,0.02535423,F,Pithecia_pithecia,Cacajao_calvus,Cacajao_calvus
10,PD_0024,Cacajao,calvus,0.07723853,F,Pithecia_pithecia,Cacajao_calvus,Cacajao_calvus
11,PD_0025,Alouatta,seniculus,0.04502374,F,Atele_fusciceps,Alouatta_seniculus,Alouatta_seniculus
12,PD_0026,Alouatta,puruensis,0.13566757,F,Atele_fusciceps,Alouatta_puruensis,Alouatta_puruensis
13,PD_0032,Cercopithecus,ascanius,0.02506197,F,Cercopithecus_mitis,Cercopithecus_ascanius,Cercopithecus_ascanius
14,PD_0066,Cercopithecus,ascanius,0.02506197,F,Cercopithecus_mitis,Cercopithecus_ascanius,Cercopithecus_ascanius
15,PD_0071,Macaca,arctoides,0.20145555,M,Macaca_mulatta,Macaca_arctoides,Macaca_arctoides
16,PD_0072,Alouatta,seniculus,0.02631355,F,Atele_fusciceps,Alouatta_seniculus,Alouatta_seniculus
17,PD_0074,Ateles,chamek,0.05441611,M,Atele_fusciceps,Ateles_chamek,Ateles_chamek
18,PD_0075,Ateles,paniscus,0.06865375,M,Atele_fusciceps,Ateles_paniscus,Ateles_paniscus
19,PD_0077,Cebus,unicolor,0.00403557,M,Cebus_albifrons,Cebus_unicolor,Cebus_unicolor
20,PD_0080,Chiropotes,albinasus,0.12272916,F,Pithecia_pithecia,Chiropotes_albinasus,Chiropotes_albinasus
21,PD_0081,Chiropotes,sagulatus,0.05827798,M,Pithecia_pithecia,Chiropotes_sagulatus,Chiropotes_sagulatus
22,PD_0082,Chiropotes,sagulatus,0.0332912,F,Pithecia_pithecia,Chiropotes_sagulatus,Chiropotes_sagulatus
23,PD_0088,Cacajao,calvus,0.03578988,F,Pithecia_pithecia,Cacajao_calvus,Cacajao_calvus
24,PD_0089,Alouatta,macconnelli,0.02109556,F,Atele_fusciceps,Alouatta_macconnelli,Alouatta_macconnelli
25,PD_0097,Macaca,leonina,0.20991439,M,Macaca_mulatta,Macaca_leonina,Macaca_leonina
26,PD_0102,Semnopithecus,entellus,0.04758989,F,Rhinopithecus_roxellana,Semnopithecus_entellus,Semnopithecus_entellus
27,PD_0110,Nycticebus,pygmaeus,0.2283486,F,Nycticebus_pygmaeus,Nycticebus_pygmaeus,Nycticebus_pygmaeus
28,PD_0111,Nycticebus,pygmaeus,0.29171198,M,Nycticebus_pygmaeus,Nycticebus_pygmaeus,Nycticebus_pygmaeus
