population,pvalue,lnl_sub,lnl_sup
Homo_sapiens,0.1979683036916899,-33.912691018478654,-32.65239064711932
Pan_paniscus,0.3741639209740557,-32.73255642855747,-32.050412615267305
Pan_troglodytes_ellioti,1.0,-35.73539116281154,-35.73539116281427
Pan_troglodytes_schweinfurthii,0.0159560546962367,-38.65195741120988,-34.97257163700124
Pan_troglodytes_troglodytes,0.0038938909697072,-40.09838806019616,-35.03530052347196
Pan_troglodytes_verus,0.9999977815424425,-35.51673469155867,-35.516734691543206
Pan_troglodytes,4.2930015272730953e-13,-68.84934185816928,-40.9660023454926
Gorilla_gorilla,0.5081548852422942,-35.783327907685816,-35.36321901730844
Gorilla_beringei,0.857404444827309,-33.35098211863715,-33.304437777123894
Gorilla_beringei_beringei,1.0,-37.82416342048055,-37.82416342049146
Gorilla_beringei_graueri,0.1359826511964279,-37.20432456859089,-35.59201548970668
Gorilla_gorilla_gorilla,0.2366371001742269,-36.51380011610309,-35.418460723843964
Pongo_abelii,0.9999970529480732,-36.15559084567576,-36.15559084564848
Pongo_pygmaeus,0.069407545731852,-37.38292486424143,-35.129616682284905
Macaca_cyclopis,0.0027369400757577,-52.97082484966086,-47.56049094647551
Macaca_fuscata,4.061457905276262e-17,-72.47669050082459,-35.33998824694481
Macaca_mulatta,2.749958897796819e-21,-82.73724720922291,-36.00917947659218
Macaca_hecki,2.4837657716007347e-09,-64.56062167434925,-45.32203577776022
Macaca_leonina,2.366164262905913e-31,-129.14568450311526,-59.255100341461
Macaca_maura,1.1184540383221317e-19,-82.67638065245501,-39.65073619987925
Macaca_nemestrina_nemestrina,2.751803508352699e-17,-74.0553956609615,-36.5298320654083
Macaca_nemestrina,1.1999056953657948e-56,-164.90632167722742,-36.78848740804733
Macaca_nigra,0.2038358244752079,-41.29440401768761,-40.06122422508224
Macaca_radiata,0.0958014193048182,-53.62541016078467,-51.68061524361838
Macaca_silenus,0.5201513281109129,-42.93634782011213,-42.53547141537501
Macaca_tonkeana,1.9494966785107106e-17,-70.11811091664117,-32.248232394288834
Macaca_arctoides,0.8461406718061761,-39.14461671167192,-39.091358697389296
Macaca_assamensis,4.074111552386914e-11,-60.00554278396703,-36.666565322997485
Macaca_leucogenys,7.977030638587271e-22,-91.32767135303492,-43.36295949041414
Papio_anubis,0.0137996561562796,-25.10517293522009,-21.283852735803443
Papio_cynocephalus_anubishybrid,2.8194048971211223e-14,-98.83209757141049,-68.22990802220556
Papio_cynocephalus_ssp,1.1598973970354302e-15,-85.6212813542952,-51.83260576040084
Papio_cynocephalus,8.379387061753236e-16,-84.46012236637034,-50.34671019388588
Papio_hamadryas,1.5942259063923451e-06,-74.63810859198384,-61.84049606275585
Papio_kindae,4.787561496072437e-11,-69.85668295314281,-46.67873189865532
Papio_ursinus,1.3861405453694503e-09,-103.76526191549056,-83.94499855724644
Papio_ursinus_ssp,1.343899351058409e-10,-115.41555821442309,-93.26747736188918
Theropithecus_gelada,1.0,-39.95534598017457,-39.95534598017821
Erythrocebus_patas,2.500688621476045e-08,-88.5665034285148,-71.63034875938229
Rhinopithecus_bieti,5.856870657071895e-11,-85.22394571217046,-62.24715685710044
Rhinopithecus_roxellana,1.7188438207463692e-75,-245.0450679572864,-73.54392503049098
Semnopithecus_hypoleucos,0.3151939324860416,-84.10292080776071,-83.26828388485046
Trachypithecus_francoisi,0.0351987594759875,-41.793713603657125,-38.884773044102985
Trachypithecus_poliocephalus,0.8374834473442512,-35.87651425249169,-35.81784788557343
