label,x
Homo_sapiens,11012.88694904354
Pan_paniscus,11456.84111207907
Pan_troglodytes_ellioti,19548.4961828898
Pan_troglodytes_schweinfurthii,25083.651594237082
Pan_troglodytes_troglodytes,31595.925007660135
Pan_troglodytes_verus,12555.09269004892
Pan_troglodytes,29482.853760107795
Gorilla_gorilla,23235.509935034923
Gorilla_beringei,13257.155045759448
Gorilla_beringei_beringei,12502.976192993277
Gorilla_beringei_graueri,8777.850753467897
Gorilla_gorilla_gorilla,23597.744989138333
Pongo_abelii,21830.475988585626
Pongo_pygmaeus,24798.64668823888
Macaca_cyclopis,48783.29865959805
Macaca_fuscata,54037.223309701454
Macaca_mulatta,117380.46325089036
Macaca_hecki,112794.79469200665
Macaca_leonina,133393.7764262633
Macaca_maura,106533.72136642005
Macaca_nemestrina_nemestrina,197295.48436299252
Macaca_nemestrina,198135.52910834417
Macaca_nigra,72234.62720107743
Macaca_radiata,74157.01743302151
Macaca_silenus,41038.17276843419
Macaca_tonkeana,160603.33670277227
Macaca_arctoides,105867.48814886964
Macaca_assamensis,137345.36122882893
Macaca_leucogenys,132161.82835956334
Papio_anubis,90532.81486031212
Papio_cynocephalus_anubishybrid,92025.561535277
Papio_cynocephalus_ssp,117207.15201304665
Papio_cynocephalus,109690.64837344219
Papio_hamadryas,70713.04577789664
Papio_kindae,127248.13903882333
Papio_ursinus,81630.92298102706
Papio_ursinus_ssp,90568.50009091325
Theropithecus_gelada,42722.009306335254
Erythrocebus_patas,95307.06801576354
Rhinopithecus_bieti,15913.34445087064
Rhinopithecus_roxellana,34795.82985181792
Semnopithecus_hypoleucos,59175.3578519952
Trachypithecus_francoisi,22154.02210468274
Trachypithecus_poliocephalus,15412.774746851597
Callithrix_jacchus,25752.98587145253
Saguinus_midas,80457.15788894515
Leontocebus_fuscicollis,122843.63940861139
Aotus_azarai,56262.92073144321
Aotus_griseimembra,51931.81082043391
Aotus_nancymaae,160564.8446433541
Aotus_vociferans,222286.13666158664
Cebus_albifrons,38038.45241474747
Cebus_unicolor,31303.99758999642
Sapajus_apella_macrocephalus,21827.324585461804
Saimiri_boliviensis_boliviensis,386466.1345173501
Saimiri_cassiquiarensis,58480.40107503951
Saimiri_ustus,93693.06609425001
Plecturocebus_cupreus,90058.60707475836
Cheracebus_lucifer,94638.06357804616
Cheracebus_lugens,73590.15754384558
