label,x
Homo_sapiens,16380.81462321337
Pan_paniscus,15976.815388585048
Pan_troglodytes_ellioti,26885.389015352008
Pan_troglodytes_schweinfurthii,34497.98515073941
Pan_troglodytes_troglodytes,43454.42877976186
Pan_troglodytes_verus,17267.238765466434
Gorilla_beringei_beringei,19086.006623508143
Gorilla_beringei_graueri,13399.539040531889
Gorilla_gorilla_gorilla,36022.36061322335
Pongo_abelii,31343.437307396798
Pongo_pygmaeus,35117.14589047175
Macaca_cyclopis,66222.82030918945
Macaca_fuscata,73354.96835128102
Macaca_mulatta,159342.75744479106
Macaca_hecki,160362.42393102066
Macaca_leonina,189648.37325550942
Macaca_maura,151460.9413968087
Macaca_nemestrina,281692.9079167963
Macaca_nigra,102697.29149601715
Macaca_radiata,105430.38887145586
Macaca_silenus,58344.721286260574
Macaca_tonkeana,228332.7030772242
Macaca_arctoides,137475.68521004886
Macaca_assamensis,178351.7109502379
Macaca_leucogenys,171620.56293235888
Papio_anubis,138579.8524968745
Papio_cynocephalus_anubishybrid,152506.5409018937
Papio_cynocephalus_ssp,178417.08388273814
Papio_hamadryas,103285.43918500221
Papio_kindae,168308.12077775385
Papio_ursinus,130145.06439816693
Theropithecus_gelada,58727.451099534315
Erythrocebus_patas,144163.25601162104
Rhinopithecus_bieti,22514.395234759584
Rhinopithecus_roxellana,49229.56756349314
Semnopithecus_hypoleucos,78314.87093602763
Trachypithecus_francoisi,29319.457369088537
Trachypithecus_poliocephalus,20397.839723837867
