label,x
Homo_sapiens,22025.773898087074
Pan_paniscus,22913.682792448013
Pan_troglodytes_ellioti,39096.99333543717
Pan_troglodytes_schweinfurthii,50167.30443269021
Pan_troglodytes_troglodytes,63191.85158256243
Pan_troglodytes_verus,25110.18600286393
Pan_troglodytes,58965.70898264379
Gorilla_gorilla,46471.01987006985
Gorilla_beringei,26514.3100915189
Gorilla_beringei_beringei,25005.952385986548
Gorilla_beringei_graueri,17555.701506935795
Gorilla_gorilla_gorilla,47195.48997827668
Pongo_abelii,43660.95197717125
Pongo_pygmaeus,49597.29337647777
