label,x
Macaca_cyclopis,97566.59979509469
Macaca_fuscata,108074.4493619539
Macaca_mulatta,234760.932459191
Macaca_hecki,225589.59510868724
Macaca_leonina,266787.5596226604
Macaca_maura,118820.84690099087
Macaca_nemestrina_nemestrina,394590.9787393221
Macaca_nemestrina,396271.06827266025
Macaca_nigra,144469.25806827864
Macaca_radiata,148314.03862973384
Macaca_silenus,82076.34761967865
Macaca_tonkeana,321206.6815566453
Macaca_arctoides,211734.98167083153
Macaca_assamensis,274690.7294283465
Macaca_leucogenys,264323.66342673555
