label,x
Homo_sapiens,12251.133953904227
Pan_troglodytes,41941.35281450469
Pan_paniscus,14934.101439046728
Pan_troglodytes_ellioti,28990.41658817908
Pan_troglodytes_schweinfurthii,36186.779130576106
Pan_troglodytes_troglodytes,45520.93645794668
Pan_troglodytes_verus,17571.716483623106
Pan_troglodytes,41941.35281450469
Gorilla_gorilla,38001.73878640917
Gorilla_beringei,19747.748775281954
Gorilla_beringei_beringei,18829.301408339586
Gorilla_beringei_graueri,13183.944315999339
Gorilla_gorilla_gorilla,38613.71800361119
Pongo_abelii,38406.138455652785
Pongo_pygmaeus,31592.102908408127
