population,,n_sites,n_annotated,n_mismatches,outgroup_divergence,params_mle
Homo_sapiens,0,18559040,74450,2250,[2.10327778e-05 2.41517257e-05 3.86047690e-05],"{'K0': 1.4950982407394057e-05, 'K1': 6.081795383204066e-06, 'K2': 2.6242193524519917e-06, 'K3': 6.576523893727605e-06, 'K4': 2.1029567239682046e-05, 'k': 3.313629702002923}"
Pan_paniscus,0,18223476,64646,1590,[1.46632849e-05 1.90247042e-05 3.33110617e-05],"{'K0': 7.550383581098956e-06, 'K1': 7.1129013430759115e-06, 'K2': 2.671575164876462e-06, 'K3': 8.802745491007398e-06, 'K4': 2.3089102940871226e-05, 'k': 3.590655154900965}"
Pan_troglodytes_ellioti,0,18404911,512710,34494,[2.61751370e-05 3.75731083e-05 1.17646830e-04],"{'K0': 2.0703476944970983e-05, 'K1': 5.471660066663727e-06, 'K2': 9.730538848516593e-06, 'K3': 7.139092462808741e-06, 'K4': 8.721281421245797e-05, 'k': 3.3347578347578324}"
Pan_troglodytes_schweinfurthii,0,18404911,512710,34494,[2.61751370e-05 3.75731083e-05 1.17646830e-04],"{'K0': 2.0703476944970983e-05, 'K1': 5.471660066663727e-06, 'K2': 9.730538848516593e-06, 'K3': 7.139092462808741e-06, 'K4': 8.721281421245797e-05, 'k': 3.3347578347578324}"
Pan_troglodytes_troglodytes,0,18404911,512710,34494,[2.61751370e-05 3.75731083e-05 1.17646830e-04],"{'K0': 2.0703476944970983e-05, 'K1': 5.471660066663727e-06, 'K2': 9.730538848516593e-06, 'K3': 7.139092462808741e-06, 'K4': 8.721281421245797e-05, 'k': 3.3347578347578324}"
Pan_troglodytes_verus,0,18404911,512710,34494,[2.61751370e-05 3.75731083e-05 1.17646830e-04],"{'K0': 2.0703476944970983e-05, 'K1': 5.471660066663727e-06, 'K2': 9.730538848516593e-06, 'K3': 7.139092462808741e-06, 'K4': 8.721281421245797e-05, 'k': 3.3347578347578324}"
Gorilla_beringei_beringei,0,18331615,76361,6270,[5.43918502e-05 6.43031555e-05],"{'K0': 4.290096122468317e-05, 'K1': 1.149088896627769e-05, 'K2': 2.1402194258753305e-05, 'k': 3.6096813725490184}"
Gorilla_beringei_graueri,0,18331615,76361,6270,[5.43918502e-05 6.43031555e-05],"{'K0': 4.290096122468317e-05, 'K1': 1.149088896627769e-05, 'K2': 2.1402194258753305e-05, 'k': 3.6096813725490184}"
Gorilla_gorilla_gorilla,0,18434389,156588,4916,[1.99354318e-05 3.52368452e-05],"{'K0': 1.2822984780303826e-05, 'K1': 7.1124470157128e-06, 'K2': 2.241386046123125e-05, 'k': 3.311688311688312}"
Pongo_abelii,0,15126120,246610,69444,[0.00025456 0.00013437],"{'K0': 0.00013006954460718603, 'K1': 0.00012448809166406335, 'K2': 4.3010109245055e-06, 'k': 3.7237037037037037}"
Pongo_pygmaeus,0,16354749,110682,3894,[3.27977970e-05 3.34825538e-05],"{'K0': 1.766117207324225e-05, 'K1': 1.5136624944292776e-05, 'K2': 1.5821381718639377e-05, 'k': 3.6065662002152874}"
Macaca_cyclopis,0,17851954,96577,12493,[6.57782667e-05 7.68296731e-05 8.26592979e-05],"{'K0': 5.147599859540692e-05, 'K1': 1.4302268073852846e-05, 'K2': 1.021013184542731e-05, 'K3': 1.5143542614728174e-05, 'K4': 2.097316747667747e-05, 'k': 3.2061024755325285}"
Macaca_fuscata,0,18247827,232499,16305,[3.79401622e-05 4.41478669e-05 4.89889924e-05],"{'K0': 3.0428278414462167e-05, 'K1': 7.511883758683681e-06, 'K2': 4.329703174757897e-06, 'K3': 9.389885325178414e-06, 'K4': 1.4231010822373184e-05, 'k': 3.383561643835614}"
Macaca_mulatta,0,18015415,586182,8188,[1.40890984e-05 1.57116042e-05 2.20896983e-05],"{'K0': 4.303617054870672e-06, 'K1': 9.785481308094719e-06, 'K2': 2.378009921207271e-06, 'K3': 9.029977247241123e-06, 'K4': 1.5408071348014128e-05, 'k': 3.124999999999999}"
Macaca_hecki,0,17869560,171728,23046,[1.80268134e-04 6.70070892e-05 7.90664518e-05],"{'K0': 5.8647010704808624e-05, 'K1': 0.00012162112297994606, 'K2': 7.11603474292461e-07, 'K3': 7.64847503058107e-06, 'K4': 1.9707837593390967e-05, 'k': 3.2161785216178504}"
Macaca_leonina,0,17771133,165010,4840,[1.12948726e-04 2.68847640e-05 3.48341606e-05],"{'K0': 7.412099486468056e-06, 'K1': 0.00010553662640968896, 'K2': 6.769811822636759e-06, 'K3': 1.270285272900318e-05, 'K4': 2.0652249285218148e-05, 'k': 3.192933519293352}"
Macaca_maura,0,17816434,178017,22381,[1.65134603e-04 5.91633755e-05 6.96041335e-05],"{'K0': 5.01330344687349e-05, 'K1': 0.00011500156814761063, 'K2': 6.391045817665905e-07, 'K3': 8.39123646634717e-06, 'K4': 1.8831994467491472e-05, 'k': 3.0638202247191}"
Macaca_nemestrina,0,18314774,435819,9470,[3.67217671e-05 1.87647783e-05 2.61085345e-05],"{'K0': 3.306943427577563e-07, 'K1': 3.639107273509183e-05, 'K2': 9.35314810715051e-06, 'K3': 9.080935868894719e-06, 'K4': 1.6424692056277604e-05, 'k': 3.301249421564098}"
Macaca_nigra,0,18153231,140629,29084,[0.00024465 0.00010612 0.0001166 ],"{'K0': 9.709043463130906e-05, 'K1': 0.0001475547085883017, 'K2': 7.884344812229178e-07, 'K3': 8.244984274244346e-06, 'K4': 1.8725833258009407e-05, 'k': 3.1972665148063797}"
Macaca_radiata,0,18111877,180815,39228,[0.00010169 0.00025703 0.00013187],"{'K0': 9.165352405076045e-05, 'K1': 1.0036321023571936e-05, 'K2': 2.0006601536487116e-05, 'K3': 0.00014537467862233376, 'K4': 2.0205920280935218e-05, 'k': 3.166817769718951}"
Macaca_silenus,0,18080370,114525,24685,[0.00024232 0.00011596 0.00012429],"{'K0': 0.00010505655940179299, 'K1': 0.0001372626798429027, 'K2': 8.365288920301938e-07, 'K3': 1.0063129902370121e-05, 'K4': 1.8397252933404002e-05, 'k': 3.2363804247460752}"
Macaca_tonkeana,0,18468359,264030,18252,[1.03400366e-04 3.19890799e-05 4.18887109e-05],"{'K0': 2.4110178490857827e-05, 'K1': 7.929018775672745e-05, 'K2': 1.0199266361949694e-06, 'K3': 6.858974766880853e-06, 'K4': 1.6758605775160832e-05, 'k': 3.3373438223044896}"
Macaca_arctoides,0,18019369,175962,12282,[3.55848043e-05 3.93062156e-05 5.34211735e-05],"{'K0': 2.427650541826449e-05, 'K1': 1.1308298928635335e-05, 'K2': 7.687957705350524e-06, 'K3': 7.341752438711766e-06, 'K4': 2.145671040186219e-05, 'k': 3.472602739726033}"
Macaca_assamensis,0,17495417,171217,3134,[2.25614755e-05 2.10215686e-05 3.36961125e-05],"{'K0': 8.105436632230305e-06, 'K1': 1.4456038838562586e-05, 'K2': 3.763608971770939e-06, 'K3': 9.15252300295936e-06, 'K4': 2.1827066910597796e-05, 'k': 3.7139689578713933}"
Macaca_leucogenys,0,17993759,154735,7298,[3.36521692e-05 3.22056641e-05 4.63883978e-05],"{'K0': 1.7853799892257573e-05, 'K1': 1.5798369310007933e-05, 'K2': 4.8003593156198694e-06, 'K3': 9.551504915666468e-06, 'K4': 2.3734238559952436e-05, 'k': 3.4309031556039127}"
Papio_anubis,0,19234654,286440,1670,[3.12013753e-06 3.13013753e-06 7.04199005e-05],"{'K0': 3.1101375330744125e-06, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 6.729976295329429e-05, 'k': 4.01031991744064}"
Papio_cynocephalus_anubishybrid,0,19232648,372691,12253,[1.39964979e-05 1.40064979e-05 7.34592385e-05],"{'K0': 1.398649790662914e-05, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 5.9462740583575694e-05, 'k': 4.064684402712569}"
Papio_cynocephalus_ssp,0,19232648,372691,12253,[1.39964979e-05 1.40064979e-05 7.34592385e-05],"{'K0': 1.398649790662914e-05, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 5.9462740583575694e-05, 'k': 4.064684402712569}"
Papio_hamadryas,0,18880185,128774,10431,[4.14126750e-05 4.14226750e-05 1.52888398e-04],"{'K0': 4.140267497475873e-05, 'K1': 1e-08, 'K2': 1e-08, 'K3': 1e-08, 'K4': 0.00011147572306921237, 'k': 3.449579831932772}"
