population,match,mismatch,no_data,mismatch_fraction
Homo_sapiens,[76010. 75844. 69309.],[1095. 1149. 1378.],[2967. 3079. 9385.],[0.01420141 0.01492343 0.01949439]
Pan_paniscus,[67366. 66583. 60902.],[1465. 1616. 1980.],[1260. 1892. 7209.],[0.02128401 0.02369536 0.03148755]
Pan_troglodytes_ellioti,[523082. 518423. 478834.],[ 9806. 10969. 11961.],[11220. 14716. 53313.],[0.01840162 0.02072    0.02437066]
Pan_troglodytes_schweinfurthii,[523082. 518423. 478834.],[ 9806. 10969. 11961.],[11220. 14716. 53313.],[0.01840162 0.02072    0.02437066]
Pan_troglodytes_troglodytes,[523082. 518423. 478834.],[ 9806. 10969. 11961.],[11220. 14716. 53313.],[0.01840162 0.02072    0.02437066]
Pan_troglodytes_verus,[523082. 518423. 478834.],[ 9806. 10969. 11961.],[11220. 14716. 53313.],[0.01840162 0.02072    0.02437066]
Gorilla_beringei_beringei,[76422. 67921.],[1927. 2177.],[ 2710. 10961.],[0.02459508 0.03105652]
Gorilla_beringei_graueri,[76422. 67921.],[1927. 2177.],[ 2710. 10961.],[0.02459508 0.03105652]
Gorilla_gorilla_gorilla,[156907. 139996.],[3939. 4455.],[ 6374. 22769.],[0.02448926 0.03084091]
Pongo_abelii,[23140095.],[1250715.],[4085198.],[0.05127812]
Pongo_pygmaeus,[108847.  96214.],[3318. 3140.],[14914. 27725.],[0.02958142 0.03160416]
Macaca_cyclopis,[97531. 96508. 90344.],[ 689.  687. 1874.],[1742. 2767. 7744.],[0.00701486 0.00706826 0.02032141]
Macaca_fuscata,[234142. 230706. 218450.],[1548. 1609. 4115.],[ 3266.  6641. 16391.],[0.00656795 0.00692594 0.01848898]
Macaca_mulatta,[589337. 582207. 550997.],[ 6106.  5864. 11833.],[ 9141. 16513. 41754.],[0.01025455 0.00997159 0.02102411]
Macaca_hecki,[177532. 174625. 162241.],[  35. 1307. 3469.],[   nan  1635. 11857.],[0.00019711 0.00742901 0.02093416]
Macaca_leonina,[170133. 166576. 154305.],[  51. 1572. 3469.],[   nan  2036. 12410.],[0.00029968 0.00934891 0.02198715]
Macaca_maura,[184002. 180872. 168143.],[  41. 1467. 3533.],[   nan  1704. 12367.],[0.00022277 0.00804545 0.02057946]
Macaca_nemestrina,[444476. 435897. 406101.],[ 386. 4174. 8898.],[   nan  4791. 29863.],[0.00086768 0.00948483 0.02144102]
Macaca_nigra,[144122. 141676. 131668.],[  21. 1049. 2865.],[  nan 1418. 9610.],[0.00014569 0.0073498  0.02129589]
Macaca_radiata,[182375. 185106. 169902.],[1102.   36. 3130.],[ 1665.    nan 12110.],[0.0060062  0.00019445 0.01808914]
Macaca_silenus,[117554. 115176. 106939.],[  29.  972. 2281.],[  nan 1435. 8363.],[0.00024663 0.00836863 0.02088445]
Macaca_tonkeana,[270660. 266494. 248209.],[  94. 1976. 5223.],[   nan  2284. 17322.],[0.00034718 0.00736023 0.02060908]
Macaca_arctoides,[178703. 175409. 164592.],[1313. 1403. 4214.],[ 1849.  5053. 13059.],[0.0072938  0.00793498 0.02496357]
Macaca_assamensis,[174539. 171652. 161599.],[1264. 1485. 4246.],[ 1460.  4126. 11418.],[0.00718987 0.00857702 0.02560222]
Macaca_leucogenys,[157028. 153944. 144550.],[1250. 1495. 3965.],[ 1470.  4309. 11233.],[0.0078975  0.00961792 0.02669764]
Papio_anubis,[288472. 288472. 278312.],[ 279.  279. 4469.],[  nan   nan 5970.],[0.00096623 0.00096623 0.01580375]
Papio_cynocephalus_anubishybrid,[374577. 374577. 362595.],[1045. 1045. 6081.],[  nan   nan 6946.],[0.00278205 0.00278205 0.01649416]
Papio_cynocephalus_ssp,[374577. 374577. 362595.],[1045. 1045. 6081.],[  nan   nan 6946.],[0.00278205 0.00278205 0.01649416]
Papio_hamadryas,[130148. 130148. 124674.],[  94.   94. 2027.],[  nan   nan 3541.],[0.00072173 0.00072173 0.0159983 ]
Papio_kindae,[212154. 212154. 204585.],[ 582.  582. 3534.],[  nan   nan 4617.],[0.00273579 0.00273579 0.01698067]
Papio_ursinus,[134841. 134841. 129922.],[  45.   45. 1868.],[  nan   nan 3096.],[0.00033362 0.00033362 0.01417406]
Theropithecus_gelada,[73145. 75111. 71660.],[ 999. 1301. 1878.],[4921. 2653. 5527.],[0.01347378 0.01702612 0.02553782]
Erythrocebus_patas,[281043. 257102. 267418.],[  73. 4826. 4532.],[   nan 19188.  9166.],[0.00025968 0.01842491 0.01666483]
Rhinopithecus_bieti,[81971. 76212. 72447.],[  23. 1483. 1773.],[  nan 4299. 7774.],[0.00028051 0.01908746 0.02388844]
Rhinopithecus_roxellana,[109763. 102656.  98934.],[  47. 1976. 2204.],[  nan 5178. 8672.],[0.00042801 0.01888524 0.02179201]
Semnopithecus_hypoleucos,[207966. 199664. 186123.],[  43. 3561. 5526.],[   nan  4784. 16360.],[0.00020672 0.01752245 0.02883396]
Trachypithecus_francoisi,[63194. 63194. 54511.],[  27.   27. 2180.],[  nan   nan 6530.],[0.00042707 0.00042707 0.03845408]
Trachypithecus_poliocephalus,[45648. 45648. 39031.],[  15.   15. 1573.],[  nan   nan 5059.],[0.00032849 0.00032849 0.03874003]
