population,params,params_ci_5,params_ci_95,discretized,discretized_ci_5,discretized_ci_95
Homo_sapiens,"{'S1': 0.08649140505547648, 'S2': 0.42952857967936026, 'S3': 0.16772405565041879, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.0, 'S2': 0.032251880745279245, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.38249718000108596, 'S2': 0.5528917679375952, 'S3': 0.347253207120148, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.08649141 0.40947433 0.08882668 0.41520759 0.         0.        ],[0.         0.02063715 0.         0.37803318 0.         0.        ],[0.38400606 0.55399257 0.21447315 0.44957456 0.         0.        ]
Pan_paniscus,"{'S1': 0.24985652168022238, 'S2': 0.27335491641602144, 'S3': 0.06524352422042441, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.09159254611425059, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.4306275345296197, 'S2': 0.45583539400156337, 'S3': 0.2144057727354219, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.24985652 0.22265536 0.0368397  0.49064842 0.         0.        ],[0.09224698 0.         0.         0.45125009 0.         0.        ],[0.43127014 0.41944964 0.13176359 0.51842906 0.         0.        ]
Pan_troglodytes_ellioti,"{'S1': 0.3643215103637435, 'S2': 0.14747183493468155, 'S3': 0.20192517801776919, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.1794679618413814, 'S2': 0.0, 'S3': 0.053610912619882135, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.45510317148928175, 'S2': 0.40409438021534866, 'S3': 0.2997434843671116, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.36432151 0.10496524 0.10942213 0.42129112 0.         0.        ],[0.17947594 0.         0.02513367 0.39578235 0.         0.        ],[0.45623872 0.33608191 0.17152148 0.45270453 0.         0.        ]
Pan_troglodytes_schweinfurthii,"{'S1': 0.29722161193304847, 'S2': 0.3601951297531658, 'S3': 0.0399128757065446, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.19646434691571044, 'S2': 0.06721310459778727, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.470479981101402, 'S2': 0.47055259603639393, 'S3': 0.18745508954731366, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.29722161 0.26226141 0.01894992 0.42156706 0.         0.        ],[0.19679202 0.03526252 0.         0.39745826 0.         0.        ],[0.47598479 0.37881599 0.0930712  0.43678774 0.         0.        ]
Pan_troglodytes_troglodytes,"{'S1': 0.3802852404161375, 'S2': 0.30842268604793904, 'S3': 0.010336831350693798, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.30019015020631035, 'S2': 0.15351380351311317, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.47101508553714744, 'S2': 0.4128586453933486, 'S3': 0.08745101640991544, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.38028524 0.1957739  0.00468497 0.41925589 0.         0.        ],[0.30052339 0.08159611 0.         0.40654264 0.         0.        ],[0.47930144 0.29151778 0.04528549 0.43043637 0.         0.        ]
Pan_troglodytes_verus,"{'S1': 0.41122674695116507, 'S2': 0.030528598084084438, 'S3': 0.22814177452544981, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.2732424887659724, 'S2': 0.0, 'S3': 0.12867178286319558, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.45516143737854525, 'S2': 0.2492721008367878, 'S3': 0.31289395400251485, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.41122675 0.02172048 0.13059121 0.43646156 0.         0.        ],[0.27428084 0.         0.06717614 0.40858565 0.         0.        ],[0.45939623 0.19024621 0.18685188 0.46318486 0.         0.        ]
Gorilla_beringei_beringei,"{'S1': 0.4820439669515605, 'S2': 0.09178729057505974, 'S3': 0.013836820920321654, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.3713177464187378, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5422234670474237, 'S2': 0.27967563510707966, 'S3': 0.08484606934916497, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.48204397 0.05481922 0.00664066 0.45649616 0.         0.        ],[0.37136066 0.         0.         0.43965496 0.         0.        ],[0.5454782  0.17842355 0.04196101 0.46991371 0.         0.        ]
Gorilla_beringei_graueri,"{'S1': 0.4320660528040735, 'S2': 0.1597399216807087, 'S3': 0.0014003934138490503, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.26146951009253244, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5350924786132023, 'S2': 0.38503592618485694, 'S3': 0.00044888569815782, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.43206605 0.10379229 0.00066668 0.46347498 0.         0.        ],[0.26242387 0.         0.         0.45078754 0.         0.        ],[0.53727449 0.30265541 0.00411393 0.4792052  0.         0.        ]
Gorilla_gorilla_gorilla,"{'S1': 0.29585514557960385, 'S2': 0.37021023311968415, 'S3': 0.02596073291312903, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.2007685690899077, 'S2': 0.11914273459785202, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.44903908016916855, 'S2': 0.46934462477444683, 'S3': 0.1544353659962499, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.29585515 0.26814609 0.01221823 0.42378053 0.         0.        ],[0.20081861 0.06472449 0.         0.4045663  0.         0.        ],[0.45931394 0.37588887 0.07815737 0.43603837 0.         0.        ]
Pongo_abelii,"{'S1': 0.3488620198892345, 'S2': 0.36812364150183674, 'S3': 0.01971785999982569, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.26192871270098894, 'S2': 0.14489785743494812, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.47679261420526775, 'S2': 0.4663148807742735, 'S3': 0.12822263344909246, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.34886202 0.24571433 0.008608   0.39681566 0.         0.        ],[0.2627075  0.07432146 0.         0.38120045 0.         0.        ],[0.4887533  0.35950249 0.06116509 0.40806421 0.         0.        ]
