population,params,params_ci_5,params_ci_95,discretized,discretized_ci_5,discretized_ci_95
Homo_sapiens,"{'S1': 0.16992680224444834, 'S2': 0.28839369335949855, 'S3': 0.367448192199754, 'S4': 0.7143145756171875, 'S5': 0.5658453082919842, 'eps': 0.0, 'h': 0.5}","{'S1': 0.0, 'S2': 0.0, 'S3': 0.0806050261265574, 'S4': 0.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.38958783066836383, 'S2': 0.5348446505416085, 'S3': 0.6001199199531774, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.1699268  0.26676803 0.21717632 0.2659616  0.07595857 0.00420869],[0.         0.         0.03749596 0.         0.         0.        ],[0.39029844 0.53794302 0.38770495 0.42712222 0.26737931 0.01493448]
Pan_paniscus,"{'S1': 0.2526768228577776, 'S2': 0.24746063324908554, 'S3': 0.13380321030474956, 'S4': 0.8468345379238381, 'S5': 0.8236412437697459, 'eps': 0.0, 'h': 0.5}","{'S1': 0.055624476990366545, 'S2': 0.0, 'S3': 0.0, 'S4': 0.09986057683645727, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.430627559886252, 'S2': 0.48968041099014586, 'S3': 0.4283284057487978, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.25267682 0.2080319  0.07858525 0.4004666  0.05921033 0.0010291 ],[0.05673015 0.         0.         0.03748334 0.         0.        ],[0.4312701  0.48151344 0.27625925 0.50787505 0.31180512 0.00977148]
Pan_troglodytes_ellioti,"{'S1': 0.38761751448497284, 'S2': 0.09214339892237777, 'S3': 0.26159747437847136, 'S4': 0.9256154487028619, 'S5': 0.5940463272943335, 'eps': 0.0, 'h': 0.5}","{'S1': 0.24621810851019896, 'S2': 0.0, 'S3': 0.07320311605687387, 'S4': 0.5201315540339936, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.4546918393906177, 'S2': 0.3531387962317501, 'S3': 0.4449705832984134, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.38761751 0.06499149 0.14643784 0.3759913  0.02380296 0.00115891],[0.24656311 0.         0.03510603 0.17900167 0.         0.        ],[0.45499802 0.27826426 0.26657553 0.44163911 0.16879783 0.00637716]
Pan_troglodytes_schweinfurthii,"{'S1': 0.34617775191196304, 'S2': 0.243534592917182, 'S3': 0.2023076364800433, 'S4': 0.7874602410773651, 'S5': 0.4858453178782529, 'eps': 0.0, 'h': 0.5}","{'S1': 0.20044956529589578, 'S2': 0.0, 'S3': 0.0, 'S4': 0.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.4845578571542791, 'S2': 0.46945250387512777, 'S3': 0.5013524243239862, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.34617775 0.17709826 0.10394392 0.307526   0.0618484  0.00340567],[0.20052244 0.         0.         0.         0.         0.        ],[0.4859936  0.3791234  0.27409731 0.42857688 0.26827145 0.01221703]
Pan_troglodytes_troglodytes,"{'S1': 0.3701131095095652, 'S2': 0.2922931408646353, 'S3': 0.09931006468797414, 'S4': 0.8066844347696112, 'S5': 0.6801402606344995, 'eps': 0.0, 'h': 0.5}","{'S1': 0.25081398145118206, 'S2': 0.0, 'S3': 0.0, 'S4': 0.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5128922408984063, 'S2': 0.465891830003325, 'S3': 0.36394239877506157, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.37011311 0.19717364 0.0474172  0.3181084  0.06432642 0.00286124],[0.25095546 0.         0.         0.         0.         0.        ],[0.51715866 0.35488844 0.21515981 0.41566544 0.26842269 0.01201535]
Pan_troglodytes_verus,"{'S1': 0.41442747235857363, 'S2': 0.020953221623043118, 'S3': 0.24336989598119485, 'S4': 0.9816243039448412, 'S5': 0.6916547422397379, 'eps': 0.0, 'h': 0.5}","{'S1': 0.3413979387984084, 'S2': 0.0, 'S3': 0.14613342356688946, 'S4': 0.8957909710879773, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.4550503429998868, 'S2': 0.16860054235791, 'S3': 0.33851584684133684, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}","[4.14427472e-01 1.45985057e-02 1.40272603e-01 4.23866685e-01
 6.43711345e-03 3.97620888e-04]",[0.34217092 0.         0.07840322 0.36222466 0.         0.        ],[0.45717417 0.12243898 0.21702922 0.46103302 0.07547387 0.00307348]
Gorilla_beringei_beringei,"{'S1': 0.47907957640061594, 'S2': 0.07923964410894405, 'S3': 0.08432270289659934, 'S4': 0.8884746651306777, 'S5': 0.5511056350595909, 'eps': 0.0, 'h': 0.5}","{'S1': 0.3433019668539123, 'S2': 0.0, 'S3': 0.0, 'S4': 0.42555317425847655, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5458827092184523, 'S2': 0.3197811318793823, 'S3': 0.3380868300326575, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.47907958 0.04840296 0.04242971 0.38845611 0.03943341 0.00219823],[0.34415188 0.         0.         0.14970478 0.         0.        ],[0.54590622 0.22352614 0.19201132 0.46239723 0.21334787 0.00880721]
Gorilla_beringei_graueri,"{'S1': 0.37494118686601624, 'S2': 0.19661289227715745, 'S3': 0.1973656867127604, 'S4': 0.501248233534833, 'S5': 0.8279029426613559, 'eps': 0.0, 'h': 0.5}","{'S1': 0.10006388546786939, 'S2': 0.0, 'S3': 0.0, 'S4': 0.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5256721296679422, 'S2': 0.5045972907592547, 'S3': 0.453702416030835, 'S4': 0.9874119096393844, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.37494119 0.14617114 0.10094741 0.20749148 0.16678102 0.00366777],[0.10037395 0.         0.         0.         0.         0.        ],[0.52716752 0.49784027 0.24583591 0.43457389 0.33016542 0.01526343]
Gorilla_gorilla_gorilla,"{'S1': 0.34090391456931485, 'S2': 0.25577122082553966, 'S3': 0.1992249015442756, 'S4': 0.7392130198783242, 'S5': 0.7010996211431576, 'eps': 0.0, 'h': 0.5}","{'S1': 0.18951346572325195, 'S2': 0.0, 'S3': 0.0, 'S4': 0.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.486594716433265, 'S2': 0.4892517085398547, 'S3': 0.48270012687195696, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.34090391 0.18699257 0.10172063 0.28833633 0.07946785 0.00257871],[0.19102461 0.         0.         0.         0.         0.        ],[0.48732894 0.42284901 0.26352823 0.4226961  0.27165976 0.01077525]
Pongo_abelii,"{'S1': 0.4385664600951267, 'S2': 0.13762444860513381, 'S3': 0.31394663805158207, 'S4': 0.6431086995483839, 'S5': 0.5010595880477954, 'eps': 0.0, 'h': 0.5}","{'S1': 0.28127037490558987, 'S2': 0.0, 'S3': 0.0, 'S4': 0.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5247822079732387, 'S2': 0.4533050127506537, 'S3': 0.5393150010820138, 'S4': 0.9883295600304901, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.43856646 0.09159966 0.1539202  0.2205875  0.08921747 0.0061087 ],[0.28243068 0.         0.         0.         0.         0.        ],[0.52494415 0.33636582 0.27662737 0.37944421 0.26057865 0.01380139]
